"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1dbd9579-0627-4161-a5be-97b51dc5a434","","checklist-flat","not-started","Job Details","checklist-flat","FALSE","FALSE","Job Details"
"3efc0035-5d84-5ec0-b10e-9d57fbeb8c6e","","checkpoint-status","not-started","Job Details:d77abe71-7fa7-44a9-a0b2-beddfce10d3d","","TRUE","TRUE","Job Details","Site Info"
"513eb315-5dd1-5208-8a5d-194c8f5e4313","","checkpoint-status","not-started","Job Details:4c1b1e66-3649-48be-9932-e42626eb09fe","","TRUE","TRUE","Job Details","latest drawings (attached or referenced)"
"fc4abf63-5bc7-5a67-b35c-ed6bda22648e","","checkpoint-status","not-started","Job Details:a3bf576b-4273-4550-8452-9926f64ffab4","","TRUE","TRUE","Job Details","Scope of Works Attached"
"ade8ae17-b30f-5d50-b3c2-1c20b7478560","","checkpoint-status","not-started","Job Details:1706b349-a47c-4624-b8bb-9383712c718a","","TRUE","TRUE","Job Details","Additional Pre-Start Docs (attached or referenced)"
"8571d065-619a-4b63-bc3c-214ae1c60127","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"f6d3fdc1-e2ed-485a-b5aa-7f86e3af81c5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rough-In"
"19505227-12f5-4e00-a5cc-522ba15497f9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough-In","Ground Floor"
"e3395677-8e1c-449a-9163-575f45939eb5","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough-In","Ground Floor","GEF-G"
"73a8a49c-809f-4564-89e4-5683f1d5d2df","","checklist-flat","not-started","Duct Installation Checklist [F]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]"
"4d4fdbbf-02e6-55f2-aa5e-07c575c541ac","","checkpoint-status","not-started","Duct Installation Checklist [F]:5a8a725d-3ffc-43ad-a53b-def64d8103fb","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Is the installation area unobstructed?"
"30685c2f-f75e-59c0-bfaf-2b9da517696e","","checkpoint-status","not-started","Duct Installation Checklist [F]:c0a25846-5667-4d77-9721-5318b4621377","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Are drawings on site the latest issue"
"9227034f-7a0a-50f7-90f9-634230f97552","","checkpoint-status","not-started","Duct Installation Checklist [F]:e9ff3b9e-e10b-4167-9600-373aa000f023","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Are plant and equipment location correct"
"eade93e6-9088-5478-9839-88d660cad662","","checkpoint-status","not-started","Duct Installation Checklist [F]:c53be47c-17b7-433e-80b5-645a4375e415","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Duct size and location correct"
"27a87da2-b3bd-5def-8f82-64195f913cf3","","checkpoint-status","not-started","Duct Installation Checklist [F]:a6f6c6f1-65dd-4c36-9010-42ee6bb6e31d","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Material and gauge correct"
"b0d70538-7979-5379-bf6d-efb9ee8c3fa6","","checkpoint-status","not-started","Duct Installation Checklist [F]:4f6bf302-f39b-431e-9473-95406f6f8bc6","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Is correct support method being used - Risers are supported at each level."
"22354fb5-9f4f-52f7-bc93-25fa961dc654","","checkpoint-status","not-started","Duct Installation Checklist [F]:8e3368a0-68ab-415e-aeb7-71789dcc359e","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Is correct jointing method being used"
"8c70f4d2-3d16-5131-8585-ac7646765bd0","","checkpoint-status","not-started","Duct Installation Checklist [F]:cf7367f1-2f9f-404e-8970-b105aa9ba7ce","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Are joints completed and cleated installed on flanges"
"afc72074-5331-51fb-8953-fc1c673650cf","","checkpoint-status","not-started","Duct Installation Checklist [F]:b1fc48e5-237d-4035-a824-7024da8183d4","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Is correct joint sealant being used"
"7bef75b2-5d11-552d-9c10-e581fb56166a","","checkpoint-status","not-started","Duct Installation Checklist [F]:c2595e3b-6c85-4411-9333-a9908e238b93","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Are fire dampers installed and break away joint complete"
