"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b590e46f-b13b-4737-b81d-3eecc117debc","","folder-normal","","","step","TRUE","FALSE","Project Build QA"
"8a65bdcd-b88a-494d-8302-3be554a93433","","folder-normal","","","step","TRUE","FALSE","Project Build QA","Structure"
"24129d55-064f-4402-8be0-5ffadeca82f7","","folder-normal","","","step","TRUE","FALSE","Project Build QA","Structure","Sub Structure"
"0e417027-11f9-4cfc-804c-1210bc1ac0b2","","folder-normal","","","step","TRUE","FALSE","Project Build QA","Structure","Sub Structure","Demolition"
"8adf34a4-3f48-43d2-a68e-400a621907cc","","checklist-flat","","QA - 01. Demolition (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Demolition","Demolition -"
"549a7446-667c-4ad4-b122-3858d4c80fe1","","folder-normal","","","step","TRUE","FALSE","Project Build QA","Structure","Sub Structure","Excavation"
"5cc58261-0612-42b7-b096-ec450a8a6139","","checklist-flat","","QA - 06. Excavation (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Excavation","Excavation - Retaining Wall"
"36c64e95-6424-4b02-8f3d-29bca72910a4","","folder-normal","","","step","TRUE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall"
"eafaa080-d11b-4e4b-9742-29e298a42b33","","folder-normal","","","step","TRUE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles"
"67ca814d-e60e-40f2-9b34-a0f348ad1bfc","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 11"
"5d73e2f4-2604-4c05-a7f0-fe21abdcbf04","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 12"
"a2b1378b-f41a-47a8-a24a-70e192f1cb12","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 13"
"920409e1-b19c-4de7-9582-fb05d09588b5","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 14"
"b7233174-0170-4922-a0f0-6b8ccb3a0c7c","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 16"
"4e0dde8d-85e3-491d-af63-764097c394b5","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 17"
"b814616f-bccf-4254-a268-708790a76744","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling -19"
"2c2e3f24-70e2-4e16-820a-2661418da34d","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling -20"
"c110c0e9-8581-4fb9-9e97-d8017bc2115a","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling -21"
"3e70579c-5f1d-4ca0-bf6f-9e0bcaf48b2d","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling -22"
"cefec8f0-587b-48d3-9f36-84e3089655e7","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 15"
"1a234086-0d29-4afe-a998-d1d7429c5d64","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles"," Piling - 10"
"6f32f3ff-3456-4fc9-83ec-77ad4e140ee9","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 18"
"9e416d89-0d81-476e-9dc2-1d8d62a08cff","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 08"
"a47e2341-eab4-49e4-a32d-24ea0d8df1de","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 09"
"3b4f06f1-30eb-4fd6-b1c5-08cb519c5ef7","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 07"
"02051a49-1af5-4410-a9eb-f0b461faa9db","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 06"
"cd014824-ddcf-4895-9f1e-7fa693b13d2e","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 23"
"cb12b6ac-209a-43b2-8d0e-c48f28b2cc5e","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 24"
"9522907b-698d-4670-867a-1a92c7306ade","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 05"
"7f48d3ec-09b4-4799-b916-742e46bcf949","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 25"
"94d112f6-29be-4a91-bbd7-4172667527a7","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 04"
"617336ce-6262-4cb1-9642-7a1ee71011c8","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 02"
"b81be223-0509-476d-9be3-e57fc422c870","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 01"
"5b0f5057-5747-4ab3-a7c0-1a2f720bd274","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 03"
"70b86aca-989b-47f5-a93d-76889a017178","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 28"
"2d24f63d-0bfd-4ca3-8529-bc227504ff53","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 27"
"38c30cc5-493b-4292-9de4-275dd6c28435","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 26"
"77daaa3e-7cee-485b-adcf-4d1f5f93d841","","checklist-flat","","QA - 02. Piling (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Retaining Wall Piles","Piling - 29"
"ba104b39-88cd-4c77-a1eb-03cae4d476b0","","folder-normal","","","step","TRUE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Capping Beams"
"cb1532b7-b44b-4b74-bb68-9efd42f161d6","","checklist-flat","","QA - 08. Foundations (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Capping Beams","Foundations -Gridline X2 (CB2 & CB3)"
"f3fd2b51-4880-446d-9fdd-d1ca417f703a","","checklist-flat","","QA - 08. Foundations (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Capping Beams","Foundations -Gridline Y1 (CB1)"
"ed228ca9-0801-4e2a-988d-454c2808e565","","checklist-flat","","QA - 08. Foundations (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Capping Beams","Foundations -Gridline 8A (CB1)"
"b257acbe-cb74-4f59-8315-bc2242ccadb7","","folder-normal","","","step","TRUE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Temporary Works (Ground Anchors & Waler Beams) "
"7959c32d-9363-4e37-aa46-939cdd4e42c6","","checklist-flat","","QA - Temporary Anchors and Waler Beams (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Temporary Works (Ground Anchors & Waler Beams) ","Stage 1"
"736833bf-2ccd-4c74-8325-3ac75b0f8f04","","checklist-flat","","QA - Temporary Anchors and Waler Beams (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Temporary Works (Ground Anchors & Waler Beams) ","Stage 2"
"9f3f02ab-0be5-4773-a055-99603aea11fc","","folder-normal","","","step","TRUE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Shotcrete (Ground Floor - Level 1)"
"4cd4be10-6802-4496-866f-d0cac7965945","","checklist-flat","","QA - 03. Shotchrete (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Shotcrete (Ground Floor - Level 1)","Shotcrete GL X2-X1 / Y1-Y3"
"bfea985c-a787-4aa2-9c8e-c52d960ab8d0","","checklist-flat","","QA - 03. Shotchrete (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Shotcrete (Ground Floor - Level 1)","Shotcrete GL Y1 / X1-J"
"932cca47-82f8-4b8f-a5b0-b54dc546ef9d","","checklist-flat","","QA - 03. Shotchrete (RevA)","checklist-flat","FALSE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Shotcrete (Ground Floor - Level 1)","Shotcrete GL X2-J / Y3-8A"
"dcd9fd79-cebf-4f02-a6d7-47c59e8dd91c","","folder-normal","","","step","TRUE","FALSE","Project Build QA","Structure","Sub Structure","Retaining Wall","Shotcrete (Level 1 - Level 2)"
