Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,,
Health & Safety - Weekly Safety Audit 2023,,,,,,,,,,,,,
,Scope,,,Health & Safety,Weekly Safety Audits 2023,,,,,,,,
,Rows,,,,,,,,,,,,
,,JAN 23,dynamic,JAN 23,Weekly Safety Audits 2023,Health & Safety,,,,,,,
,,FEB 23,dynamic,FEB 23,Weekly Safety Audits 2023,Health & Safety,,,,,,,
,,MAR 23,dynamic,MAR 23,Weekly Safety Audits 2023,Health & Safety,,,,,,,
,,APR 23,dynamic,APR 23,Weekly Safety Audits 2023,Health & Safety,,,,,,,
,,MAY 23,dynamic,MAY 23,Weekly Safety Audits 2023,Health & Safety,,,,,,,
,,JUN 23,dynamic,JUN 23,Weekly Safety Audits 2023,Health & Safety,,,,,,,
,,JUL 23,dynamic,JUL 23,Weekly Safety Audits 2023,Health & Safety,,,,,,,
,,AUG 23,dynamic,AUG 23,Weekly Safety Audits 2023,Health & Safety,,,,,,,
,,SEP 23,dynamic,SEP 23,Weekly Safety Audits 2023,Health & Safety,,,,,,,
,,OCT 23,dynamic,OCT 23,Weekly Safety Audits 2023,Health & Safety,,,,,,,
,,NOV 23,dynamic,NOV 23,Weekly Safety Audits 2023,Health & Safety,,,,,,,
,,DEC 23,dynamic,DEC 23,Weekly Safety Audits 2023,Health & Safety,,,,,,,
,Columns,,,,,,,,,,,,
,,DOCUMENTATION CHECKS,,Documentation Checks,,,,,,,,,
,,SITE CONTROL,,Site Control,,,,,,,,,
,,SITE FACILITIES,,Site Facilities,,,,,,,,,
,,GENERAL SITE TIDINESS & ACCESSWAYS,,General Site Tidiness and Accessways,,,,,,,,,
,,PERSONAL SAFETY EQUIPMENT,,Personal Safety Equipment,,,,,,,,,
,,FIRST AID/FIRE PREVENTION,,First Aid/Fire Prevention,,,,,,,,,
,,CRANES/HOIST/LIFTING EQUIPMENT,,Cranes/Hoist/Lifting Equipment,,,,,,,,,
,,COMPRESSED AIR EQUIPMENT,,Compressed Air Equipment,,,,,,,,,
,,EXCAVATIONS,,Excavations,,,,,,,,,
,,WELDING/GAS CUTTING,,Welding/Gas Cutting,,,,,,,,,
,,ELECTRICAL EQUIPMENT,,Electrical Equipment,,,,,,,,,
,,CHEMICALS,,Chemicals,,,,,,,,,
,,TOOLS,,Tools,,,,,,,,,
,,SCAFFOLDING,,Scaffolding,,,,,,,,,
,,LADDERS,,Ladders,,,,,,,,,
,,FALL HAZARDS,,Fall Hazards,,,,,,,,,
,,ENVIRONMENTAL ISSUES,,ENVIRONMENTAL ISSUES,,,,,,,,,
,,,,,,,,,,,,,
Health & Safety - Monthly Safety Audit 2023,,,,,,,,,,,,,
