"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d5cc41d5-36da-4f85-9bc6-488a6a1f7415","","folder-normal","work-in-progress","","step","FALSE","FALSE","MCB Plumbing QA"
"f1ad5bca-e707-4182-b2b5-5158cd3ec63c","","folder-normal","work-in-progress","","step","TRUE","FALSE","MCB Plumbing QA","Building B01A"
"8f7e41aa-2c29-57fa-b457-a58b27785b61","","checklist-sectioned","pass","Sewer & Stormwater","checklist","FALSE","FALSE","MCB Plumbing QA","Building B01A","Sewer & Stormwater"
"c644802b-d1f0-495d-b0f5-20f04fa5a60b","","folder-normal","work-in-progress","","step","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix"
"55d089da-a0f9-4c5e-8841-74b3ddbc50bb","","folder-normal","pass","","step","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 0"
"9860a8fe-9b5a-4183-9065-4d8e8ce5d260","","folder-normal","pass","","step","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 0","Common Areas"
"ec962d03-f6e4-462b-bb74-ad83ec7312d2","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 0","Common Areas","Lobby"
"ca96cfa4-160a-4ca0-972f-ec0290858a36","","folder-normal","pass","","step","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1"
"0a984bc0-25a8-48ed-9699-7b27159a9393","","folder-normal","pass","","step","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas"
"50003ec7-6cf1-47b6-8ea0-c6a3416423e5","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Activities Room"
"2cc00a63-4e79-4679-afd7-24fffc76a7cb","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Bar"
"2e993333-faba-4712-87f7-12785ca16caf","","checklist-sectioned","not-applicable","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Bar Lounge"
"a96c4406-2e59-4da3-b28e-9520ebb29f74","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Beauty room"
"7f267c18-dffc-46c2-b530-252bc8c45e42","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Billiard Room"
"77691197-bdd8-4088-a7c1-e3290ca7619a","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Café"
"516f1524-15b0-4bf7-93fd-2114656cd4be","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Dining Room"
