Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,,,,,,,
checklist-sectioned,,,checklist,ITP007 - Concrete - Column Installation,itp,,,,Yes,ITP007 - Concrete - Column Installation,f41499fc-e2b7-4fd9-a8aa-74cd935c27d9,,,,,,,,,,
checkpoint-group,,,section,SECTION 3 – RECEIVING INSPECTIONS,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,3.1 - ELEMENT IDENTIFICATION,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,3.2 - Survey / Set out,,,,,,,,,,,,,,,,,
label,8bb66d57-c1cf-509d-a395-f9980e643568,,note,Inspection Point: Quality Control Activity - Levels confirmed on site,,,,,,,,,,,,,,,,,
label,a20db616-61b9-5c64-bfc1-170acd790905,,note,Acceptance Criteria - Set out in accordance with design drawings or site conditions,,,,,,,,,,,,,,,,,
label,1728c775-9112-509b-9413-2479bcee6e8d,,note,Verifying Document - Visual Inspection / On Site Verification,,,,,,,,,,,,,,,,,
label,28edf8f6-51b3-5187-a373-e6c9fe37d832,,note,Key - I,,,,,,,,,,,,,,,,,
label,27e9f54f-83ae-52b4-b6bd-4e01ef2ca1dd,,note,By - IP,,,,,,,,,,,,,,,,,
checkpoint-group,,,section,SECTION 4 – IN-PROCESS INSPECTIONS,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,4.1 - Reinforcement Installation,,,,,,,,,,,,,,,,,
label,c43a51fd-688c-5e36-8ba0-141834a3ee31,,note,Inspection Point: Quality Control Activity - Structural Reinforcement as per Structural Design documentation / additional SDA,,,,,,,,,,,,,,,,,
label,950dbd46-bc0c-5bdb-9911-a46da82757ff,,note,"Acceptance Criteria - Steel bar installed as required, with starter bars if needed",,,,,,,,,,,,,,,,,
label,d380a811-f080-5fa0-afca-827e35c59989,,note,Verifying Document - Client Engineering Inspection,,,,,,,,,,,,,,,,,
label,885ee09c-2c49-5e51-95e5-e260738af7f3,,note,Key - HP,,,,,,,,,,,,,,,,,
label,b13111e9-0c5c-5ccf-9052-4609e974c5f1,,note,By - IP,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,4.2 - Formworks,,,,,,,,,,,,,,,,,
label,978905c7-8971-568e-b368-599ecd907c76,,note,Inspection Point: Quality Control Activity - Formworks to comply with the final shape/size of the column,,,,,,,,,,,,,,,,,
label,29f182f3-ae61-556e-ac3f-85e0bbb94be9,,note,Acceptance Criteria - Formworks match designs and will enable concrete finishes as desired,,,,,,,,,,,,,,,,,
label,a324b857-648f-5c3f-9400-9bbeb637ee9a,,note,Verifying Document - Visual Inspection,,,,,,,,,,,,,,,,,
label,7e960969-1738-556e-ac31-42abab587499,,note,Key - WP,,,,,,,,,,,,,,,,,
label,17601a1f-9881-553c-9012-963b75eba132,,note,By - IP,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,4.3 - Finish,,,,,,,,,,,,,,,,,
label,ee9a3e9d-9d8f-5713-ac63-5df76f824dc3,,note,Inspection Point: Quality Control Activity - Finish surface of column or off-form finish,,,,,,,,,,,,,,,,,
label,e8f9ebad-18dd-57f1-9ecc-56b45fc1dc66,,note,Acceptance Criteria - Finished as required,,,,,,,,,,,,,,,,,
label,f53fc4c8-ed9d-5df5-8e0c-0dfe422fd62a,,note,Verifying Document - Visual Inspection,,,,,,,,,,,,,,,,,
label,570c32a8-6f97-52e7-8454-abc762864bf8,,note,Key - WP,,,,,,,,,,,,,,,,,
label,d323b3b4-1d99-56fd-a0f9-28ceb2dc0cf8,,note,By - IP,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,4.4 - Pre-Pour Concrete Check,,,,,,,,,,,,,,,,,
label,29a5e9e0-fe9a-5925-ba59-6d6f090e303b,,note,Inspection Point: Quality Control Activity - Inspection of reo and formworks,,,,,,,,,,,,,,,,,
label,d785284d-f3f1-561d-9324-0e1f661a219b,,note,Acceptance Criteria - Steel reinforcement in accordance with design documentation,,,,,,,,,,,,,,,,,
label,09ca15d1-04bc-595c-911a-f5f607698ff9,,note,Verifying Document - Client Inspection,,,,,,,,,,,,,,,,,
label,8a498974-f622-5278-b800-87ad31f9bd69,,note,Key - HP,,,,,,,,,,,,,,,,,
label,ce4f6a79-f7ce-595e-a9ad-3e7bbef27df8,,note,By - IP,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,4.5 - Concrete Pour,,,,,,,,,,,,,,,,,
label,07803ecf-ad03-5e18-8ed9-dcc55254f009,,note,Inspection Point: Quality Control Activity - Concrete is poured to required levels and strength,,,,,,,,,,,,,,,,,
label,0ae98a9e-89a2-50d9-9696-b13821458a40,,note,"Acceptance Criteria - Strength and finish requirement met, Finished level within tolerances",,,,,,,,,,,,,,,,,
label,ba1bea15-feae-5200-9841-fc9fb46e2143,,note,Verifying Document - Visual inspection Strength Test Supplier:,,,,,,,,,,,,,,,,,
label,d7a3dcfd-2a39-5f8b-b106-b29156cf73eb,,note,Key - HP,,,,,,,,,,,,,,,,,
label,c15571da-497b-59e0-9596-812c48b51252,,note,By - IP,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,
