Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,,,,,,,,,,,,
checklist-sectioned,,,checklist,ITP105 - Civil - Concrete Stairs,itp,,,,Yes,ITP105 - Civil - Concrete Stairs,127a8915-0f4e-4fe5-8960-7f3617b92efc,,,,,,,,,,,,,,,
checkpoint-group,,,section,SECTION 3 – RECEIVING INSPECTIONS,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,3.1 - ELEMENT IDNETIFICATION,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,3.2 - Survey / Set out,,,,,,,,,,,,,,,,,,,,,,
label,47e36a25-879a-5f8b-9e0e-0350e6e46a10,,note,Inspection Point: Quality Control Activity - Levels confirmed on site,,,,,,,,,,,,,,,,,,,,,,
label,08e3e1c1-870d-50c1-b27d-56b0a7b45c53,,note,Acceptance Criteria - Set out in accordance with design drawings or site conditions,,,,,,,,,,,,,,,,,,,,,,
label,076dddb4-3af6-58d7-b71c-db76d5a8fbd2,,note,Verifying Document - Visual Inspection / On Site Verification,,,,,,,,,,,,,,,,,,,,,,
label,7c33eefc-d78e-5bb7-8cfd-806fd249ea4c,,note,Key - I,,,,,,,,,,,,,,,,,,,,,,
label,897339df-76e1-5c2e-8d0a-0a67d43b3f92,,note,By - IP,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,,,section,SECTION 4 – IN-PROCESS INSPECTIONS,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,3.1 - Preparation of Subgrade/Rock Preparation,,,,,,,,,,,,,,,,,,,,,,
label,987c620d-ffe3-587a-8339-af9119e55569,,note,Inspection Point: Quality Control Activity - Subgrade meets design requirements. FCR placed to specified thickness and compacted,,,,,,,,,,,,,,,,,,,,,,
label,934376ec-04ff-5011-b20c-452587049c26,,note,Acceptance Criteria - No soft spots. Rock layer conforms to required thickness.,,,,,,,,,,,,,,,,,,,,,,
label,c0074e3e-6fbc-5bb1-98e6-6e76df078a46,,note,Verifying Document - Visual Inspection. Geotech test if required.,,,,,,,,,,,,,,,,,,,,,,
label,cdcbe620-9818-5ca7-a289-addb20b8fdab,,note,Key - W,,,,,,,,,,,,,,,,,,,,,,
label,6f1e2e7c-0eb5-5030-9b31-70adb776985e,,note,By - IP,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,3.2 - Steel Formwork (if required),,,,,,,,,,,,,,,,,,,,,,
label,e4e5eda6-d664-5462-b12a-01509fd9a931,,note,"Inspection Point: Quality Control Activity - Installation of Bondek, to suit stair design",,,,,,,,,,,,,,,,,,,,,,
label,98dca52d-589c-5357-b556-edb131099cf3,,note,Acceptance Criteria - Bondek installed as per drawings,,,,,,,,,,,,,,,,,,,,,,
label,81c70e5b-de89-5c46-9ff9-03dcc3e21645,,note,Verifying Document - Visual Inspection,,,,,,,,,,,,,,,,,,,,,,
label,264e3c02-f54c-57f2-ab29-67121cb1bf16,,note,Key - H,,,,,,,,,,,,,,,,,,,,,,
label,7a11c100-f4a1-5d6d-bfb2-874da641de9a,,note,By - PE,,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,
