"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7d61ffb8-e302-4de5-9976-a03b67b71cb3","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"5bc474ef-1016-4490-9f51-cf6a0c897b38","","work-in-progress","","folder","FALSE","FALSE","Site QA","B04"
"1824766f-69e8-4349-9305-b2b896375299","","work-in-progress","","folder","TRUE","FALSE","Site QA","B04","Ground Floor"
"c350b2d3-20ba-47f2-a6bd-f34ba0c709a8","","work-in-progress","","folder","TRUE","FALSE","Site QA","B04","Ground Floor","Zone 1"
"4fb20b27-3ec0-4692-8e43-2ec04fd9f72e","","pass","Corridor Mains Pipework Checklist","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","Corridor Mains Pipework"
"98596f0b-c403-468d-adf0-1695848e29c3","","pass","Underfloor check","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","Grid 1 to Grid 6"
"29c2735b-6eb8-4eac-89cd-f970b298baff","","pass","Underfloor check","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","Grid 6 - Grid 12"
"1f735421-7634-4b87-be4c-cb4982f0d8bc","","work-in-progress","","folder","TRUE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix"
"f5f47e37-aa15-42bb-bbb5-002cfdb72cbd","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-A 001"
"10166f9d-8b6f-41bc-9cc6-1650aa0a4ab5","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-A 002"
"23b39a8c-5738-4b31-803b-775d5ec1e28d","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-C 003"
"0d1ef474-b685-407b-bb4c-8b3252c5a474","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-AP 004"
"78e6fa0c-e364-4335-bc44-c9db0e724d0c","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-B 005"
"c96b4b63-df20-494b-a494-d2629692792f","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-AP 006"
"20fba7a7-4207-413d-8bfb-63f610fe66d9","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-AP 007"
"36b9ef82-c2a3-490b-9a10-e7d0f1444351","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-B 008"
"16f3fb42-f497-4b63-863c-4d8ddeb5e50d","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-C 009"
"aafd41c3-614d-4da7-aba4-5cb239bf6ad9","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-AP 010"
"9129acea-b823-4704-ae4b-c97cb4b5d9d0","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-A 011"
"e710992c-dd06-4c26-a7ff-1f92e1ae0785","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-AP 012"
"88d71b39-ef09-4da5-b237-2330f509db1d","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-C 013"
"0fd0c3f7-7fc6-4136-ad6d-d58dbafce0da","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-AP 014"
"a50ddb28-9c35-405f-add7-6715893b1b99","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-B 015"
"17f021ff-72cf-4b14-9578-2a7ddd0a64e1","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-AP 016"
"a57b0e53-616d-47d0-8304-457c79e5d8dc","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-AP 017"
"b34e51ff-9f6a-421f-8c9e-0ae76b1d2c2e","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-AP 018"
"2c4e2deb-2d35-4e5e-b496-c8f47cc839e8","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-AP 019"
"2af1662c-839d-4e90-9bdf-b1feccd01ef9","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Room MCS-C 020"
"df882708-76b7-468c-9969-6d5c031d827e","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Commercial Laundry"
"eeda990f-b7ff-4bc2-b02d-efefc62794ed","","not-started","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Pump Room"
"7245fa61-53f7-4389-bd7d-eae22bcbf19a","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Cleaners Room 2"
"12bbf060-0d1a-4eb4-b570-a1dd59302200","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Sluice Room 1"
"673686f4-3fec-45f3-8515-a0ffa6685434","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Cleaners Room 1"
"53753ba5-f9b0-46c9-b9d5-5e1bfcec68ae","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Drugs Room 1"
"5b7e1813-e971-418f-a187-c68d9202f452","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Acc WC 1"
"a33e832c-2d16-4487-b3eb-bd0e42458ff4","","pass","First Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","First Fix","Kitchenette 1"
"612923a1-6431-40da-b6d6-a587ce0482b3","","not-started","","folder","TRUE","FALSE","Site QA","B04","Ground Floor","Zone 1","Second Fix"
"42a6708c-e7bb-4602-9581-78726b3be2db","","not-started","Second Fix QA","checklist","FALSE","FALSE","Site QA","B04","Ground Floor","Zone 1","Second Fix","Room MCS-A 001"
