"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d685a302-5bc8-462b-bf57-19b9b2cd9603","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"9c5330cf-bcca-4f08-984c-fee771fdb047","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Underslab"
"1eb354a4-536d-4568-89cd-f7eeb9d665e7","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Drainage"
"7d389292-a55e-450e-8da6-d230ba720a06","","pass","","folder","TRUE","FALSE","Project QA","Basement"
"b0373a9d-d3cb-4c23-9e93-02f34d927ebf","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","Basement","First Fix"
"3c46e47b-f8b2-4471-8622-1cde63c8e185","","not-applicable","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","Basement","Second Fix"
"f50c04b1-a757-40d5-9d30-4db7e4d10e4d","","pass","Add Drainage checks","checklist","FALSE","FALSE","Project QA","Basement","Drainage"
"eac0e8cc-ebcb-42dd-b083-40c2cd2241ff","","work-in-progress","","folder","TRUE","FALSE","Project QA","Ground Floor"
"8f9dc046-592d-4309-9123-87446822bf98","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","Ground Floor","First Fix"
"7f26b93c-20fc-4258-b482-55aa601ec9dc","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","Ground Floor","Second Fix"
"33186d41-ca2b-4901-9e92-d5ebb2d42b97","","work-in-progress","","folder","TRUE","FALSE","Project QA","1st Floor"
"8dc49904-b231-4af8-9f9c-e6f38a250cc6","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","1st Floor","First Fix"
"f16c3614-64a3-466c-afba-f12d1481232c","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","1st Floor","Second Fix"
"1bdd157f-5468-4ef4-9a20-b97d0295b95d","","work-in-progress","","folder","TRUE","FALSE","Project QA","2nd Floor"
"dd009959-f3c5-4c0e-9979-1e497a9eab87","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","2nd Floor","First Fix"
"a191f241-f84a-45d6-a094-2d71a8c90344","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","2nd Floor","Second Fix"
"1b07accf-eafa-4584-b9a7-3819f55dd13d","","work-in-progress","","folder","TRUE","FALSE","Project QA","3rd Floor"
"f5724fb2-3d8a-4861-a617-af2e98adef33","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","3rd Floor","First Fix"
"8589cc09-e9bb-4bc9-9b85-e69460a89de3","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","3rd Floor","Second Fix"
"ce21792b-6b1d-4542-9c9f-2a9889caaf11","","not-started","","folder","TRUE","FALSE","Project QA","Health and Safety"
"9912fe2a-3ef5-425d-bd99-032dc3e7c859","","not-started","H&S Toolbox Talks","checklist","FALSE","FALSE","Project QA","Health and Safety","Toolbox Checklist"
