"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2d7ccd47-9092-401c-92a0-bfe91e4af38c","","fail","","folder","TRUE","FALSE","Project QA"
"7d2753c4-02fa-42d0-ad78-f105c2db6adb","","not-started","","folder","TRUE","FALSE","Project QA","Underslab"
"4bfafa78-4d95-496f-a12b-92f503494008","","not-started","Add Underfloor checks","checklist","FALSE","FALSE","Project QA","Underslab","Underfloor"
"1577485a-bb52-4a2b-9306-dac27523a9f2","","fail","","folder","TRUE","FALSE","Project QA","Drainage"
"ba461223-bb0c-43ac-8542-091370041b30","","fail","Add Drainage checks","checklist","FALSE","FALSE","Project QA","Drainage","Drainage"
"3aea8543-1c80-4aac-b321-196e0a10a833","","pass","","folder","TRUE","FALSE","Project QA","First Fix"
"86d58660-62f3-44a3-8311-5764d9832823","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix"
"9f389126-d1a7-4d32-a32d-326f43ca6460","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix ground acc shower "
"9e52cde0-f0f2-4d03-bb50-0aab09893575","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix ground unisex wc "
"8b127c65-db9d-4527-9e14-ebf05663e3cc","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix ground acc wc "
"26a4638a-158e-44fb-a559-b80819a1b7e3","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix stack work "
"1e2485f4-1cff-4504-8c37-e078f0e121cf","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix level one unisex wc"
"70933924-c3f4-4268-a819-8a4f49e26b0a","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix level one cleaners and hwc room "
"e2a4e01a-4296-43c5-994e-5a872e10c440","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix level one acc bathroom "
"1445d6c9-bab5-4c0b-ac8d-03e7695a7465","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix ground internal down pipes "
"e22bdd26-9aac-4813-9f1d-aee1a8686514","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix level one internal downpipes "
"1d9f7151-563f-4d44-b461-649c45334a65","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix cold into building "
"fb7d06f2-6516-4623-bdd7-2568d3dcfed3","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix future water feeds x 5"
"cb3e5811-61c3-4905-a6ca-95f379d4506d","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","First Fix","First Fix future sewer ground "
"f0a8f9a8-45a4-438a-ab13-97d920b881e0","","not-started","","folder","TRUE","FALSE","Project QA","Second Fix"
"5232ae3d-c9ff-456f-aaaa-3fa1d42768ec","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","Second Fix","Second Fix"
