"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a45a9923-b87b-4b74-88cc-b2c0e9ea2158","","work-in-progress","","folder","TRUE","FALSE","Basement"
"7504afa9-4f64-4df9-b612-9394d9cbe388","","not-started","","folder","TRUE","FALSE","Basement","Stormwater Underslab"
"f6ccf251-d949-49be-9f37-0a68a7151cee","","not-started","Underfloor check","checklist","FALSE","FALSE","Basement","Stormwater Underslab","Underfloor check"
"6caa72a3-2628-4212-97b5-7547e882b262","","not-started","In slab Pipe Work","checklist","FALSE","FALSE","Basement","Stormwater Underslab","In slab Pipe Work"
"56b74b97-46df-4a96-80e9-83e4e546afd9","","not-started","Drainage","checklist","FALSE","FALSE","Basement","Stormwater Underslab","Drainage"
"fed864eb-d810-4cec-82a7-a0c05e63334c","","not-started","","folder","TRUE","FALSE","Basement","Stormwater Sleeves"
"0b2bdf9c-9467-469a-9333-8c3cd131a531","","not-started","Underfloor check","checklist","FALSE","FALSE","Basement","Stormwater Sleeves","Underfloor check"
"a8635656-99af-4c8f-a597-bbf7f8c93b27","","not-started","In slab Pipe Work","checklist","FALSE","FALSE","Basement","Stormwater Sleeves","In slab Pipe Work"
"ba184e20-73a4-45d6-8542-31627f7f8315","","not-started","Drainage","checklist","FALSE","FALSE","Basement","Stormwater Sleeves","Drainage"
"aabbf92e-6371-4e33-91d7-d6541194621d","","work-in-progress","","folder","TRUE","FALSE","Basement","Sanitary Underslab"
"bc394f47-104d-4dc5-8f89-744819d0b85c","","not-started","Underfloor check","checklist","FALSE","FALSE","Basement","Sanitary Underslab","Underfloor check"
"e9768d18-caca-4e7a-8175-f8c7c42aad6d","","pass","In slab Pipe Work","checklist","FALSE","FALSE","Basement","Sanitary Underslab","In slab Pipe Work"
"50ae46be-05ec-4c07-bc42-d4e467cb86e9","","not-started","Drainage","checklist","FALSE","FALSE","Basement","Sanitary Underslab","Drainage"
"0f806974-af19-472e-945b-d9752bd7e6ba","","not-started","","folder","TRUE","FALSE","Basement","Services Underslab"
"7bfb093f-29e0-498f-8c1b-4111a9519ffd","","not-started","Underfloor check","checklist","FALSE","FALSE","Basement","Services Underslab","Underfloor check"
"f27c44fe-1758-4b69-855a-3957a8e65370","","not-started","In slab Pipe Work","checklist","FALSE","FALSE","Basement","Services Underslab","In slab Pipe Work"
"f8ada84b-c2b8-473d-ae9d-9e7f73ba7c7a","","not-started","Drainage","checklist","FALSE","FALSE","Basement","Services Underslab","Drainage"
"5882217b-5bb7-45a8-bf55-4dce6e4484dd","","not-started","","folder","TRUE","FALSE","Basement","Channel Drainage"
"76424f86-d793-49bd-bd78-1c1c86ab8d6c","","not-started","Underfloor check","checklist","FALSE","FALSE","Basement","Channel Drainage","Underfloor check"
"45dc5679-af8e-4f31-852f-5cf2a7dcad05","","not-started","In slab Pipe Work","checklist","FALSE","FALSE","Basement","Channel Drainage","In slab Pipe Work"
"e98eeba7-e5df-4d0f-9004-a1b2a6c1663f","","not-started","Drainage","checklist","FALSE","FALSE","Basement","Channel Drainage","Drainage"
"0f9cf2a1-595d-4494-850e-3a5298f1f1b6","","work-in-progress","","folder","TRUE","FALSE","Basement","Pump Station"
"2807a701-caa9-4497-afa3-48bc5c6e910e","","pass","Underfloor check","checklist","FALSE","FALSE","Basement","Pump Station","Underfloor check"
"8db0dfbc-152c-406a-8a13-c947c1d78f52","","not-started","In slab Pipe Work","checklist","FALSE","FALSE","Basement","Pump Station","In slab Pipe Work"
"2ff1b49e-1bbf-4cef-b1f7-2be9c067b77e","","work-in-progress","Drainage","checklist","FALSE","FALSE","Basement","Pump Station","Drainage"
"a03dfdd6-94dd-4075-9925-501ac3ec5f4d","","not-started","","folder","TRUE","FALSE","Basement","Dewatering"
"b6ca879f-2eff-45ef-8359-c4e26a50a577","","not-started","Underfloor check","checklist","FALSE","FALSE","Basement","Dewatering","Underfloor check"
"1eb6766b-2420-4310-b759-ac6440125f49","","not-started","In slab Pipe Work","checklist","FALSE","FALSE","Basement","Dewatering","In slab Pipe Work"
"57817f94-f9d7-4022-956c-60d545895651","","not-started","Drainage","checklist","FALSE","FALSE","Basement","Dewatering","Drainage"
