"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4597fe75-89f8-490c-a5be-2b64ce53a72b","","fail","","folder","TRUE","FALSE","Project QA"
"afeea69a-1377-4f79-af06-2da9d8f49dcb","","fail","","folder","TRUE","FALSE","Project QA","31 - US1"
"635b50f0-299a-4258-ba0b-02ed96ea1aa3","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","31 - US1","First Fix"
"522586da-99d1-468b-98d7-3a18fb5f0354","","fail","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","31 - US1","Second Fix"
"cd78ee46-a4d7-4b23-aebf-7a7a6670920f","","work-in-progress","","folder","TRUE","FALSE","Project QA","16 CT Room"
"2d05208c-6b6f-48d3-a823-49f5e8993c15","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","16 CT Room","First Fix"
"2396bbfd-eb39-47e4-a279-1effc83aaa7a","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","16 CT Room","Second Fix"
"5b467954-cde9-4b91-ae0a-5fb5ff4b2ab4","","no-status-not-started","","folder","TRUE","FALSE","Project QA","18 ACC Shower"
"1221f83e-c5c3-4ace-856a-e316ca73804e","","work-in-progress","","folder","TRUE","FALSE","Project QA","19 Bed Bay"
"c299d955-775d-425c-a505-3324ea4baca6","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","19 Bed Bay","First Fix"
"ef0915a0-a713-41be-addf-1bca87b067b2","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","19 Bed Bay","Second Fix"
"1d4a42b9-5b09-4a5c-abc9-638778afe9a3","","work-in-progress","","folder","TRUE","FALSE","Project QA","02 ACC WC"
"f1351b84-c0d0-4b1f-b468-5a1a788fcfd3","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","02 ACC WC","First Fix"
"945ad949-560c-4e08-be8c-d0e966673133","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","02 ACC WC","Second Fix"
"b1b2b11c-55a5-4c7c-b637-7372c51e5edb","","work-in-progress","","folder","TRUE","FALSE","Project QA","14 X Ray Room"
"3f9d61bb-a078-459d-95e7-0a5ba10a93d4","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","14 X Ray Room","First Fix"
"7e3cbdce-cd48-4fb8-aa26-8ffa225784f8","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","14 X Ray Room","Second Fix"
"769ef7d4-fc83-4c2a-bece-582f94772b35","","work-in-progress","","folder","TRUE","FALSE","Project QA","22 Cleaners Room"
"b1f4c4fa-4009-4593-bf14-6515b33d3c70","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","22 Cleaners Room","First Fix"
"ba881961-c240-4c7f-842f-368e16e3f932","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","22 Cleaners Room","Second Fix"
"26bb29d2-f6f9-4cb4-a7c5-6d3a7b8cd6c0","","work-in-progress","","folder","TRUE","FALSE","Project QA","24 ACC Shower"
"45031d05-302b-4e0c-a81a-45ca5d133c4b","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","24 ACC Shower","First Fix"
"8b2cd182-3e8f-4e6c-a1a6-005d86ec593d","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","24 ACC Shower","Second Fix"
"350cb769-a2ec-45c3-a49b-99026ca67bf0","","work-in-progress","","folder","TRUE","FALSE","Project QA","28 Staff Room"
"2ed3980b-121e-4c72-a5e4-4f341078f9dd","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","28 Staff Room","First Fix"
"9777a267-b1c8-4b39-a510-83cf09526d60","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","28 Staff Room","Second Fix"
"64538985-c4cd-474a-8e22-ca9fbe43e25b","","work-in-progress","","folder","TRUE","FALSE","Project QA","30 Dirty Utility"
"c32a6846-195c-419a-8216-9bea07bf6243","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","30 Dirty Utility","First Fix"
"cb02176a-33a7-4f2c-8313-ee22a6d6f56f","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","30 Dirty Utility","Second Fix"
"e94fdb0f-0021-40d3-b466-6437a4a8bd81","","work-in-progress","","folder","TRUE","FALSE","Project QA","HWC"
"17004afb-7e36-4f55-98dc-b54123253ba3","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","HWC","First Fix"
"2d795fbf-7d31-4b68-ae7b-e8b2a3634fcc","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","HWC","Second Fix"
"95d9c669-c252-4c42-bb23-6e7c6735d563","","work-in-progress","","folder","TRUE","FALSE","Project QA","33 ACC WC"
"8b5ae101-ed0a-44c4-9879-62155f190fac","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","33 ACC WC","First Fix"
"01d2afe3-d73a-489b-a09f-543bd0894985","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","33 ACC WC","Second Fix"
"6e20cfb1-5129-4b7a-8e44-797b5c46516e","","work-in-progress","","folder","TRUE","FALSE","Project QA","36 Mammo"
"99f163f6-4f28-42ee-9933-b96bce3519c1","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","36 Mammo","First Fix"
"bbfc8963-68f2-406b-9ba9-85e249e9c755","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","36 Mammo","Second Fix"
"9f2545dd-140e-4207-a76c-ee293c818aac","","work-in-progress","","folder","TRUE","FALSE","Project QA","37 US2"
"0885ea6b-0222-438c-8256-9dc13338e1e4","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","37 US2","First Fix"
"cf5aefa9-be5d-4fcd-b9ed-5da7a8395c79","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","37 US2","Second Fix"
"dde005a6-7117-4788-aab3-849354c2b1d2","","work-in-progress","","folder","TRUE","FALSE","Project QA","06 Corridor Drinking Fountain"
"decfb031-1349-4c6d-90fd-856b71b5eec5","","pass","Add First Fix checks","checklist","FALSE","FALSE","Project QA","06 Corridor Drinking Fountain","First Fix"
"e8a16482-54ee-4589-940f-e935675de196","","not-started","Add Second Fix checks","checklist","FALSE","FALSE","Project QA","06 Corridor Drinking Fountain","Second Fix"
