"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fc8496ab-f697-4152-9a57-021dc0eee64b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Ground Floor"
"a80570df-f7ab-4f03-92d3-89d961cb3328","","folder-normal","work-in-progress","","step","TRUE","FALSE","Ground Floor","Internal rooms"
"613fdd52-10d6-4a83-b4a4-f4205dfeaa19","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.01 Airlock"
"9755df71-13bd-42dd-a45a-5f8c4553fcd5","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.02"
"36bc8d2b-a20a-442e-a51e-7737d0cb5472","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.03 Entry/Foyer"
"e9f76c18-c439-47e0-9284-7671fb41fe93","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.04 Reception"
"e2cd50ba-a549-46f1-a772-1132bb5c6653","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.05"
"4e4f89ce-9354-45b2-8543-0bb05d72810a","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.06 Merch"
"2e9ad5cd-ed7e-4900-8f83-37996d62397d","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.07 Café"
"affbdf90-ed2b-4738-b8a6-0fd50eff3dca","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.08 Café Store Room"
"d12d29df-200d-4b2e-bbea-43c320481985","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.09"
"37b4b3e2-2c09-4c42-b357-19a94e040c50","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.10 Community/Store"
"2577dae0-4da7-4f4a-8a93-0572a74b2d4e","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.11"
"9ebb4ed1-a7fe-49b0-b9a1-14d61fccdb65","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.12"
"956ff18d-3d84-4336-8d77-59cd4fce1486","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.13 Stair 2"
"7572648d-eccf-4834-b703-51c449c40f3b","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.14 Plant"
"5f03d079-9628-4364-bf94-6ad501df9546","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.15 Load / Store"
"d1591b48-7f06-4d88-930e-f89acd7279f0","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.16 Court 1"
"a0f3465b-ffbe-4cfb-955c-0cf364cabff8","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.17 Stair 3"
"df56e0fa-9f39-4e06-ade0-7e6ec696f331","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.18 Bin Store"
"6c606fd1-12a7-4ba6-aa5b-0b765e955b39","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.19 Circulation"
"393ade54-8b24-4ac2-88fa-dcd76de1e5db","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.20 Family"
"a8584875-07da-4f06-8054-b1f33b2f1e3b","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.21 Male"
"e6099059-0a25-4d03-9029-f49b5eddb83b","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.22 Female"
"067083fe-5070-4269-be78-8e7b5f8f6a20","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.23 DDA WC / Shower"
"d1fceb15-b3b1-42ce-b520-feb019d42b4e","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.24 GN Shower"
"1c22c697-2eef-4f58-a081-3490e687cc59","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.25 GN WC"
"ab55cf40-43f6-474a-b811-12e4cc59b1c5","","checklist-flat","work-in-progress","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.26 Cleaners"
"159d1ccb-00eb-4b1a-9b04-0f842a656890","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.27 Lift Lobby"
"26489721-9cb4-4c4a-835d-28aea0111d11","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.28 Stair 1"
"6abc0b8a-c13e-4b0b-86b8-e9f25c9c1d6b","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.29"
"6ad504ff-933d-4555-9fcd-f9e63a99cb99","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.3"
"9db3e946-49f8-4e74-aa28-95708286fdd5","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.31 Lift 1"
"e8f73679-49c9-4441-8d15-664af29c61e0","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Ground Floor","Internal rooms","0.32 Lift 2"
"0c41fe0d-83e6-401a-bb84-ef1631e407fa","","folder-normal","not-started","","step","TRUE","FALSE","Level 1"
"a7e67a50-f5d5-4438-8d3e-299e255a44a9","","folder-normal","not-started","","step","TRUE","FALSE","Level 1","Internal Rooms"
"ab09acc6-d215-4f80-9456-88aae7474916","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 1","Internal Rooms","1.01 Lift Lobby"
"9d855939-0c9b-4a80-94cb-0f31d6244217","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 1","Internal Rooms","1.02 Gym"
"dcedfda5-4318-4e9f-be6a-ef03e209f641","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 1","Internal Rooms","1.03"
"85356ae7-bc40-4789-b4b3-8d0082f9cf10","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 1","Internal Rooms","1.04 Female"
"4e572ff7-d07a-4f20-aabf-0889c1350680","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 1","Internal Rooms","1.05 DDA WC/Shower"
"fa9f4f57-0c03-40de-9488-a8450ae5c6bb","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 1","Internal Rooms","1.06 GNB"
