type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,
checklist,Embankment Construction,itp,,,,,ITP - Embankment Construction,,,,,,,,,,,,,
section,Materials,,,,,,,,,,,,,,,,,,,
checkpoint,Source material properties,,,,,,,,,,,,,,,,,,,
label,INSPECTION BY: PM/PE/Engineer/Site Supervisor,,,,,,,,,,,,,,,,,,,
label,TASK TIMING OR TASK FREQUENCY: Frequency of lab testing as per Table 1.4. ,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Lab testing sent to Engineer for approval prior to placement of fill. Lab testing requirements as per Table 1.5 and Table 1.6, and KiwiRail standard C-ST-FO-4110.",,,,,,,,,,,,,,,,,,,
checkpoint,Visual inspection of subgrade,,,,,,,,,,,,,,,,,,,
label,INSPECTION BY: Engineer/PE/PM/Site Supervisor,,,,,,,,,,,,,,,,,,,
label,TASK TIMING OR TASK FREQUENCY: 100% of subgrade,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Subgrade free of debris, organics and unsuitables",,,,,,,,,,,,,,,,,,,
section,Installation,,,,,,,,,,,,,,,,,,,
checkpoint,Proof roll,,,,,,,,,,,,,,,,,,,
label,INSPECTION BY: Engineer/PE/PM/Site Supervisor,,,,,,,,,,,,,,,,,,,
label,TASK TIMING OR TASK FREQUENCY: 100% of subgrade,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: <5 mm deflection under a smooth drum roller,,,,,,,,,,,,,,,,,,,
checkpoint,Subgrade density testing,,,,,,,,,,,,,,,,,,,
label,INSPECTION BY: PM/PE/Engineer/Site Supervisor,,,,,,,,,,,,,,,,,,,
label,TASK TIMING OR TASK FREQUENCY: Scala testing every 10 m as per Section 1.5.6,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Engineer must inspect and agree required formation treatment or undercutting. CBR requirements as per Section 1.5.6.,,,,,,,,,,,,,,,,,,,
checkpoint,Compaction trials,,,,,,,,,,,,,,,,,,,
label,INSPECTION BY: PM/PE/Engineer/Site Supervisor,,,,,,,,,,,,,,,,,,,
label,TASK TIMING OR TASK FREQUENCY: Each fill material type,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Compaction trial carried out to confirm compaction methodology and compaction standards can be met, refer Section 1.8.2.",,,,,,,,,,,,,,,,,,,
checkpoint,Compaction testing,,,,,,,,,,,,,,,,,,,
label,INSPECTION BY: PM/PE/Engineer/Site Supervisor,,,,,,,,,,,,,,,,,,,
label,TASK TIMING OR TASK FREQUENCY: Frequency as per Table 1.4,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Engineer notified and given the opportunity to inspect when fill testing occurs.Compaction requirements as per Table 1.3,,,,,,,,,,,,,,,,,,,
checkpoint,Visual inspection of finished structural fill surface,,,,,,,,,,,,,,,,,,,
label,INSPECTION BY: PM/PE/Engineer/Site Supervisor,,,,,,,,,,,,,,,,,,,
label,TASK TIMING OR TASK FREQUENCY: 100% of structural fill surface,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Engineer notified and must be inspected prior to next fill layer being placed. Well compacted surface and 3% fall to outside edge,,,,,,,,,,,,,,,,,,,
checkpoint,Visual inspection of finished sub-ballast level,,,,,,,,,,,,,,,,,,,
label,INSPECTION BY: PM/PE/Engineer/Site Supervisor,,,,,,,,,,,,,,,,,,,
label,TASK TIMING OR TASK FREQUENCY: 100% of sub-ballast surface,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Engineer notified and must be inspected prior to next fill layer being placed. Well compacted surface and 3% fall to outside edge,,,,,,,,,,,,,,,,,,,
checkpoint,Level check,,,,,,,,,,,,,,,,,,,
