type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,
checklist,ITP009-9 - Installation of New Secondary Cable,,,,,,ITP009-9 - Installation of New Secondary Cable,,,,,,
section,1.0 Installation of New Secondary Cable in Existing Shallow Base Canister,,,,,,,,,,,,
checkpoint,1.1 - Mark and cut,,,,,,,,,,,,
label,Frequency: Each Lot,,,,,,,,,,,,
label,Acceptance Criteria: Slots marked out and cut from to light base.,,,,,,,,,,,,
label,Reference Documents: Drawing set ADE-EDAU21008-YMML-DD,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 009,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,
label,Responsibility: Project Engineer/Avionics,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.2 - Cabling,,,,,,,,,,,,
label,Frequency: Each Lot,,,,,,,,,,,,
label,Acceptance Criteria: Cables ran and connected from existing base via joints/slots/conduits to SIT pit.,,,,,,,,,,,,
label,Reference Documents: Drawing set ADE-EDAU21008-YMML-DD,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 009,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Project Engineer/Avionics,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.3 - Sealing,,,,,,,,,,,,
label,Frequency: Each Lot,,,,,,,,,,,,
label,"Acceptance Criteria: Once cables installed, backing rod placed and expansion joints sealed with approved product.",,,,,,,,,,,,
label,Reference Documents: Drawing set ADE-EDAU21008-YMML-DD,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 009,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Project Engineer/Avionics,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,"1.6 - Finishing, Testing, Demobilisation",,,,,,,,,,,,
label,Frequency: Each Lot,,,,,,,,,,,,
label,"Acceptance Criteria: Gasket positioned on light top, light plugged and positioned to current orientation. Light tested and area cleaned before demobilisation.",,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• Drawing set ADE-EDAU21008-YMML-DD,,,,,,,,,,,,
label,• ADE-EDAU21008-TB-ver2.0,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 0089,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Project Engineer/Avionics,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,,,,
label,The signature below verifies that this ITP has been completed in accordance with the Fulton Hogan’s Quality system Procedures and verifies lot compliance with specifications.,,,,,,,,,,,,
text,Print Name:,,,,,,,,,,,,
text,Position:,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
