type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,
checklist,ITP009-8 - Installation of Shallow Base Canister,,,,,,ITP009-8 - Installation of Shallow Base Canister,,,,,,
section,1.0 Installation of Shallow Base Canister,,,,,,,,,,,,
checkpoint,1.1 - Preparation for the Works to be Undertaken,,,,,,,,,,,,
label,Frequency: Prior to Start,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,"• Ensure survey set out is undergone, excavation permit obtained and (if required) services in work(s) area isolated.",,,,,,,,,,,,
label,"• Lights, slot cuts, and aiming points marked out.",,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• Drawing set ADEEDAU21008-YMML-DD,,,,,,,,,,,,
label,• ADEEDAU21008-TB-ver2.0,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 008,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,
label,Responsibility: Project Engineer/Avionics,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.2 - Core and Cut,,,,,,,,,,,,
label,Frequency: Each Lot,,,,,,,,,,,,
label,Acceptance Criteria: Light base cored into pavement and slot from base cut to pavement edge/expansion joint,,,,,,,,,,,,
label,Reference Documents: Drawing set ADEEDAU21008-YMML-DD,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 008,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Project Engineer/Avionics,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.3 - Base positioning,,,,,,,,,,,,
label,Frequency: Each Lot,,,,,,,,,,,,
label,Acceptance Criteria: Light base positioned and epoxy poured to secure. Installation of jig.,,,,,,,,,,,,
label,Reference Documents: Drawing set ADEEDAU21008-YMML-DD,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 008,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Project Engineer/Avionics,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.4 - Cabling,,,,,,,,,,,,
label,Frequency: Each Lot,,,,,,,,,,,,
label,Acceptance Criteria: Cables ran and connected from new base via joints/slots/conduits to SIT pit.,,,,,,,,,,,,
label,Reference Documents: Drawing set ADEEDAU21008-YMML-DD,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 008,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Project Engineer/Avionics,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.5 - Sealing,,,,,,,,,,,,
label,Frequency: Each Lot,,,,,,,,,,,,
label,"Acceptance Criteria: Once cables installed, backing rod placed and expansion joints sealed with approved product.",,,,,,,,,,,,
label,Reference Documents: Drawing set ADEEDAU21008-YMML-DD,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 008,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Project Engineer/Avionics,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,"1.6 - Finishing, Testing, Demobilisation",,,,,,,,,,,,
label,Frequency: Each Lot,,,,,,,,,,,,
label,"Acceptance Criteria: Gasket positioned on light top, light plugged and positioned to current orientation. Light tested and area cleaned before demobilisation.",,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• Drawing set ADEEDAU21008-YMML-DD,,,,,,,,,,,,
label,• ADEEDAU21008-TB-ver2.0,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 008,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Project Engineer/Avionics,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,,,,
label,The signature below verifies that this ITP has been completed in accordance with the Fulton Hogan’s Quality system Procedures and verifies lot compliance with specifications.,,,,,,,,,,,,
text,Print Name:,,,,,,,,,,,,
text,Position:,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
