type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,
checklist,ITP009-4 - Installation of SIT Pits,,,,,,ITP009-4 - Installation of SIT Pits,,,,,,
section,1.0 Installation of SIT Pits,,,,,,,,,,,,
checkpoint,1.1 - Preparation for the Works to be Undertaken,,,,,,,,,,,,
label,Frequency: Prior to Start,,,,,,,,,,,,
label,"Acceptance Criteria: Ensure survey set out is undergone, excavation permit obtained and (if required) services in work(s) area isolated.",,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• Drawing set ADE-EDAU21008-YMML-DD,,,,,,,,,,,,
label,• ADE-EDAU21008-TB-ver2.0,,,,,,,,,,,,
label,• Fulton Hogan Excavation Permit,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 004,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,
label,Responsibility: Project Engineer,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.2 - Pit excavation and placement,,,,,,,,,,,,
label,Frequency: Each Lot,,,,,,,,,,,,
label,Acceptance Criteria: Dig zone marked out and excavation undergone in accordance to relevant permit. Pit placed and levelled as per survey set out.,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• Drawing set ADE-EDAU21008-YMML-DD,,,,,,,,,,,,
label,• ADE-EDAU21008-TB-ver2.0,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 004,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,
label,Responsibility: Project Engineer,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.3 - Conduit positioning,,,,,,,,,,,,
label,Frequency: Each Lot,,,,,,,,,,,,
label,Acceptance Criteria: Primary and secondary conduits positioned in pit according to IFC drawings.,,,,,,,,,,,,
label,Reference Documents: Drawing set ADE-EDAU21008-YMML-DD,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 004,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Project Engineer,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.4 - Backfill and compaction of pit surrounds,,,,,,,,,,,,
label,Frequency: Each Lot,,,,,,,,,,,,
label,Acceptance Criteria: Each pit shall be backfilled and compacted as per specification.,,,,,,,,,,,,
label,Reference Documents: ADE-EDAU21008-TB-ver2.0,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 004,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Project Engineer / Site Supervisor,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.5 - Pit close out,,,,,,,,,,,,
label,Frequency: Each Lot,,,,,,,,,,,,
label,Acceptance Criteria: Pits shall be labelled and directional markers placed. Lids to be secured and area cleaned/demolised.,,,,,,,,,,,,
label,Reference Documents: ADE-EDAU21008-TB-ver2.0,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 004,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Project Engineer/Avionics,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,,,,
label,The signature below verifies that this ITP has been completed in accordance with the Fulton Hogan’s Quality system Procedures and verifies lot compliance with specifications.,,,,,,,,,,,,
text,Print Name:,,,,,,,,,,,,
text,Position:,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
