type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,
checklist,ITP009-5 - Installation of Primary Cable,,,,,,ITP009-5 - Installation of Primary Cable,,,,,,
section,1.0 Installation of Primary Cable,,,,,,,,,,,,
checkpoint,1.1 - Isolation of Services,,,,,,,,,,,,
label,Frequency: Prior to start,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,• Any services in the vicinity of work area(s) to be isolated to the satisfaction of the Principal and other relevant authorities.,,,,,,,,,,,,
label,• Ensure installation of primary cabling shall be made using latest revision of IFC drawing.,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• Drawing set ADE-EDAU21008-YMML-DD,,,,,,,,,,,,
label,• ADE-EDAU21008-TB-ver2.0,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 005,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,
label,Responsibility: Project Engineer / Avionics,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.2 - Preparation and Setup,,,,,,,,,,,,
label,Frequency: Each Lot,,,,,,,,,,,,
label,"Acceptance Criteria: Drums of cable set up, pit(s) opened, bollards placed to delineate open pit.",,,,,,,,,,,,
label,Reference Documents: Drawing set ADE-EDAU21008-YMML-DD,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 005,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Project Engineer / Avionics,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.3 - Installation,,,,,,,,,,,,
label,Frequency: Each Lot,,,,,,,,,,,,
label,Acceptance Criteria: Draw rope installed in conduits to facilitate cable placement. Cables installed through pits with labels. SITs installed and cables tested.,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• Drawing set ADE-EDAU21008-YMML-DD,,,,,,,,,,,,
label,• ADE-EDAU21008-TB-ver2.0,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 005,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Project Engineer / Avionics,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.4 - Positioning and Demobilisation,,,,,,,,,,,,
label,Frequency: Each Lot,,,,,,,,,,,,
label,"Acceptance Criteria: Equipment repositioned (if needed) ahead of closeout. Pit lids closed, bollards/other equipment removed and plant demobilised.",,,,,,,,,,,,
label,Reference Documents: Drawing set ADE-EDAU21008-YMML-DD,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,
label,Record of conformity: This ITP Signed / Avionics Checklist 005,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Project Engineer / Avionics,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,,,,
label,The signature below verifies that this ITP has been completed in accordance with the Fulton Hogan’s Quality system Procedures and verifies lot compliance with specifications.,,,,,,,,,,,,
text,Print Name:,,,,,,,,,,,,
text,Position:,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
