type,name,values,prefix,postfix,usage count,user addable,template name,,,,,
checklist-flat,AA - VSD REPLACEMENT,,,,,,AA - VSD REPLACEMENT,,,,,
checkpoint,APAM ASSET NUMBER,,,,,,,,,,,
checkpoint,EXISTING DIRECTION OF MOTOR,,,,,,,,,,,
dropdown,Direction,"Clockwise,Anti Clockwise",,,,,,,,,,
checkpoint,EXISTING CONDITION/LOCATION,,,,,,,,,,,
checkpoint,"EXISTING CONTROL 0-10V , RUN/FAULT INDICATION, ENABLE",,,,,,,,,,,
checkpoint,EXISTING OPERATION,,,,,,,,,,,
checkpoint,EXISTING MSSB CONDITION,,,,,,,,,,,
checkpoint,"EXISTING SETTINGS FIXED SPEED ?, LIMITS, RAMP TIME, MOTOR SETTINGS",,,,,,,,,,,
checkpoint,NEW DIRECTION OF MOTOR,,,,,,,,,,,
dropdown,Direction,"Clockwise,Anti Clockwise",,,,,,,,,,
checkpoint,NEW VSD INSTALLATION,,,,,,,,,,,
checkpoint,NEW VSD SETTINGS,,,,,,,,,,,
checkpoint,NEW VSD TEST,,,,,,,,,,,
checkpoint,RECOMMENDATIONS,,,,,,,,,,,
checkpoint,DOCUMENTATION,,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,AA - VSD Maintenance,,,,,,AA - VSD Maintenance,,,,,
checkpoint,APAM ASSET NUMBER,,,,,,,,,,,
checkpoint,EXISTING CONDITION/LOCATION,,,,,,,,,,,
checkpoint,FED FROM,,,,,,,,,,,
checkpoint,EXISTING CONTROL,,,,,,,,,,,
checkpoint,EXISTING COOLING FAN & VSD OPERATION,,,,,,,,,,,
checkpoint,CLEAN VSD & VENTS,,,,,,,,,,,
checkpoint,RECOMMENDATIONS,,,,,,,,,,,
checkpoint,"IF FAULTS PRESENT EXTRA INFO REQUIRED. VSD NAMEPLATE, MOTOR NAME PLATE, LOCATION, LABELS",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,AA - MSSB Maintenance,,,,,,AA - MSSB Maintenance,,,,,
checkpoint,APAM ASSET NUMBER,,,,,,,,,,,
checkpoint,LOCATION,,,,,,,,,,,
checkpoint,FED FROM,,,,,,,,,,,
checkpoint,EXISTING SCHEMATICS,,,,,,,,,,,
checkpoint,GENERAL CONDITION,,,,,,,,,,,
checkpoint,FIRE CONTROLS/PANEL,,,,,,,,,,,
checkpoint,LAMP TEST IF FAULT ARE PRESENT VOLTAGE RATING,,,,,,,,,,,
checkpoint,Clean and Vacuum,,,,,,,,,,,
checkpoint,Check for IP Integrity ,,,,,,,,,,,
checkpoint,Check continuity to earth,,,,,,,,,,,
checkpoint,Check and record neutral current,,,,,,,,,,,
checkpoint,Check overload & Circuit breaker ratings,,,,,,,,,,,
checkpoint,RECOMMENDATIONS,,,,,,,,,,,
checkpoint,"IF FAULTS PRESENT EXTRA INFO REQUIRED. CURRENT/VOLTAGE OF EQUIPMENT , LEGEND, LOCATION, LABELS",,,,,,,,,,,
,,,,,,,,,,,,
