"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6776e1df-99c5-4dea-81ce-d13e4191a741","","checklist-sectioned","not-started","2907dfaeebdbdfe719d1248e72affed652af82dc4aa5cd31ca71081557617499","checklist","FALSE","FALSE","Coreflex - Pile Cap Terminations Checklist. Grids:"
"f92874ff-b0fe-573e-9d15-6d6964d31857","","checkpoint-group","not-started","2907dfaeebdbdfe719d1248e72affed652af82dc4aa5cd31ca71081557617499:f083dd92-c97a-4561-8019-540cdf4e29ec","","FALSE","FALSE","Coreflex - Pile Cap Terminations Checklist. Grids:","Substrate checks"
"8fc36efb-4758-5eee-9b01-9946c08f61f0","","checkpoint-status","not-started","2907dfaeebdbdfe719d1248e72affed652af82dc4aa5cd31ca71081557617499:f083dd92-c97a-4561-8019-540cdf4e29ec:e710e79e-2c44-452a-bea7-a3b020220e1f","","TRUE","TRUE","Coreflex - Pile Cap Terminations Checklist. Grids:","Substrate checks","Substrate is acceptable and as per specification"
"e957d7c3-fad4-5962-a8a3-edcbc5aa6bc8","","checkpoint-group","not-started","2907dfaeebdbdfe719d1248e72affed652af82dc4aa5cd31ca71081557617499:e267009e-9e1c-491a-a930-08f266130e8f","","FALSE","FALSE","Coreflex - Pile Cap Terminations Checklist. Grids:","Pile cap terminations"
"7401778d-8517-5ebc-a9f3-46908ff6623d","","checkpoint-status","not-started","2907dfaeebdbdfe719d1248e72affed652af82dc4aa5cd31ca71081557617499:e267009e-9e1c-491a-a930-08f266130e8f:d93a114e-8dbe-4779-aabc-4bd220c12505","","TRUE","TRUE","Coreflex - Pile Cap Terminations Checklist. Grids:","Pile cap terminations","Pile cap termination requires 1 coat of sika 42 at 10ml atop pile then Akwaswell"
"aad7bddf-e57d-5a2d-ac0c-eee5a18aa94c","","checkpoint-status","not-started","2907dfaeebdbdfe719d1248e72affed652af82dc4aa5cd31ca71081557617499:e267009e-9e1c-491a-a930-08f266130e8f:211561a8-be0d-491f-9a23-3e550476bebb","","TRUE","TRUE","Coreflex - Pile Cap Terminations Checklist. Grids:","Pile cap terminations","Place Coreflexx 60 100mm on to pile top termination bar"
"3a9cbc9f-1313-5a50-825a-765825c95fce","","checkpoint-status","not-started","2907dfaeebdbdfe719d1248e72affed652af82dc4aa5cd31ca71081557617499:e267009e-9e1c-491a-a930-08f266130e8f:d5ece158-264e-4e61-8554-196836ef4f3e","","TRUE","TRUE","Coreflex - Pile Cap Terminations Checklist. Grids:","Pile cap terminations","Tooled Cetseal bead to edge of Coreflex"
"e9b06692-f842-59d5-a23f-af5dfcb82dd7","","checkpoint-status","not-started","2907dfaeebdbdfe719d1248e72affed652af82dc4aa5cd31ca71081557617499:e267009e-9e1c-491a-a930-08f266130e8f:88ffec84-a29f-4e9a-aaa4-b917f3c5b191","","TRUE","TRUE","Coreflex - Pile Cap Terminations Checklist. Grids:","Pile cap terminations","Watersop XP to sit between Cetseal bead and reo of the pile"
"b4e67f76-9014-5915-bda7-6309983e78f3","","checkpoint-status","not-started","2907dfaeebdbdfe719d1248e72affed652af82dc4aa5cd31ca71081557617499:e267009e-9e1c-491a-a930-08f266130e8f:dc8ea9ad-c508-42f2-ad64-2b58c077de44","","TRUE","TRUE","Coreflex - Pile Cap Terminations Checklist. Grids:","Pile cap terminations","Volclay protection"
"04cc84cf-8bee-4690-9052-53d2b66f635b","","checklist-sectioned","not-started","2907dfaeebdbdfe719d1248e72affed652af82dc4aa5cd31ca71081557617499","checklist","FALSE","FALSE","Coreflex - Pile Cap Terminations Checklist. Grids:"
"b67b472a-57c2-5827-bc94-0b4bc1d860d8","","checkpoint-group","not-started","2907dfaeebdbdfe719d1248e72affed652af82dc4aa5cd31ca71081557617499:f083dd92-c97a-4561-8019-540cdf4e29ec","","FALSE","FALSE","Coreflex - Pile Cap Terminations Checklist. Grids:","Substrate checks"
"e4bea89c-7049-5de9-86af-2a58a09464db","","checkpoint-status","not-started","2907dfaeebdbdfe719d1248e72affed652af82dc4aa5cd31ca71081557617499:f083dd92-c97a-4561-8019-540cdf4e29ec:e710e79e-2c44-452a-bea7-a3b020220e1f","","TRUE","TRUE","Coreflex - Pile Cap Terminations Checklist. Grids:","Substrate checks","Substrate is acceptable and as per specification"
