"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6f69b477-4022-42c0-853f-fb7bbe343980","folder-normal has incorrect meta.stepType folder-progress","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"9ef568b4-1073-4238-8132-76c41e82e311","","folder-progress","pass","","checklist","TRUE","FALSE","Site QA","Central Utilities (CU)"
"89897696-ce39-43c4-a5b9-1f1f3be6f6ff","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Central Utilities (CU)","ITP 001 - Drainage In Ground"
"dd21c22f-31b0-4ffb-b096-71e5add6972f","Child Inspection & testing prior to Concealing(eec4039b-5282-4897-8b2e-c1bf1404180a): DataPoint Pressure:(cbb41993-a2ca-4d82-a14d-6545f7a7c729) has hidden property width:100
Child Inspection & testing prior to Concealing(eec4039b-5282-4897-8b2e-c1bf1404180a): DataPoint Duration:(58a6507f-3e8d-484a-b7eb-2abac0337f6e) has hidden property width:100
Child Inspection & testing prior to Concealing(eec4039b-5282-4897-8b2e-c1bf1404180a): DataPoint Gauge Number:(8f3793b7-2716-46c8-8e40-bc4863a9fc4c) has hidden property width:100","checklist-flat","pass","ITP 002 – Reticulated Systems In Ground","checklist-flat","FALSE","FALSE","Site QA","Central Utilities (CU)","ITP 002 – Reticulated Systems In Ground (Prefab)"
"fe47d220-3a01-4ab8-ac11-fba55cb0039c","","checklist-flat","pass","ITP 003 - Drainage Above Ground","checklist-flat","FALSE","FALSE","Site QA","Central Utilities (CU)","ITP 003 - Drainage Above Ground"
"72290451-ac19-4289-b13d-df1f48248d39","","checklist-flat","pass","ITP 004 - Reticulated Above Ground","checklist-flat","FALSE","FALSE","Site QA","Central Utilities (CU)","ITP 004 - Reticulated Systems Above Ground"
"e431180c-c71e-434b-9872-87cfc1dbcdc3","","checklist-flat","pass","ITP 005 – Fixtures & Fittings","checklist-flat","FALSE","FALSE","Site QA","Central Utilities (CU)","ITP 005 – Fixtures & Fittings"
"c03e2f3d-7f51-4ca9-81ea-500ab5136fb6","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Central Utilities (CU)"," External Sewer"
"c738fdee-ce56-5c77-a62f-3464e61aa2c3","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Central Utilities (CU)"," External Sewer","ITP 001 - Drainage In Ground External South Sewer + MPS"
"f027cc50-0e1e-4d71-ba14-fa0005273b6c","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Central Utilities (CU)","External Services"
"77976bec-9541-522e-9090-dd65b5ec8771","Child Inspection & testing prior to Concealing(57d54fdf-2f48-5676-9485-241a65770db6): DataPoint Pressure:(cbb41993-a2ca-4d82-a14d-6545f7a7c729) has hidden property width:100
Child Inspection & testing prior to Concealing(57d54fdf-2f48-5676-9485-241a65770db6): DataPoint Duration:(58a6507f-3e8d-484a-b7eb-2abac0337f6e) has hidden property width:100
Child Inspection & testing prior to Concealing(57d54fdf-2f48-5676-9485-241a65770db6): DataPoint Gauge Number:(8f3793b7-2716-46c8-8e40-bc4863a9fc4c) has hidden property width:100","checklist-flat","pass","ITP 002 – Reticulated Systems In Ground","checklist-flat","FALSE","FALSE","Site QA","Central Utilities (CU)","External Services","ITP 002 – Reticulated Systems In Ground North Cold Water"
"1d7f7a5d-47a8-5ae6-a87d-947d1c8194c2","Child Inspection & testing prior to Concealing(01926bc5-51b9-530e-a510-1f44a0feaf61): DataPoint Pressure:(cbb41993-a2ca-4d82-a14d-6545f7a7c729) has hidden property width:100
Child Inspection & testing prior to Concealing(01926bc5-51b9-530e-a510-1f44a0feaf61): DataPoint Duration:(58a6507f-3e8d-484a-b7eb-2abac0337f6e) has hidden property width:100
Child Inspection & testing prior to Concealing(01926bc5-51b9-530e-a510-1f44a0feaf61): DataPoint Gauge Number:(8f3793b7-2716-46c8-8e40-bc4863a9fc4c) has hidden property width:100","checklist-flat","pass","ITP 002 – Reticulated Systems In Ground","checklist-flat","FALSE","FALSE","Site QA","Central Utilities (CU)","External Services","ITP 002 – Reticulated Systems In Ground West and South Services + Sewer Pumpline"
"30102865-edae-409c-8ee4-580b1b01850b","","folder-progress","pass","","checklist","TRUE","FALSE","Site QA","Cultural Centre (CC)"
"2b9fb340-d473-4583-b88b-79f70c734049","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Cultural Centre (CC)","ITP 001 - Drainage In Ground"
"b7fd878d-bad9-4c79-ae4f-c80d0d6af938","Child Inspection & testing prior to Concealing(c182987b-5948-4e69-95f4-d7cdeaade4b0): DataPoint Pressure:(cbb41993-a2ca-4d82-a14d-6545f7a7c729) has hidden property width:100
Child Inspection & testing prior to Concealing(c182987b-5948-4e69-95f4-d7cdeaade4b0): DataPoint Duration:(58a6507f-3e8d-484a-b7eb-2abac0337f6e) has hidden property width:100
Child Inspection & testing prior to Concealing(c182987b-5948-4e69-95f4-d7cdeaade4b0): DataPoint Gauge Number:(8f3793b7-2716-46c8-8e40-bc4863a9fc4c) has hidden property width:100","checklist-flat","pass","ITP 002 – Reticulated Systems In Ground","checklist-flat","FALSE","FALSE","Site QA","Cultural Centre (CC)","ITP 002 – Reticulated Systems In Ground (Prefab)"
"1d444255-2300-45ea-9d7d-6b41d81423e5","","checklist-flat","pass","ITP 003 - Drainage Above Ground","checklist-flat","FALSE","FALSE","Site QA","Cultural Centre (CC)","ITP 003 - Drainage Above Ground"
"dd9cd6a1-1c9e-4269-ac46-e5736ab77e96","","checklist-flat","pass","ITP 004 - Reticulated Above Ground","checklist-flat","FALSE","FALSE","Site QA","Cultural Centre (CC)","ITP 004 - Reticulated Systems Above Ground"
"d5ea0f38-cce2-4ac5-b509-2ca8c8b7abf2","","checklist-flat","pass","ITP 005 – Fixtures & Fittings","checklist-flat","FALSE","FALSE","Site QA","Cultural Centre (CC)","ITP 005 – Fixtures & Fittings"
"865ce701-4092-4c30-be39-4e144092e037","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Cultural Centre (CC)","Stormwater"
"ed0b57ce-dc6e-547e-8daf-8ae93efa3612","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Cultural Centre (CC)","Stormwater","ITP 001 - Drainage In Ground Stormwater"
"5cc1c20e-250b-41e0-9c91-f0441ad2e9e0","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Cultural Centre (CC)","External Sewer"
"deffca44-ec05-56cd-97ef-cdb8a7b0da65","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Cultural Centre (CC)","External Sewer","ITP 001 - Drainage In Ground External West Sewer"
"a8b7c4d1-9f18-47f2-87e3-3d917e324ab1","","folder-progress","pass","","checklist","TRUE","FALSE","Site QA","Education and Program (EP)"
"fe085601-83cc-4440-962a-6ce56a2050a2","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","ITP 001 - Drainage In Ground Grids 01 - 03, C1 - G"
"88f0e63a-b42f-40c1-94b3-9316faae5b94","Child Inspection & testing prior to Concealing(8075817d-034e-49e3-897f-fa2e96470ae2): DataPoint Pressure:(cbb41993-a2ca-4d82-a14d-6545f7a7c729) has hidden property width:100
Child Inspection & testing prior to Concealing(8075817d-034e-49e3-897f-fa2e96470ae2): DataPoint Duration:(58a6507f-3e8d-484a-b7eb-2abac0337f6e) has hidden property width:100
Child Inspection & testing prior to Concealing(8075817d-034e-49e3-897f-fa2e96470ae2): DataPoint Gauge Number:(8f3793b7-2716-46c8-8e40-bc4863a9fc4c) has hidden property width:100","checklist-flat","pass","ITP 002 – Reticulated Systems In Ground","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","ITP 002 – Reticulated Systems in Ground (Prefab)"
"9d04f21b-e46b-4350-a0a8-3a5bc1a8aff9","","checklist-flat","pass","ITP 003 - Drainage Above Ground","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","ITP 003 - Drainage Above Ground"
"5a645e2d-8026-42a0-a966-dd58bdf3d849","","checklist-flat","pass","ITP 004 - Reticulated Above Ground","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","ITP 004 - Reticulated Systems Above Ground"
"7ad4bf0e-da2d-4b81-80e4-56825787d24c","","checklist-flat","pass","ITP 005 – Fixtures & Fittings","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","ITP 005 – Fixtures & Fittings"
"d8f8569b-e70c-453d-9021-204441efd33c","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","ITP 001 - Drainage In Ground Grids 03 - 05, B - D"
"709801c7-38a8-425e-b274-111dc6e300e2","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","ITP 001 - Drainage In Ground Stormwater (Inside Building Surrounds) Pits 939 to 944"
"1a1cdea7-6025-4e30-ab9d-650278e924e2","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Education and Program (EP)","Stormwater"
"2038e3d6-3efb-5bda-bfdf-d25e643a06c1","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","Stormwater","ITP 001 - Drainage In Ground Stormwater"
"d20c0d4a-2f2d-418b-a912-9d4119ab2ec3","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Education and Program (EP)","External Sewer"
"11396260-3dc5-5339-9b37-8fbc94a7da99","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","External Sewer","ITP 001 - Drainage In Ground External Sewer"
"22db9dbe-33f9-4640-b779-0b7071be495e","","folder-progress","pass","","checklist","TRUE","FALSE","Site QA","Entry Building 1 (EN 1)"
"ebea3ebf-0771-424b-b6cd-69dfbf03cb69","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)","ITP 001 - Drainage In Ground Grids 07 - 08, C - G"
"a8f6509b-2e81-4d8d-bfaa-40e9a194c7b9","Child Inspection & testing prior to Concealing(00900265-3b4c-4550-9f25-c738845025c7): DataPoint Pressure:(cbb41993-a2ca-4d82-a14d-6545f7a7c729) has hidden property width:100
Child Inspection & testing prior to Concealing(00900265-3b4c-4550-9f25-c738845025c7): DataPoint Duration:(58a6507f-3e8d-484a-b7eb-2abac0337f6e) has hidden property width:100
Child Inspection & testing prior to Concealing(00900265-3b4c-4550-9f25-c738845025c7): DataPoint Gauge Number:(8f3793b7-2716-46c8-8e40-bc4863a9fc4c) has hidden property width:100","checklist-flat","pass","ITP 002 – Reticulated Systems In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)","ITP 002 – Reticulated Systems In Ground (Prefab)"
"416ed333-d6b2-4958-876e-d8d35741eb54","","checklist-flat","pass","ITP 003 - Drainage Above Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)","ITP 003 - Drainage Above Ground"
"b936ce73-5c0f-43a4-9657-7e5d539f87f6","","checklist-flat","pass","ITP 004 - Reticulated Above Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)","ITP 004 - Reticulated Systems Above Ground"
"1e3ae851-196e-432f-963d-c9faddcf8325","","checklist-flat","pass","ITP 005 – Fixtures & Fittings","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)","ITP 005 – Fixtures & Fittings"
"b97a142e-cba3-4028-a21f-3a1c01509e2c","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)","ITP 001 - Drainage In Ground Grids 05 - 07, C - G"
"ffcb9a0b-d61b-4c27-89cd-8894928e3aad","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)","ITP 001 - Drainage In Ground Grids 02 - 03, A - B"
"8a537ed6-8407-4122-95d3-0769835df1bf","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)","ITP 001 - Drainage In Ground Grids 01 - 03, C - G"
"eeb22832-7667-4f58-b150-c7301ed38878","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Entry Building 1 (EN 1)"," External Sewer"
"e5664f23-9210-5260-8179-fb11c59954ba","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)"," External Sewer","ITP 001 - Drainage In Ground External Sewer"
"61c9f7c3-65e1-4707-9c8a-1b6b1ca890c0","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Entry Building 1 (EN 1)"," Stormwater"
"f1e9e42f-3638-5774-97ed-e74e510a43f1","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)"," Stormwater","ITP 001 - Drainage In Ground Stormwater Pits 376 - 383, 833, 996, 1001, 1014 - 1020, 1031 - 1033"
"280fb227-1b01-438d-8ca8-483f2e8565ee","","folder-progress","pass","","checklist","TRUE","FALSE","Site QA","Entry Building 2 (EN 2)"
"d2c41be8-0415-45b6-9895-72041ab9805f","","checklist-flat","pass","SYS - ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 2 (EN 2)","ITP 001 - Drainage In Ground Grids 07 - 08, C - G"
