resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,step,,,QA,,,,,,,,
,,,,,step,,,,Civil,,,,,,,
,,,,,step,,,,,High Street (C201),,,,,,
Stormwater BG     ,Trench Grate,,,,folder-with-checklists,,,,,,Northern section,,,,,
Stormwater BG     ,Trench Grate,,,,folder-with-checklists,,,,,,Center section,,,,,
Stormwater BG     ,Trench Grate,,,,folder-with-checklists,,,,,,Southern section,,,,,
,,,,,step,,,,,Splatt Street (C202),,,,,,
,,,,,step,,,,,,Northen Section,,,,,
Stormwater BG     ,,,,,checklist,,,,,,,Stormwater BG     ,,,,
Pit,,,,,checklist,,,,,,,Pit 1,,,,
Pit,,,,,checklist,,,,,,,Pit 2,,,,
Pit,,,,,checklist,,,,,,,Pit 3,,,,
Pit,,,,,checklist,,,,,,,Pit 4,,,,
Pit,,,,,checklist,,,,,,,Pit 5 (Existing),,,,
Trench Grate,,,,,checklist,,,,,,,Trench Grate,,,,
,,,,,step,,,,,Splatt Street (C202),,,,,,
,,,,,step,,,,,,Northen Section,,,,,
Stormwater BG     ,,,,,checklist,,,,,,,Stormwater BG     ,,,,
Pit,,,,,checklist,,,,,,,Pit 1,,,,
Pit,,,,,checklist,,,,,,,Pit 2 (Existing),,,,
,,,,,step,,,,,McCrae Street (C203),,,,,,
Stormwater BG     ,,,,,checklist,,,,,,Stormwater BG     ,,,,,
Pit,,,,,checklist,,,,,,Pit 1,,,,,
Pit,,,,,checklist,,,,,,Pit 2,,,,,
Pit,,,,,checklist,,,,,,Pit 3,,,,,
Trench Grate,,,,,checklist,,,,,,Trench Grate,,,,,
,,,,,step,,,,,North of New Building (C204),,,,,,
Stormwater BG     ,,,,,checklist,,,,,,Stormwater BG     ,,,,,
Pit,,,,,checklist,,,,,,Pit 1,,,,,
Pit,,,,,checklist,,,,,,Pit 2,,,,,
Pit,,,,,checklist,,,,,,Pit 3,,,,,
,,,,,step,,,,,Fire Tank (C205),,,,,,
Stormwater BG     ,,,,,checklist,,,,,,Stormwater BG     ,,,,,
Pit,,,,,checklist,,,,,,Pit 1,,,,,
Pit,,,,,checklist,,,,,,Pit 2,,,,,
Pit,,,,,checklist,,,,,,Pit 3,,,,,
In Ground Tank,,,,,checklist,,,,Fire,,,,,,,
,,,,,step,,,,Hydraulics,,,,,,,
,,,,,step,,,,,Site Plan,,,,,,
,,,,,step,,,,,,Sewer,,,,,
Sewer BG     ,,,,,checklist,,,,,,,Sewer BG     ,,,,
Pit,,,,,checklist,,,,,,,SMS,,,,
Cold Water BG     ,,,,,checklist,,,,,,Water,,,,,
,,,,,step,,,,,Ground Floor,,,,,,
,,,,,step,,,,,,Stage 1,,,,,
,,,,,step,,,,,,,Overall Floor Plan,,,,
,,,,,step,,,,,,,,Sewer,,,
Sewer BG     ,,,,,checklist,,,,,,,,,Sewer BG     ,,
Pit,,,,,checklist,,,,,,,,,Manhole 1,,
Pit,,,,,checklist,,,,,,,,,Manhole 2,,
Pit,,,,,checklist,,,,,,,,,Manhole 3,,
Pit,,,,,checklist,,,,,,,,,Manhole 4,,
Pit,,,,,checklist,,,,,,,,,Manhole 5,,
Pit,,,,,checklist,,,,,,,,,Manhole 6,,
Pit,,,,,checklist,,,,,,,,,Manhole 7,,
Pit,,,,,checklist,,,,,,,,,Manhole 8,,
Pit,,,,,checklist,,,,,,,,,Manhole 9,,
Pit,,,,,checklist,,,,,,,,,Manhole 10,,
Pit,,,,,checklist,,,,,,,,,Manhole 11,,
In Ground Tank,,,,,checklist,,,,,,,,,Holding Tank,,
Cold Water Checklist    ,,,,,checklist,,,,,,,,Cold Water,,,
Hot Water  ,,,,,checklist,,,,,,,,Hot Water,,,
Rainwater   ,,,,,checklist,,,,,,,,Rainwater,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Decon Shr,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Amb. Store,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Lobby,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Ensuite,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Cleaner,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Ensuite,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Ante,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Bedroom - Isolation,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Bay 1,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Cleaner,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Bed-Bay-Bari,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,DU Disposal,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,WCAC,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,WC Amb,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,CH Places,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,WCAC,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Triage Corridor,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Triage,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,St WC Shw,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Resus 1,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Resus 2,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Ensuite LGE,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Pantry,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Acute Corridor,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Meds,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Paed 1,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Paed 2,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Paed Ens,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,B-Bev,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,St WC,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Meds,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Sub-Du,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Pat WC,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Short Stay,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Cu / Bath,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Consult,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Fast Track Corridor,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Procedure,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Plaster,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,WCAC,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,WC Amb,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Parents,,,,
,,,,,step,,,,,,Stage 2,,,,,
,,,,,step,,,,,,,Trade Waste,,,,
Greasy BG     ,,,,,checklist,,,,,,,,Greasy BG     ,,,
In Ground Tank,,,,,checklist,,,,,,,,GIT,,,
,,,,,step,,,,,,,Sewer,,,,
Sewer BG     ,,,,,checklist,,,,,,,,Sewer BG     ,,,
Pit,,,,,checklist,,,,,,,,Manhole 1,,,
Pit,,,,,checklist,,,,,,,,Manhole 2,,,
Pit,,,,,checklist,,,,,,,,Manhole 3,,,
Pit,,,,,checklist,,,,,,,,SMS (Existing),,,
,,,,,step,,,,,Level 1,,,,,,
,,,,,step,,,,,,Stage 1,,,,,
Sewer AG   ,Stormwater AG     ,Cold Water Checklist    ,Hot Water  ,Rainwater   ,folder-with-checklists,,,,,,,Overall Floor Plan,,,,
Sewer AG   ,Cold Water Checklist    ,Hot Water  ,,,folder-with-checklists,,,,,,,Plant,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,St WC,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,WCAC,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,WC SH CC,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Cleaner,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Pathology Lab,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,WC Amb,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Pub WC,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Pantry,,,,
,,,,,step,,,,,,Stage 2,,,,,
Sewer AG   ,Stormwater AG     ,Cold Water Checklist    ,Hot Water  ,Rainwater   ,folder-with-checklists,,,,,,,Overall Floor Plan,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,WCAC,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Cleaner,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,WC Amb,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,WCAC,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Consult,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,St WC,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Treatment,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Consult,,,,
Fix 1 Checklist,Fix 2 checklist    ,,,,folder-with-checklists,,,,,,,Large Consult,,,,
Stormwater AG     ,,,,,checklist,,,,,Roof,,,,,,
,,,,,step,,,Variations,,,,,,,,
,,,,,step,,,Rock,,,,,,,,
,,,,,step,,,Safety,,,,,,,,
,,,,,step,,,,Toolbox,,,,,,,
,,,,,step,,,,Plant Equipment Pre-Start,,,,,,,
,,,,,step,,,,Injury,,,,,,,
,,,,,step,,,,Incidents,,,,,,,
,,,,,step,,,,Project Shutdowns,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
