Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Overall Progress,,,,,,,,,,
,Scope,,,QA,,,,,,
,Rows,,,,,,,,,
,,QA,grouping,QA,,,,,,
,,Civil - High Street (C201) - Northern section,,QA,Civil,High Street (C201),Northern section,,,
,,Civil - High Street (C201) - Center section,,QA,Civil,High Street (C201),Center section,,,
,,Civil - High Street (C201) - Southern section,,QA,Civil,High Street (C201),Southern section,,,
,,Civil - Splatt Street (C202) - Northen Section,,QA,Civil,Splatt Street (C202),Northen Section,,,
,,Civil - Splatt Street (C202) - Northen Section,,QA,Civil,Splatt Street (C202),Northen Section,,,
,,Civil - McCrae Street (C203),,QA,Civil,McCrae Street (C203),,,,
,,Civil - North of New Building (C204),,QA,Civil,North of New Building (C204),,,,
,,Civil - Fire Tank (C205),,QA,Civil,Fire Tank (C205),,,,
,,Fire,,QA,Fire,,,,,
,,Hydraulics - Site Plan - Sewer,,QA,Hydraulics,Site Plan,Sewer,,,
,,Hydraulics - Ground Floor - Stage 1 - Overall Floor Plan,,QA,Hydraulics,Ground Floor,Stage 1,Overall Floor Plan,,
,,Hydraulics - Ground Floor - Stage 1 - Decon Shr,,QA,Hydraulics,Ground Floor,Stage 1,Decon Shr,,
,,Hydraulics - Ground Floor - Stage 1 - Amb. Store,,QA,Hydraulics,Ground Floor,Stage 1,Amb. Store,,
,,Hydraulics - Ground Floor - Stage 1 - Lobby,,QA,Hydraulics,Ground Floor,Stage 1,Lobby,,
,,Hydraulics - Ground Floor - Stage 1 - Ensuite,,QA,Hydraulics,Ground Floor,Stage 1,Ensuite,,
,,Hydraulics - Ground Floor - Stage 1 - Cleaner,,QA,Hydraulics,Ground Floor,Stage 1,Cleaner,,
,,Hydraulics - Ground Floor - Stage 1 - Ante,,QA,Hydraulics,Ground Floor,Stage 1,Ante,,
,,Hydraulics - Ground Floor - Stage 1 - Bedroom - Isolation,,QA,Hydraulics,Ground Floor,Stage 1,Bedroom - Isolation,,
,,Hydraulics - Ground Floor - Stage 1 - Bay 1,,QA,Hydraulics,Ground Floor,Stage 1,Bay 1,,
,,Hydraulics - Ground Floor - Stage 1 - Bed-Bay-Bari,,QA,Hydraulics,Ground Floor,Stage 1,Bed-Bay-Bari,,
,,Hydraulics - Ground Floor - Stage 1 - DU Disposal,,QA,Hydraulics,Ground Floor,Stage 1,DU Disposal,,
,,Hydraulics - Ground Floor - Stage 1 - WCAC,,QA,Hydraulics,Ground Floor,Stage 1,WCAC,,
,,Hydraulics - Ground Floor - Stage 1 - WC Amb,,QA,Hydraulics,Ground Floor,Stage 1,WC Amb,,
,,Hydraulics - Ground Floor - Stage 1 - CH Places,,QA,Hydraulics,Ground Floor,Stage 1,CH Places,,
,,Hydraulics - Ground Floor - Stage 1 - Triage Corridor,,QA,Hydraulics,Ground Floor,Stage 1,Triage Corridor,,
,,Hydraulics - Ground Floor - Stage 1 - Triage,,QA,Hydraulics,Ground Floor,Stage 1,Triage,,
,,Hydraulics - Ground Floor - Stage 1 - St WC Shw,,QA,Hydraulics,Ground Floor,Stage 1,St WC Shw,,
