type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,
checklist-flat,CHK-006-STR-BRUNT-RSS Walls-Precast Panel Material Inspection,itp,,,,Yes,CHK-006-STR-BRUNT-RSS Walls-Precast Panel Material Inspection,,,,,,,,,
checkpoint-no-status,Referenced Documentation,,,,,,,,,,,,,,,
label,Document Title: CHK-006-STR-BRUNT-RSS Walls-Precast Panel Material Inspection,,,,,,,,,,,,,,,
label,ITP list Description: RSS Walls-Precast Panel Material Inspection,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): STR,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,
label,Revision Date: 12/07/2023,,,,,,,,,,,,,,,
label,ITP created by: Jon De Castro,,,,,,,,,,,,,,,
label,ITP approved for use by: Jon De Castro,,,,,,,,,,,,,,,
checkpoint-status,1 - Delivery Details,,,,,,,,,,,,,,,
label,Reference - Delivery Dockets/Packing List,,,,,,,,,,,,,,,
label,Acceptance Criteria - ,,,,,,,,,,,,,,,
textbox,Enter: Delivery Docket Number:,,,,,,,,,,,,,,,
textbox,Enter: Delivery Date:,,,,,,,,,,,,,,,
textbox,Enter: Element ID / Birth Certificate:,,,,,,,,,,,,,,,
label,Attach: Delivery Docket and packaging Slip,,,,,,,,,,,,,,,
label,"Method - Document Review, Visual",,,,,,,,,,,,,,,
label,Frequency - Each Delivery,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,Responsibility - PE/SE,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed Off,,,,,,,,,,,,,,,
checkpoint-status,2 - Packaging Inspection-Quantity,,,,,,,,,,,,,,,
label,Reference - Delivery Dockets/Packing List,,,,,,,,,,,,,,,
label,Acceptance Criteria - Does the number of packages in the delivery match that listed on the freight list/packaging slip?,,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,
label,Frequency - Each Delivery,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,Responsibility - PE/SE,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed Off,,,,,,,,,,,,,,,
checkpoint-status,3 - Packaging Inspection-Delivery Contents,,,,,,,,,,,,,,,
label,Reference - Delivery Dockets/Packing List,,,,,,,,,,,,,,,
label,Acceptance Criteria - Do the contents of the delivery match the freight list/packaging slip?,,,,,,,,,,,,,,,
label,"Method - Document Review, Visual",,,,,,,,,,,,,,,
label,Frequency - Each Delivery ,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,Responsibility - PE/SE,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed Off,,,,,,,,,,,,,,,
checkpoint-status,4 - Packaging Inspection-Birth Certificate,,,,,,,,,,,,,,,
label,Reference - Delivery Dockets / Packing List / Panel IDs,,,,,,,,,,,,,,,
label,Acceptance Criteria - Is the delivery accompanied by Precast items Birth Certificates?,,,,,,,,,,,,,,,
label,○ Precast components are to be marked on the birth certificate.,,,,,,,,,,,,,,,
label,○ Cast date and lot are to be marked on the birth certificate.,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,
label,Frequency - Each Precast item,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
