type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,
checklist-flat,CHK-005-STR-BRUNT-RSS Walls-Precast Panel Installation,itp,,,,Yes,CHK-005-STR-BRUNT-RSS Walls-Precast Panel Installation,,,,,,,,,
checkpoint-no-status,Referenced Documentation,,,,,,,,,,,,,,,
label,Document Title: CHK-005-STR-BRUNT-RSS Walls-Precast Panel Installation,,,,,,,,,,,,,,,
label,ITP Description: RSS Walls-Precast Panel Installation,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): STR,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,
label,Revision Date: 12/07/2023,,,,,,,,,,,,,,,
label,ITP created by: Thilan Rathnayake,,,,,,,,,,,,,,,
label,ITP approved for use by: Jon De Castro,,,,,,,,,,,,,,,
checkpoint-status,1 - Panels-survey set out-Tolerance,,,,,,,,,,,,,,,
label,Reference - IFC Drawings VR 682.20,,,,,,,,,,,,,,,
label,Acceptance Criteria - Plan position shown on the drawings at the base of the wall shall not exceed ±15mm (refer to drawings for WP locations),,,,,,,,,,,,,,,
label,○ Above must be checked with surveyor prior to backfill,,,,,,,,,,,,,,,
label,Method - Measure,,,,,,,,,,,,,,,
label,Frequency - Base course panels,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,Responsibility - Surveyor/PE,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed-off,,,,,,,,,,,,,,,
checkpoint-status,2 - Mark-up panel for construction team,,,,,,,,,,,,,,,
label,Reference - Construction Manual,,,,,,,,,,,,,,,
label,Acceptance Criteria - Mark number of strips per row on the back of each panel.,,,,,,,,,,,,,,,
label,"– Mark design locatoin (Wall number, row and column) as per elevation drawings on the back of each panel",,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,
label,Frequency - Each panel,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,Responsibility - SE/Supervisor,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed-off,,,,,,,,,,,,,,,
checkpoint-status,3 - Panel installation,,,,,,,,,,,,,,,
label,Reference - IFC Drawings,,,,,,,,,,,,,,,
label,Acceptance Criteria - RSS Panels are to be installed as per IFC Drawings and specified schedule.,,,,,,,,,,,,,,,
label,– Check for correct architectural pattern,,,,,,,,,,,,,,,
label,– Check for Weephole Locations,,,,,,,,,,,,,,,
label,– Check the 19mm nominal gap to be maintained between panels,,,,,,,,,,,,,,,
label,– Check the min 1:40 slope to be maintained (RSS Panels must lean backwards to this slope),,,,,,,,,,,,,,,
label,– Relative displacement of adjoining smooth panel faces shall not exceed ±15mm measured normal to face of the wall,,,,,,,,,,,,,,,
label,"– Local deviation of the wall face at any location with a 3m straight edge, shall not exceed 15mm",,,,,,,,,,,,,,,
label,– Variation in gap width between facing panels shall not exceed 5mm per meter length and 10mm over the full lenght of the gap,,,,,,,,,,,,,,,
label,– the wall level shall not deviate from the specified level by more than ±20mm,,,,,,,,,,,,,,,
label,– the tolerance of position measured at the top of the wall face shall not excedd 5mm per 1m of wall height,,,,,,,,,,,,,,,
label,– The verticality of the RSS wall facing shall lean backward at a minimum slope of 1(H) in 40 (V),,,,,,,,,,,,,,,
label,Above must be checked with Surveyor prior to backfill,,,,,,,,,,,,,,,
label,"Method - Visual, Measure",,,,,,,,,,,,,,,
label,Frequency - Each panel,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,Responsibility - SE/Supervisor,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed-off,,,,,,,,,,,,,,,
checkpoint-status,4 - Panel installation- Corner Panels and Panels interfacing Abutment,,,,,,,,,,,,,,,
label,Reference - IFC Drawings,,,,,,,,,,,,,,,
label,Acceptance Criteria - 20mm nominal gap between panels and Abutment wall is to be mainatined,,,,,,,,,,,,,,,
label,– 300mm wide x 6mm thk Galvanized plates fixed to abutment wall and Adjacent panel as per IFC drawings.,,,,,,,,,,,,,,,
label,– 600mm wide BITAC tape installed,,,,,,,,,,,,,,,
label,○ Folded plates must be installed installed at coner panels and panels adjecent to abutments,,,,,,,,,,,,,,,
label,○ Above must be checked with Surveyor prior to backfill,,,,,,,,,,,,,,,
