type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,
checklist-flat,CHK-004-STR-BRUNT-RSS Walls-Fill Placement,itp,,,,Yes,CHK-004-STR-BRUNT-RSS Walls-Fill Placement,,,,,,,,,
checkpoint-no-status,Referenced Documentation,,,,,,,,,,,,,,,
label,Document Title: CHK-004-STR-BRUNT-RSS Walls-Fill Placement,,,,,,,,,,,,,,,
label,Check list Description: RSS Walls-Fill Placement,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): STR,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,
label,Revision Date: 12/07/2023,,,,,,,,,,,,,,,
label,ITP created by: Jon De Castro,,,,,,,,,,,,,,,
label,ITP approved for use by: Jon De Castro,,,,,,,,,,,,,,,
checkpoint-status,1 - Soil Reinforcement-Straps,,,,,,,,,,,,,,,
label,Reference - VR682.08 IFC Drawings,,,,,,,,,,,,,,,
label,Acceptance Criteria - Reinforcing elements shall be placed on top of the compacted fill material and connected to the wall panels.,,,,,,,,,,,,,,,
label,"○ Any twists, kinks, sags or deviations in the reinforcing elements shall be removed prior to the placement of fill material on the reinforcing.",,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,
label,Frequency - Each strap,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,Responsibility - SE/PE,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed-off,,,,,,,,,,,,,,,
checkpoint-status,2 - Soil reinforcements-Connections,,,,,,,,,,,,,,,
label,Reference - Installation Manual,,,,,,,,,,,,,,,
label,Acceptance Criteria - Correct number of reinforcing element shall be attached to each panel,,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,
label,Frequency - Each panel,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,Responsibility - SE/PE,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed-off,,,,,,,,,,,,,,,
checkpoint-status,3 - Soil reinforcements-Connections,,,,,,,,,,,,,,,
label,Reference - IFC Drawings,,,,,,,,,,,,,,,
label,Acceptance Criteria - Grid Strips are to be installed at the back of each panel in correct length and to the correct anchors at the back of each panel,,,,,,,,,,,,,,,
label,– Bolts are to be snug tight.,,,,,,,,,,,,,,,
label,Method - Each Fill Layer,,,,,,,,,,,,,,,
label,Frequency - IP,,,,,,,,,,,,,,,
label,Category - SE/PE,,,,,,,,,,,,,,,
label,Responsibility - This Checklist Signed-off,,,,,,,,,,,,,,,
label,Verifying Documents - ,,,,,,,,,,,,,,,
checkpoint-status,4 - Soil reinforcements-Plan arrangement,,,,,,,,,,,,,,,
label,Reference - IFC Drawings,,,,,,,,,,,,,,,
label,Acceptance Criteria - Plan positions of Grid Strips are to be as per IFC Drawings.,,,,,,,,,,,,,,,
label,– Grid Strips shall not overlapped,,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,
label,Frequency - Each Fill Layer,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,Responsibility - SE/PE,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed-off,,,,,,,,,,,,,,,
checkpoint-status,5 - Soil reinforcements-Plan arrangement,,,,,,,,,,,,,,,
label,Reference - IFC Drawings VR682.06,,,,,,,,,,,,,,,
label,Acceptance Criteria - Plan positions of Grid Strips are to be as IFC Drawings.,,,,,,,,,,,,,,,
label,– Grid Strips are not to pass over pile cap. RSS used in conjunction with a bridge abutment shall be independent of the bridge structure.,,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,
label,Frequency - Where applicable,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,Responsibility - SE/PE,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed-off,,,,,,,,,,,,,,,
checkpoint-status,6 - Soil reinforcements-vertical deviation,,,,,,,,,,,,,,,
label,Reference - IFC Drawings MRP-052-C-RFL-DRG-33-CBE-CSW-1702,,,,,,,,,,,,,,,
