"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"11fc48af-6bcd-4c14-b839-e1803e20cfb9","","folder-normal","pass","","step","TRUE","FALSE","EVENTS STAFF MEETINGS"
"6a3ae26e-94ed-41e7-85da-e198495d8f88","","folder-normal","pass","","step","TRUE","FALSE","EVENTS STAFF MEETINGS","2023 STAFF MEETINGS"
"da87f58c-a0d9-52a7-9396-e9112ea53307","","checklist-flat","pass","Add Blank Canvas Checklist","checklist-flat","FALSE","FALSE","EVENTS STAFF MEETINGS","2023 STAFF MEETINGS","EVENTS STAFF MEETING - 22.05.2023"
"d253963e-e7c5-527b-9c98-fdeb80a309f3","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS STAFF MEETINGS","2023 STAFF MEETINGS","EVENTS STAFF MEETING - 22.05.2023","Add Comments, Files or Signatures here"
"b715618c-afcb-4ffd-a68a-68e2d46b5637","","checklist-flat","pass","Add Blank Canvas Checklist","checklist-flat","FALSE","FALSE","EVENTS STAFF MEETINGS","2023 STAFF MEETINGS","EVENTS STAFF MEETING - 24.07.2023"
"4c763b45-ec6a-5179-b8a6-13191e18ad75","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS STAFF MEETINGS","2023 STAFF MEETINGS","EVENTS STAFF MEETING - 24.07.2023","Add Comments, Files or Signatures here"
"858466ae-3fa3-4713-8123-7e5490f320a1","","checklist-flat","pass","Add Blank Canvas Checklist","checklist-flat","FALSE","FALSE","EVENTS STAFF MEETINGS","2023 STAFF MEETINGS","EVENTS STAFF MEETING - 30/11/23"
"fa161e7d-751e-52e3-872a-66ce237ff0b1","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS STAFF MEETINGS","2023 STAFF MEETINGS","EVENTS STAFF MEETING - 30/11/23","Add Comments, Files or Signatures here"
"de06a381-4bb7-439d-b8d5-e6c1f4aa4bbd","","folder-normal","pass","","step","TRUE","FALSE","EVENTS COMPANY ASSET REGISTER"
"33913b12-2626-4796-9992-af2f85da721a","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0001 - STR GOVERNOR GENERATOR"
"a66858eb-c755-5a81-921b-5d27667b38f8","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0001 - STR GOVERNOR GENERATOR","ASSET NO#"
"0ce2c627-d905-5bfd-ada6-b83873c5d43e","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0001 - STR GOVERNOR GENERATOR","Asset Description"
"7ccc9a74-2474-5511-8648-d44e6553a505","","checkpoint-status","not-applicable","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0001 - STR GOVERNOR GENERATOR","Asset Serial Number"
"70e7154c-3aad-5e33-8936-05ad3084431e","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0001 - STR GOVERNOR GENERATOR","Damage or Missing Parts"
"474d6a09-70f3-5ee6-a205-411e21dbfe7c","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0001 - STR GOVERNOR GENERATOR","Current Location"
"4339ca30-e0d1-5d99-b97e-4faaa914b0da","","holdpoint","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0001 - STR GOVERNOR GENERATOR","Staff Sign Out"
"d3ecf12f-f47d-400d-913e-094153fd0a97","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0002 - MILWAUKEE DUAL POWER TOWER LIGHT"
"253fcfd0-f3ad-5938-a12b-6f036f8a2cff","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0002 - MILWAUKEE DUAL POWER TOWER LIGHT","ASSET NO#"
"5d473139-9f86-54c3-99df-1c994863d9e7","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0002 - MILWAUKEE DUAL POWER TOWER LIGHT","Asset Description"
"17df7d41-ef67-5c1c-a148-3d1b06499c40","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0002 - MILWAUKEE DUAL POWER TOWER LIGHT","Asset Serial Number"
"e8091f09-bca6-53a3-8387-ffe3e09a6e91","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0002 - MILWAUKEE DUAL POWER TOWER LIGHT","Damage or Missing Parts"
"ddc42a4b-6bbc-5c9c-a808-fd2742799a70","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0002 - MILWAUKEE DUAL POWER TOWER LIGHT","Current Location"
"f10b747d-fc50-50d5-9f39-57255cb83b6c","","holdpoint","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0002 - MILWAUKEE DUAL POWER TOWER LIGHT","Staff Sign Out"
"3ebfb6de-77ab-40d5-a7cb-978e3521fc3c","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0003 - MILWAUKEE REDLITHIUM-ION 4.0Ah BATTERY"
