resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,step,,,QA,,,,,,,,
,,step,,,,Civil,,,,,,,
,,step,,,,,Basement 01 (South),,,,,,
,,step,,,,,,Pipework,,,,,
Stormwater BG     ,,checklist,,,,,,,RCW Tank to 1 - Stormwater Pump Station (1),,,,
Stormwater BG     ,,checklist,,,,,,,Stormwater Pump Station (1) to Pit (2),,,,
,,step,,,,,,,Pit (2) to Pit (3),,,,
,,step,,,,,,,Pit (3) to North,,,,
,,step,,,,,,,Pit (3) to Pit (4),,,,
,,step,,,,,,,Pit (4) to Pit (5),,,,
,,step,,,,,,,Pit (5) to Pit (6),,,,
,,step,,,,,,,Pit (6) to North,,,,
,,step,,,,,,,Pit (6) to Pit (7),,,,
,,step,,,,,,,Pit (7) to Pit (8),,,,
Pump / Macerator Station,Commissioning Pump / Macerator Station,folder-with-checklists,,,,,,Stormwater Pump Station (1),,,,,
,,step,,,,,,Pits,,,,,
Pit,,checklist,,,,,,,Pit (2),,,,
Pit,,checklist,,,,,,,Pit (2),,,,
Pit,,checklist,,,,,,,Pit (3),,,,
Pit,,checklist,,,,,,,Pit (4),,,,
Pit,,checklist,,,,,,,Pit (5),,,,
Pit,,checklist,,,,,,,Pit (6),,,,
Pit,,checklist,,,,,,,Pit (7),,,,
Pit,,checklist,,,,,,,Pit (8),,,,
,,step,,,,,Basement 01 (North),,,,,,
,,step,,,,,,Pipework,,,,,
Stormwater BG     ,,checklist,,,,,,,South to Pit (12),,,,
Stormwater BG     ,,checklist,,,,,,,Pit (12) to Stormwater Pump Station (10),,,,
Stormwater BG     ,,checklist,,,,,,,Stormwater Pump Station (10) to Pit (11),,,,
Pump / Macerator Station,Commissioning Pump / Macerator Station,folder-with-checklists,,,,,,Stormwater Pump Station (10),,,,,
,,step,,,,,,Pits,,,,,
Pit,,checklist,,,,,,,Pit (11),,,,
Pit,,checklist,,,,,,,Pit (12),,,,
,,step,,,,,Ground Floor (Sheet 1),,,,,,
,,step,,,,,,Pipework,,,,,
Stormwater BG     ,,checklist,,,,,,,Basement to Pit (13),,,,
Stormwater BG     ,,checklist,,,,,,,Pit (13) to Existing Pit (Authority),,,,
,,step,,,,,,Pits,,,,,
Pit,,checklist,,,,,,,Pit (2),,,,
Pit,,checklist,,,,,,,Pit (Authority),,,,
,,step,,,,,Ground Floor (Sheet 2),,,,,,
,,step,,,,,,Pipework,,,,,
Stormwater BG     ,,checklist,,,,,,,Trench Grate to Existing GPs,,,,
Trench Grate,,checklist,,,,,,Trench Grate,,,,,
,,step,,,,Hydraulics,,,,,,,
,,step,,,,,Basement 01 (South),,,,,,
,,step,,,,,,Overall Floor Plan,,,,,
Sewer BG     ,,checklist,,,,,,,Sewer BG     ,,,,
Sewer AG   ,,checklist,,,,,,,Sewer AG   ,,,,
Stormwater AG     ,,checklist,,,,,,,Stormwater AG     ,,,,
Cold Water Checklist    ,,checklist,,,,,,,Cold Water Checklist    ,,,,
Rainwater   ,,checklist,,,,,,,Rainwater   ,,,,
Hot Water  ,,checklist,,,,,,,Hot Water  ,,,,
,,step,,,,,,Pump & Tanks_B1 (B024),,,,,
,,step,,,,,,,Sewer BG     ,,,,
Pump / Macerator Station,Commissioning Pump / Macerator Station,folder-with-checklists,,,,,,,Sewer Pump Station,,,,
Sewer AG   ,,checklist,,,,,,,Sewer AG   ,,,,
Greasy AG    ,,checklist,,,,,,,Greasy AG    ,,,,
Stormwater AG     ,,checklist,,,,,,,Stormwater AG     ,,,,
Storage Tanks,,checklist,,,,,,,Cold Water Tank,,,,
Storage Tanks,,checklist,,,,,,,Rainwater Tank,,,,
Storage Tanks,,checklist,,,,,,,Trade Waste Tank,,,,
Upload Commissioning Sheets,,checklist,,,,,,,Cold Water Pumps,,,,
Upload Commissioning Sheets,,checklist,,,,,,,Rainwater Plant,,,,
Upload Commissioning Sheets,,checklist,,,,,,,Hot Water Plant,,,,
Sewer BG     ,,checklist,,,,,,,Sewer BG     ,,,,
Cold Water Checklist    ,,checklist,,,,,,,Cold Water Checklist    ,,,,
Hot Water  ,,checklist,,,,,,,Hot Water  ,,,,
Rainwater   ,,checklist,,,,,,,Rainwater   ,,,,
Water Meter Validation    ,,checklist,,,,,,,Authority Main,,,,
Water Meter Validation    ,,checklist,,,,,,,Cold Water Tank,,,,
Water Meter Validation    ,,checklist,,,,,,,Rainwater Plant Bypass,,,,
,,step,,,,,,Lift Area,,,,,
Cold Water Checklist    ,,checklist,,,,,,,Cold Water Checklist    ,,,,
Hot Water  ,,checklist,,,,,,,Hot Water  ,,,,
Upload Commissioning Sheets,,checklist,,,,,,,Hot Water Plant,,,,
,,step,,,,,Basement 01 (North),,,,,,
Sewer AG   ,,checklist,,,,,,Sewer AG   ,,,,,
Pump / Macerator Station,Commissioning Pump / Macerator Station,folder-with-checklists,,,,,,Sewer Pump Station,,,,,
Cold Water Checklist    ,,checklist,,,,,,Cold Water Checklist    ,,,,,
,,step,,,,,Ground Floor,,,,,,
,,step,,,,,,Site,,,,,
Cold Water BG     ,,checklist,,,,,,,Cold Water BG     ,,,,
,,step,,,,,,Riser 2 G031,,,,,
Cold Water Checklist    ,,checklist,,,,,,,Cold Water Checklist    ,,,,
Rainwater   ,,checklist,,,,,,,Rainwater   ,,,,
Hot Water  ,,checklist,,,,,,,Hot Water  ,,,,
,,step,,,,,,GH Decant WC G019,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Overall Floor Plan,,,,,
Sanitary   ,,checklist,,,,,,,Sanitary   ,,,,
Greasy AG    ,,checklist,,,,,,,Greasy AG    ,,,,
Stormwater AG     ,,checklist,,,,,,,Stormwater AG     ,,,,
Trench Grate,,checklist,,,,,,,Trench Grate,,,,
,,step,,,,,,,Pits,,,,
Pit,,checklist,,,,,,,,Pit (1),,,
Pit,,checklist,,,,,,,,Pit (2),,,
,,step,,,,,Level 1,,,,,,
,,step,,,,,,Overall Floor Plan,,,,,
Sanitary   ,,checklist,,,,,,,Sanitary   ,,,,
Greasy AG    ,,checklist,,,,,,,Greasy AG    ,,,,
Stormwater AG     ,,checklist,,,,,,,Stormwater AG     ,,,,
Cold Water Checklist    ,,checklist,,,,,,,Cold Water Checklist    ,,,,
Rainwater   ,,checklist,,,,,,,Rainwater   ,,,,
Hot Water  ,,checklist,,,,,,,Hot Water  ,,,,
,,step,,,,,,Student Common & Bev Bay 1042,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Skills - Mock Ward 1032,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Sims 1030,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Teapoint 1026,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Cleaner 1016,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Backflow (27/04/2020),,checklist,,,,,,,Backflow (27/04/2020),,,,
,,step,,,,,,Amb WC 1017,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,GN WC 1018,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Acc WC 1019,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Airlock - Female 1020,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Toilets Female 1021,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Airlock - Male 1023,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Toilets Male 1022,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,Level 2,,,,,,
,,step,,,,,,Overall Floor Plan,,,,,
Sanitary   ,,checklist,,,,,,,Sanitary   ,,,,
Greasy AG    ,,checklist,,,,,,,Greasy AG    ,,,,
Stormwater AG     ,,checklist,,,,,,,Stormwater AG     ,,,,
Cold Water Checklist    ,,checklist,,,,,,,Cold Water Checklist    ,,,,
Rainwater   ,,checklist,,,,,,,Rainwater   ,,,,
Hot Water  ,,checklist,,,,,,,Hot Water  ,,,,
Water Meter Validation    ,,checklist,,,,,,,Cold Water Meter,,,,
,,step,,,,,,Staff Room 2051,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Circulation 2032,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Sims 2038,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Ensuite 2035,,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Cleaner 2034,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
Backflow (27/04/2020),,checklist,,,,,,,Backflow (27/04/2020),,,,
,,step,,,,,,Toilets Male 2031,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Airlock - Male 2029,,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Female Toilets 2027,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Airlock - Female 2028,,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Acc WC 2025,,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Store Equipment 2011,,,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
Backflow (27/04/2020),,checklist,,,,,,,Backflow (27/04/2020),,,,
,,step,,,,,,Mock Ward Bed 2010,,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,Mock Ward Bed 2009,,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,GN WC 2019,,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,GN WC 2016,,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
,,step,,,,,,GN WC 2015,,,,,
Service Log - Thermostatic Mixing Valves (TMV),,checklist,,,,,,,Service Log - Thermostatic Mixing Valves (TMV),,,,
Rough In Checklist     ,,checklist,,,,,,,Rough In Checklist     ,,,,
Fix 2 checklist    ,,checklist,,,,,,,Fix 2 checklist    ,,,,
