type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist,ITP-011-CIV-Horizontal Directional Drilling-SEW,itp,,,,,ITP-011-CIV-Horizontal Directional Drilling-SEW Rev 0,,,,
section,Referenced Documentation,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,
note,Document Title: ITP-011-CIV-Horizontal Directional Drilling-SEW,,,,,,,,,,
note,ITP Description: Camms Road Horizontal Directional Drilling-SEW,,,,,,,,,,
note,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,
note,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,
note,Revision Number: 0,,,,,,,,,,
note,Revision Date: 19/10/2022,,,,,,,,,,
note,ITP created by: Michelle Lim,,,,,,,,,,
note,ITP approved for use by: Victor Mira,,,,,,,,,,
note,1.1 - Non Dependent,,,,,,,,,,
note,Reference Documents:,,,,,,,,,,
note,• IFC Drawings:,,,,,,,,,,
note,• MRP-052-C-SME-DRG-64-MPK-CUT-1041,,,,,,,,,,
section,Preliminary Works-Materials,,,,,,,,,,
checkpoint,2.1 Encasing Pipe,,,,,,,,,,
note,REFERENCE: ,,,,,,,,,,
note,IFC Drawings:,,,,,,,,,,
note,MRP-052-C-SME-DRG-64-MPK-CUT-1041,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,ACCEPTANCE CRITERIA: ,,,,,,,,,,
note,• All pipes must meet project specification,,,,,,,,,,
note,• DN 450 PE100 WSA PS-207 PN12.5,,,,,,,,,,
textbox,Reference: Material approval in Teambinder:,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,METHOD: Document Review,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,FREQUENCY: Prior to commencement,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,CATEGORY: HP,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,RESPONSIBILITY: PE/SPE,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,VERIFYING DOCUMENTS: Material compliance certificate,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint,2.2 Carrier Pipe,,,,,,,,,,
note,REFERENCE: ,,,,,,,,,,
note,• IFC Drawings:,,,,,,,,,,
note,• MRP-052-C-SME-DRG-64-MPK-CUT-1041,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,ACCEPTANCE CRITERIA: ,,,,,,,,,,
note,• All pipes must meet project specification,,,,,,,,,,
note,• DN 280 PE100 WSA PS-207 PN16,,,,,,,,,,
textbox,Reference: Material approval in Teambinder:,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,METHOD: Document Review,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,FREQUENCY: Prior to commencement,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,CATEGORY: HP,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,RESPONSIBILITY: PE/SPE,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,VERIFYING DOCUMENTS: Material compliance certificate,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint,2.3 Grout,,,,,,,,,,
note,REFERENCE: ,,,,,,,,,,
note,IFC Drawings:,,,,,,,,,,
note,MRP-052-C-SME-DRG-64-MPK-CUT-1041,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,ACCEPTANCE CRITERIA: ,,,,,,,,,,
note,• Review and approval of grout specification,,,,,,,,,,
textbox,Reference: Material approval in Teambinder:,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,METHOD: Document review,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,FREQUENCY: Prior to commencement,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,CATEGORY: HP,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,RESPONSIBILITY: PE/SPE,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,VERIFYING DOCUMENTS: Material compliance certificate,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,
section,Preliminary Works-Procedures and Documents,,,,,,,,,,
checkpoint,3.1 PE Welders Qualifications,,,,,,,,,,
note,ACCEPTANCE CRITERIA: ,,,,,,,,,,
note,• PE welders are to be pre-Qualified,,,,,,,,,,
textbox,Reference:Teambinder Hold point release number:,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,METHOD: Document review,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,FREQUENCY: Prior to commencement,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,CATEGORY: HP,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,RESPONSIBILITY: SE/PE,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,VERIFYING DOCUMENTS: Teambinder approval number,,,,,,,,,,
note,Date Completed:,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint,3.2 Check that current revision drawings are being used,,,,,,,,,,
note,REFERENCE: ,,,,,,,,,,
note,• IFC Drawings:,,,,,,,,,,
note,• MRP-052-C-SME-DRG-64-MPK-CUT-1041,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,ACCEPTANCE CRITERIA: ,,,,,,,,,,
note,• Drawing revison must be confirmed with the design manager,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,METHOD: Document review,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,FREQUENCY: Prior to commencement,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,CATEGORY: HP*,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,RESPONSIBILITY: SE/PE/SPE,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,VERIFYING DOCUMENTS: Design drawings.,,,,,,,,,,
note,Date Completed:,,,,,,,,,,
section,Pre-construction / Pre-installation Activities,,,,,,,,,,
checkpoint,4.1 Survey Set-out,,,,,,,,,,
note,REFERENCE: ,,,,,,,,,,
note,• AS 4799-2000,,,,,,,,,,
note,• IFC Drawings:MRP-052-C-SME-DRG-64-MPK-CUT-1041,,,,,,,,,,
note,• DBYD Asset owners responses and requirements.,,,,,,,,,,
note,• MTM: L1-INF-PRO-001,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,ACCEPTANCE CRITERIA: ,,,,,,,,,,
note,• Set out line and level of drilling works.,,,,,,,,,,
note,• Survey to mark out existing services.,,,,,,,,,,
note,• Must maintain a min. of 600mm clearance to any existing service and a min. 3m clearance to any Railway Structure UON.,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,METHOD: ,,,,,,,,,,
note,• Measure,,,,,,,,,,
note,• Visual,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,FREQUENCY: Each element,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,CATEGORY: IP,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,RESPONSIBILITY: ,,,,,,,,,,
note,• Surveyor,,,,,,,,,,
note,• SE/PE/SPE,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,
note,Date Completed:,,,,,,,,,,
checkpoint,4.2 Pipe welding,,,,,,,,,,
note,REFERENCE: ,,,,,,,,,,
note,• IFC Drawings:,,,,,,,,,,
note,• MRP-052-C-SME-DRG-64-MPK-CUT-1041,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,ACCEPTANCE CRITERIA: ,,,,,,,,,,
note,• Joints are to be butt welded.,,,,,,,,,,
note,• Butt Welding records to be supplied.,,,,,,,,,,
note,• ATTACH: Welding Record,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,METHOD: Document review,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,FREQUENCY: All Joints,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,CATEGORY: IP,,,,,,,,,,
