"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5f4a45ef-cd55-4fd9-8c6a-45ecc7b2cb6d","","fail","","folder","TRUE","FALSE","Site QA"
"814870b6-b7cc-4989-8267-435bbe94e0ef","","work-in-progress","","folder","TRUE","FALSE","Site QA","01-00-00 - Power Island 1"
"d7c2e6e4-dbf9-4bb5-99a8-4b06e4084056","","pass","","folder","TRUE","FALSE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine"
"f8d6b573-5821-475c-9872-8161427a810f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine","CFA Piling"
"ef138f94-23cf-457e-beed-667345ecd4c7","","no-status-not-started","","folder","TRUE","FALSE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine","Screw Piles"
"62049bc3-0062-44f3-8d4d-b6acabd0758d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine","Precast Panels"
"2e19cc1e-20e5-4913-8ee3-f78bc93237ff","","pass","","folder","TRUE","FALSE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine","Concrete"
"7a7e7d5b-7d52-4b62-b6ae-ece85e7a7718","","pass","HPP-UGL-CIV-GN-GEN-ITP-015 FRP (structures) - Rev.2","checklist","FALSE","FALSE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine","Concrete","HPP-GT01-FRP-ITP15-30-01 - PI- North Fuel Oil Unit"
"83330a30-3dd0-52a0-be7c-73ca8c0e77ee","","pass","","section","FALSE","FALSE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine","Concrete","HPP-GT01-FRP-ITP15-30-01 - PI- North Fuel Oil Unit","1.0 Preliminaries"
"56d57527-4a07-5f1b-94fa-5a183748aea9","","pass","","checkpoint","TRUE","TRUE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine","Concrete","HPP-GT01-FRP-ITP15-30-01 - PI- North Fuel Oil Unit","1.0 Preliminaries","1.1 - Documentation"
"d02f5572-d5da-504c-b76d-f8793bcee46a","","pass","","checkpoint","TRUE","TRUE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine","Concrete","HPP-GT01-FRP-ITP15-30-01 - PI- North Fuel Oil Unit","1.0 Preliminaries","1.2 - Lot Traceability"
"297ac3e5-36a4-59aa-a1ef-2630cc4984dc","","pass","","checkpoint","TRUE","TRUE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine","Concrete","HPP-GT01-FRP-ITP15-30-01 - PI- North Fuel Oil Unit","1.0 Preliminaries","1.3 - Set out"
"ede571e1-842e-5220-981a-431f1341ef8a","","pass","","checkpoint","TRUE","TRUE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine","Concrete","HPP-GT01-FRP-ITP15-30-01 - PI- North Fuel Oil Unit","1.0 Preliminaries","1.4 - Underlying Lot Conformance"
"06e65dbe-bb4f-54d4-8f81-ae6836e35b03","","pass","","checkpoint","TRUE","TRUE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine","Concrete","HPP-GT01-FRP-ITP15-30-01 - PI- North Fuel Oil Unit","1.0 Preliminaries","1.5 - Site Checklist(s)"
"a198a88d-0dc1-599e-a674-b3eb04e7f05a","","not-applicable","","section","FALSE","FALSE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine","Concrete","HPP-GT01-FRP-ITP15-30-01 - PI- North Fuel Oil Unit","2.0 Excavation and Pipe Laying"
"699f7b91-92a4-5a2e-b00c-89e175bf7fd3","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine","Concrete","HPP-GT01-FRP-ITP15-30-01 - PI- North Fuel Oil Unit","2.0 Excavation and Pipe Laying","2.1 - Excavation"
"06f6435b-a9c2-5a3f-8993-2825759e52d1","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine","Concrete","HPP-GT01-FRP-ITP15-30-01 - PI- North Fuel Oil Unit","2.0 Excavation and Pipe Laying","2.2 - Unsuitable Material"
"905816c1-cb60-571b-ab75-bad367a45022","","not-applicable","","signoff","TRUE","TRUE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine","Concrete","HPP-GT01-FRP-ITP15-30-01 - PI- North Fuel Oil Unit","2.0 Excavation and Pipe Laying","AUTHORITY HOLDPOINT"
"9e63b249-c985-5c19-818b-35fb44a13426","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","01-00-00 - Power Island 1","01-01-00 Gas Turbine","Concrete","HPP-GT01-FRP-ITP15-30-01 - PI- North Fuel Oil Unit","2.0 Excavation and Pipe Laying","2.3 - Compaction - Foundation"
