"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b5d86007-1116-4929-94ff-1e251aacf238","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"2d33d8f4-a42e-45af-a79b-37c37e5578ee","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Overall Site Acceptance"
"3d6ab796-3f82-403f-a217-6e789cbdac6c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 2"
"41a901de-a31d-453f-832b-5f76338fbea7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 2","Public Areas"
"921a10d4-8eee-45a2-9788-fb43726824b4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 2","Public Areas","Lift lobby & Lift"
"dd2d515f-91b3-4638-9287-eb6a86cdbf9b","","checklist-flat","not-started","Common Area ITR","checklist-flat","FALSE","FALSE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Common Area ITR"
"6a1efd60-f986-5d3c-992e-ac760f92a32c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Common Area ITR","Check Substrate"
"85a4a59c-1e55-577f-8c62-4b46f894419a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Common Area ITR","Masking"
"78dfe97e-c553-503a-a15f-f5cd68b03149","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Common Area ITR","Sealer"
"2597f2f0-827c-5f8b-9b86-62668c256095","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Common Area ITR","Ceiling 1st coat "
"374bda68-4558-55c0-bee5-3213018bc340","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Common Area ITR","Ceiling 2nd Coat "
"1cdb411e-e9ab-52a3-a6cc-cd12d082deb3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Common Area ITR","De-mask"
"68f813e6-1a66-5ac4-8649-e413471c365a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Common Area ITR","Prep "
"00c865af-225e-5309-8d9f-491a2f39164b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Common Area ITR","Gloss 1st coat "
"9a874add-9e79-582e-a093-9f0e43087920","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Common Area ITR","Gloss 2nd coat "
"03aaa834-36be-5dc4-be65-93a87d91ce4a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Common Area ITR","Skirtings"
