type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,
checklist-sectioned,"ITP - Clearing and Grubbing, Earthworks - Cut, Fill and Subgrade Preparation",itp,,,,Yes,"ITP - Clearing and Grubbing, Earthworks - Cut, Fill and Subgrade Preparation Rev0",1e64980d-ee61-492d-9c1e-0ef4bf1ab3ce,,,,,,,,,,,
checkpoint-group,1 - Preliminary Works,,,,,,,,,,,,,,,,,,
checkpoint-status,1.1 Check for correct documentation,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Ensure that all employees and subcontractors are:,,,,,,,,,,,,,,,,,,
label,– using Issued for Construction (IFC) drawings,,,,,,,,,,,,,,,,,,
label,– using the correct and complete set of drawings,,,,,,,,,,,,,,,,,,
label,– all drawings are the latest revision,,,,,,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: IFC drawings and drawing registers,,,,,,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Document Review / Visual inspection,,,,,,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed,,,,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Site Engineer,,,,,,,,,,,,,,,,,,
text,DATE:,,,,,,,,,,,,,,,,,,
checkpoint-status,1.2 Implementation of all measures and controls,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: All necessary measures and controls are being implemented, that is: OHSMP, EMP, TMP, SWMS & WP. Access and egress inspected and assessed for stability.",,,,,,,,,,,,,,,,,,
label,"REFERENCE DOCUMENTS: OHSMP, EMP, TMP, SWMS, WP",,,,,,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed,,,,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Site Engineer,,,,,,,,,,,,,,,,,,
text,DATE:,,,,,,,,,,,,,,,,,,
checkpoint-status,1.3 Ground Penetration Permit,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: A ground penetration permit must be issued prior to excavation commencing.,,,,,,,,,,,,,,,,,,
label,○ Plant and equipment must be appropriate for the task.,,,,,,,,,,,,,,,,,,
label,○ Excavation operations shall not disturb areas outside the limit of excavation.,,,,,,,,,,,,,,,,,,
