type,name,values,prefix,postfix,usage count,user addable,template name,,
checklist,Incident Report - Checklist   ,,,,,,,,
section,Injured Workers Details,,,,,,,,
checkpoint,Injured Worker,,,,,,,,
text,Name of Employer of injured Person(s) (If any):,,,,,,,,
text,Business address of Person/Organisation in charge of the equipment:,,,,,,,,
text,Full name of Employee:,,,,,,,,
text,Date of Birth:,,,,,,,,
button,Sex:,"Female, Male",,,,,,,
text,Residential address & telephone number (if known):,,,,,,,,
text,Occupation of Employee:,,,,,,,,
section,Incident Details,,,,,,,,
checkpoint,Incident,,,,,,,,
text,Date of Birth:,,,,,,,,
text,Place/Location where incident occurred:,,,,,,,,
text,Work/activity being performed at time of incident & equipment being used:,,,,,,,,
text,Brief description of incident:,,,,,,,,
text,Treatment given/action taken at the time of the incident: (Attach Statements below),,,,,,,,
text,Name of Witnesses or Name of Person(s) who first attended the scene: (Attach Statements below),,,,,,,,
text,"Action taken/intended, if any, to prevent recurrence of the incident:",,,,,,,,
label,Add diagram or picture of incident below,,,,,,,,
section,Treatment Details,,,,,,,,
checkpoint,Details,,,,,,,,
button,Did the injury necessitate loss of time?,"No, Yes",,,,,,,
label,"If ""Yes"" selected",,,,,,,,
text,Name the clinic/medical centre attended:,,,,,,,,
label,Attach WorkCover Certificate of Capacity (Attach below),,,,,,,,
button,Was an ambulance required?,"No, Yes",,,,,,,
button,Was the incident reported to WorkSafe Victoria?,"No, Yes",,,,,,,
label,"If ""Yes"" selected",,,,,,,,
text,WorkSafe Incident notification number is:,,,,,,,,
section,Form Details,,,,,,,,
checkpoint,Details of Person submitting this form,,,,,,,,
text,Name:,,,,,,,,
text,Position/Title:,,,,,,,,
text,Date:,,,,,,,,
button,Type of Injury (Filled out by OHS Manager):,"LTI, MTI, FAI",,,,,,,
,,,,,,,,,
checklist-flat,Daysheets (Labour & Materials)   ,,,,,,,,
checkpoint,Daysheet Completed & Ready for Invoicing,,,,,,,,
text,Date,,,,,,,,
text,Project,,,,,,,,
text,Location,,,,,,,,
text,Workers Name (Add hours in brackets),,,,,,,,
text,Material 1 (Quantity & Description),,,,,,,,
text,Material 2 (Quantity & Description),,,,,,,,
text,Material 3 (Quantity & Description),,,,,,,,
text,Material 4 (Quantity & Description),,,,,,,,
text,Material 5 (Quantity & Description),,,,,,,,
button,Reviewed by Wilson Supervisor,"Yes, No",,,,,,,
bool,Signature of Builder's Supervisor Added,,,,,,,,
holdpoint,Signature Added - Click Here,,,,,,,,
,,,,,,,,,
checklist-flat,Variation   ,,,,,,,,
checkpoint,Variation Details Complete (Pass once inputted),,,,,,,,
text,Variation Name,,,,,,,,
text,Variation Description,,,,,,,,
text,"Materials & labour breakdown (Names, Hours & Material(s)/Quantities)",,,,,,,,
text,Acknowledgement,,,,,,,,
text,Signature/Reference Mail,,,,,,,,
checkpoint,Photo(s),,,,,,,,
checkpoint,Supporting Documentation (Attached or Referenced),,,,,,,,
checkpoint,Variation Sign-Off - Click to Add signatures below,,,,,,,,
button,Wilson Representative Signature Added below,"Yes, No",,,,,,,
button,Builder Representative Signature Added below,"Yes, No",,,,,,,
holdpoint,Click to Add Signatures of Wilson & Builder's Representative,,,,,,,,
,,,,,,,,,
checklist-flat,OHS Form 07 - Toolbox meeting   ,,,,,,,,
checkpoint,Toolbox meeting completed & Specific Document(s) attached,,,,,,,,
text,Date,,,,,,,,
text,Site Address,,,,,,,,
text,Toolbox meeting topic,,,,,,,,
text,Toolbox Item 1 - (Add any resolutions below item),,,,,,,,
text,Toolbox Item 2 - (Add any resolutions below item),,,,,,,,
text,Toolbox Item 3 - (Add any resolutions below item),,,,,,,,
text,Toolbox Item 4 - (Add any resolutions below item),,,,,,,,
checkpoint,Toolbox meeting pdf attached (Add below),,,,,,,,
label,"Wilson Plumbing & Drainage takes safety seriously and we encourage all persons representing the company to speak up if something is not right. If you find yourself unsure about something when it comes to safety, ASK! There is no such thing as a stupid question.",,,,,,,,
checkpoint,Sign Off – By signing this page you acknowledge your attendance of this toolbox meeting and your co-operation with our policies & procedures,,,,,,,,
holdpoint,Click to 'Add' signature's of each attendee,,,,,,,,
,,,,,,,,,
checklist,Tipper Truck Prestart Checklist,,,,,,,,
section,Prestart,,,,,,,,
checkpoint,Details - Pass once entered,,,,,,,,
text,Make & Model,,,,,,,,
text,Registration,,,,,,,,
text,Prestart check completed on (DD/MM/YYYY),,,,,,,,
text,Odometer Reading,,,,,,,,
section,Visual Inspection,,,,,,,,
checkpoint,Undertake Visual Inspection of each of the below,,,,,,,,
label,Operator to check each item below & acknowledge checks have been made,,,,,,,,
label,Any issues/observations please add comments & photos below,,,,,,,,
button,Tyres properly inflated & in good condition,"Pass, Fail",,,,,,,
button,No wheel-nuts missing,"Pass, Fail",,,,,,,
button,"No sign of any fuel, oil or hydraulic leaks","Pass, Fail",,,,,,,
button,Truck does not sag to one side,"Pass, Fail",,,,,,,
button,No cracks in windscreen,"Pass, Fail",,,,,,,
button,No cracks in headlights,"Pass, Fail",,,,,,,
button,Flashing light working,"Pass, Fail",,,,,,,
button,Brake lights operational,"Pass, Fail",,,,,,,
button,Parking brake fully operational,"Pass, Fail",,,,,,,
button,Warning horn fully operational,"Pass, Fail",,,,,,,
button,Reverse beepers/warning signals working,"Pass, Fail",,,,,,,
button,Indicators/Hazard lights operational,"Pass, Fail",,,,,,,
button,Interior clean & tidy,"Pass, Fail",,,,,,,
checkpoint,Are there any faults to be identified (Pass-No/Fail-Yes),,,,,,,,
text,Please detail identified fault(s) below - Attach Photos,,,,,,,,
text,"Who has the fault been reported to - At a minimum, must be reported to your Site Foreman",,,,,,,,
text,Date fault was reported,,,,,,,,
section,Sign-Off,,,,,,,,
checkpoint,"Operator declaration - As the operator, I declare that I have been trained in the safe use of this machine & hold a Valid Drivers Licence",,,,,,,,
checkpoint,Operator Sign-Off,,,,,,,,
holdpoint,Click to Add Signature + Details,,,,,,,,
,,,,,,,,,
checklist,Tipper Truck Prestart Checklist - Isuzu-NH Series NLR 200,,,,,,,,
section,Prestart,,,,,,,,
checkpoint,Details - Pass once entered,,,,,,,,
label,Make & Model: Isuzu-NH Series NLR 200,,,,,,,,
label,Registration: 1PL6LJ,,,,,,,,
text,Prestart check completed on (DD/MM/YYYY),,,,,,,,
text,Odometer Reading,,,,,,,,
section,Visual Inspection,,,,,,,,
checkpoint,Undertake Visual Inspection of each of the below,,,,,,,,
label,Operator to check each item below & acknowledge checks have been made,,,,,,,,
label,Any issues/observations please add comments & photos below,,,,,,,,
button,Tyres properly inflated & in good condition,"Pass, Fail",,,,,,,
button,No wheel-nuts missing,"Pass, Fail",,,,,,,
button,"No sign of any fuel, oil or hydraulic leaks","Pass, Fail",,,,,,,
button,Truck does not sag to one side,"Pass, Fail",,,,,,,
button,No cracks in windscreen,"Pass, Fail",,,,,,,
button,No cracks in headlights,"Pass, Fail",,,,,,,
button,Flashing light working,"Pass, Fail",,,,,,,
button,Brake lights operational,"Pass, Fail",,,,,,,
button,Parking brake fully operational,"Pass, Fail",,,,,,,
button,Warning horn fully operational,"Pass, Fail",,,,,,,
button,Reverse beepers/warning signals working,"Pass, Fail",,,,,,,
button,Indicators/Hazard lights operational,"Pass, Fail",,,,,,,
button,Interior clean & tidy,"Pass, Fail",,,,,,,
checkpoint,Are there any faults to be identified (Pass-No/Fail-Yes),,,,,,,,
text,Please detail identified fault(s) below - Attach Photos,,,,,,,,
text,"Who has the fault been reported to - At a minimum, must be reported to your Site Foreman",,,,,,,,
text,Date fault was reported,,,,,,,,
section,Sign-Off,,,,,,,,
checkpoint,"Operator declaration - As the operator, I declare that I have been trained in the safe use of this machine & hold a Valid Drivers Licence",,,,,,,,
checkpoint,Operator Sign-Off,,,,,,,,
holdpoint,Click to Add Signature + Details,,,,,,,,
,,,,,,,,,
checklist,Yanmar 5 Tonne Excavator Prestart - Checklist,,,,,,,,
section,Prestart,,,,,,,,
checkpoint,Details - Pass once entered,,,,,,,,
label,Yanmar 5T - Model VIO55-6BC,,,,,,,,
label,S/N BG505 - Engine Number 92542,,,,,,,,
text,Prestart check completed on (DD/MM/YYYY),,,,,,,,
text,Odometer/Hours Reading,,,,,,,,
checkpoint,"Operator declaration - As the operator, I declare that I have been trained in the safe use of this machine, hold appropriate qualification to operate and have been VOC'ed",,,,,,,,
section,Visual Inspection,,,,,,,,
checkpoint,Undertake Visual Inspection of each of the below,,,,,,,,
label,Operator to check each item below & acknowledge checks have been made,,,,,,,,
label,Any issues/observations please add comments & photos below,,,,,,,,
button,Check cooling water levels and replenish if required - Attach photo below,"Pass, Fail",,,,,,,
button,Check water separator in fuel line and drain if required - Attach photo below,"Pass, Fail",,,,,,,
button,Check dust indicator,"Pass, Fail",,,,,,,
button,Engine oil level checked and at appropriate levels,"Pass, Fail",,,,,,,
button,Hydraulic oil level checked and at appropriate levels,"Pass, Fail",,,,,,,
button,Battery water levels checked and at appropriate levels,"Pass, Fail",,,,,,,
button,Track tension checked and adjusted if required,"Pass, Fail",,,,,,,
button,All required points greased,"Pass, Fail",,,,,,,
button,"No sign of any fuel, oil or hydraulic leaks","Pass, Fail",,,,,,,
button,All link pins in place,"Pass, Fail",,,,,,,
button,Electrical system checked and all lamps in cab light up,"Pass, Fail",,,,,,,
button,Flashing light working,"Pass, Fail",,,,,,,
button,Warning horn fully operational,"Pass, Fail",,,,,,,
button,Reverse beepers/warning signals working,"Pass, Fail",,,,,,,
button,Exterior checked and in good condition,"Pass, Fail",,,,,,,
button,"Attachments checked and are in acceptable condition, including breaker & buckets - Attach photo below","Pass, Fail",,,,,,,
button,No cracks in windscreen,"Pass, Fail",,,,,,,
button,Indicators/Hazard lights operational,"Pass, Fail",,,,,,,
button,Interior clean & tidy - Attach photo below,"Pass, Fail",,,,,,,
checkpoint,Are there any faults to be identified (Pass-No/Fail-Yes),,,,,,,,
text,Please detail identified fault(s) below - Attach Photos,,,,,,,,
text,"Who has the fault been reported to - At a minimum, must be reported to your Site Foreman",,,,,,,,
text,Date fault was reported,,,,,,,,
section,Sign-Off,,,,,,,,
checkpoint,Operator Sign-Off,,,,,,,,
button,Attachments buckets & breaker in a secure location on completion of days work - Attach photo below,"Yes, No, N/A",,,,,,,
holdpoint,Click to Add Signature + Details,,,,,,,,
,,,,,,,,,
checklist,BOBCAT Tracked Skid Steer Loader T590 Prestart - Checklist,,,,,,,,
section,Prestart,,,,,,,,
checkpoint,Details - Pass once entered,,,,,,,,
label,Bobcat Tracked Skid Steer Loader - Model T590,,,,,,,,
label,S/N B3ZA12599 ,,,,,,,,
text,Prestart check completed on (DD/MM/YYYY),,,,,,,,
text,Odometer/Hours Reading,,,,,,,,
text,Location/Site,,,,,,,,
checkpoint,Operator declaration - Operator to check each item below and acknowledge checks have been made,,,,,,,,
label,Any issues/observations please add comments & photos below,,,,,,,,
section,Visual Inspection,,,,,,,,
checkpoint,Undertake Visual Inspection of each of the below,,,,,,,,
label,Operator to check each item below & acknowledge checks have been made,,,,,,,,
label,Any issues/observations please add comments & photos below,,,,,,,,
button,Engine oil level checked and at appropriate levels - Attach photo below,"Pass, Fail",,,,,,,
button,Coolant levels checked and at appropriate levels - Attach photo below,"Pass, Fail",,,,,,,
button,Hydraulic oil level checked and at appropriate levels - Attach photo below,"Pass, Fail",,,,,,,
button,"No sign of any fuel, oil or hydraulic leaks","Pass, Fail",,,,,,,
button,All required points greased,"Pass, Fail",,,,,,,
button,Track tension checked and adjusted if required,"Pass, Fail",,,,,,,
button,Exterior checked and in good condition,"Pass, Fail",,,,,,,
button,Interior clean & tidy - Attach photo below,"Pass, Fail",,,,,,,
button,Warning stickers displayed in and out of machine,"Pass, Fail",,,,,,,
button,No cracks in windscreen,"Pass, Fail",,,,,,,
button,Flashing light working,"Pass, Fail",,,,,,,
button,Warning horn fully operational,"Pass, Fail",,,,,,,
button,Electrical system checked and all lamps in cab light up,"Pass, Fail",,,,,,,
button,Reverse beepers/warning signals working,"Pass, Fail",,,,,,,
button,Steering Operational,"Pass, Fail",,,,,,,
button,4 in 1 bucket working as it should be,"Pass, Fail",,,,,,,
checkpoint,Are there any faults to be identified (Pass-No/Fail-Yes),,,,,,,,
text,Please detail identified fault(s) below - Attach Photos,,,,,,,,
text,"Who has the fault been reported to - At a minimum, must be reported to your Site Foreman",,,,,,,,
text,Date fault was reported,,,,,,,,
section,Sign-Off,,,,,,,,
checkpoint,Operator Sign-Off,,,,,,,,
button,Attachments buckets & breaker in a secure location on completion of days work - Attach photo below,"Yes, No, N/A",,,,,,,
holdpoint,Click to Add Signature + Details,,,,,,,,
,,,,,,,,,
checklist,Hitachi ZX225US-5B Excavator Prestart - Checklist,,,,,,,,
section,Prestart,,,,,,,,
checkpoint,Details - Pass once entered,,,,,,,,
label,Hitachi - Model  ZX225US-5B,,,,,,,,
label,S/N-HCMDCN21J00308416,,,,,,,,
text,Prestart check completed on (DD/MM/YYYY),,,,,,,,
text,Odometer/Hours Reading,,,,,,,,
text,Location/Site,,,,,,,,
checkpoint,"Operator declaration - As the operator, I declare that I have been trained in the safe use of this machine, hold appropriate qualification to operate and have been VOC'ed ",,,,,,,,
label,Any issues/observations please add comments & photos below,,,,,,,,
section,Visual Inspection,,,,,,,,
checkpoint,Undertake Visual Inspection of each of the below,,,,,,,,
label,Operator to check each item below & acknowledge checks have been made,,,,,,,,
label,Any issues/observations please add comments & photos below,,,,,,,,
button,Check cooling water levels and replenish if required - Attach photo below,"Pass, Fail",,,,,,,
button,Check water separator in fuel line and drain if required - Attach photo below,"Pass, Fail",,,,,,,
button,Check dust indicator,"Pass, Fail",,,,,,,
button,Engine oil level checked and at appropriate levels - Attach photo below,"Pass, Fail",,,,,,,
button,Hydraulic oil level checked and at appropriate levels,"Pass, Fail",,,,,,,
button,Battery water levels checked and at appropriate levels,"Pass, Fail",,,,,,,
button,Track tension checked and adjusted if required,"Pass, Fail",,,,,,,
button,All required points greased including Hammer,"Pass, Fail",,,,,,,
button,"No sign of any fuel, oil or hydraulic leaks","Pass, Fail",,,,,,,
button,All link pins in place,"Pass, Fail",,,,,,,
button,Electrical system checked and all lamps in cab light up,"Pass, Fail",,,,,,,
button,Flashing light working,"Pass, Fail",,,,,,,
button,Warning horn fully operational,"Pass, Fail",,,,,,,
button,Reverse beepers/warning signals working,"Pass, Fail",,,,,,,
button,Exterior checked and in good condition,"Pass, Fail",,,,,,,
button,All attachments accounted for and are in acceptable condition,"Pass, Fail",,,,,,,
button,No cracks in windscreen,"Pass, Fail",,,,,,,
button,Indicators/Hazard lights operational,"Pass, Fail",,,,,,,
button,Interior clean & tidy - Attach photo below,"Pass, Fail",,,,,,,
checkpoint,Are there any faults to be identified (Pass-No/Fail-Yes),,,,,,,,
text,Please detail identified fault(s) below - Attach Photos,,,,,,,,
text,"Who has the fault been reported to - At a minimum, must be reported to your Site Foreman",,,,,,,,
text,Date fault was reported,,,,,,,,
section,Sign-Off,,,,,,,,
checkpoint,Operator Sign-Off,,,,,,,,
button,Attachments buckets & breaker in a secure location on completion of days work - Attach photo below,"Yes, No, N/A",,,,,,,
holdpoint,Click to Add Signature + Details,,,,,,,,
,,,,,,,,,
checklist,Hitachi Excavator Prestart - Checklist,,,,,,,,
section,Prestart,,,,,,,,
checkpoint,Details - Pass once entered,,,,,,,,
label,Hitachi - Model ZX135US-5B,,,,,,,,
label,Engine Number 293765,,,,,,,,
text,Prestart check completed on (DD/MM/YYYY),,,,,,,,
text,Odometer/Hours Reading,,,,,,,,
checkpoint,"Operator declaration - As the operator, I declare that I have been trained in the safe use of this machine, hold appropriate qualification to operate and have been VOC'ed",,,,,,,,
section,Visual Inspection,,,,,,,,
checkpoint,Undertake Visual Inspection of each of the below,,,,,,,,
label,Operator to check each item below & acknowledge checks have been made,,,,,,,,
label,Any issues/observations please add comments & photos below,,,,,,,,
button,Check cooling water levels and replenish if required - Attach photo below,"Pass, Fail",,,,,,,
button,Check water separator in fuel line and drain if required - Attach photo below,"Pass, Fail",,,,,,,
button,Check dust indicator,"Pass, Fail",,,,,,,
button,Engine oil level checked and at appropriate levels,"Pass, Fail",,,,,,,
button,Hydraulic oil level checked and at appropriate levels,"Pass, Fail",,,,,,,
button,Battery water levels checked and at appropriate levels,"Pass, Fail",,,,,,,
button,Track tension checked and adjusted if required,"Pass, Fail",,,,,,,
button,All required points greased,"Pass, Fail",,,,,,,
button,"No sign of any fuel, oil or hydraulic leaks","Pass, Fail",,,,,,,
button,All link pins in place,"Pass, Fail",,,,,,,
button,Electrical system checked and all lamps in cab light up,"Pass, Fail",,,,,,,
button,Flashing light working,"Pass, Fail",,,,,,,
button,Warning horn fully operational,"Pass, Fail",,,,,,,
button,Reverse beepers/warning signals working,"Pass, Fail",,,,,,,
button,Exterior checked and in good condition,"Pass, Fail",,,,,,,
button,"Attachments checked and are in acceptable condition, including breaker & buckets - Attach photo below","Pass, Fail",,,,,,,
button,No cracks in windscreen,"Pass, Fail",,,,,,,
button,Indicators/Hazard lights operational,"Pass, Fail",,,,,,,
button,Interior clean & tidy - Attach photo below,"Pass, Fail",,,,,,,
checkpoint,Are there any faults to be identified (Pass-No/Fail-Yes),,,,,,,,
text,Please detail identified fault(s) below - Attach Photos,,,,,,,,
text,"Who has the fault been reported to - At a minimum, must be reported to your Site Foreman",,,,,,,,
text,Date fault was reported,,,,,,,,
section,Sign-Off,,,,,,,,
checkpoint,Operator Sign-Off,,,,,,,,
button,Attachments buckets & breaker in a secure location on completion of days work - Attach photo below,"Yes, No, N/A",,,,,,,
holdpoint,Click to Add Signature + Details,,,,,,,,
,,,,,,,,,
checklist,Generic Excavator Prestart - Checklist,,,,,,,,
section,Prestart,,,,,,,,
checkpoint,Details - Pass once entered,,,,,,,,
text,Make & Model ,,,,,,,,
text,Rego,,,,,,,,
text,Prestart check completed on (DD/MM/YYYY),,,,,,,,
text,Odometer/Hours Reading,,,,,,,,
checkpoint,"Operator declaration - As the operator, I declare that I have been trained in the safe use of this machine, hold appropriate qualification to operate and have been VOC'ed",,,,,,,,
section,Visual Inspection,,,,,,,,
checkpoint,Undertake Visual Inspection of each of the below,,,,,,,,
label,Operator to check each item below & acknowledge checks have been made,,,,,,,,
label,Any issues/observations please add comments & photos below,,,,,,,,
button,Check cooling water levels and replenish if required - Attach photo below,"Pass, Fail",,,,,,,
button,Check water separator in fuel line and drain if required - Attach photo below,"Pass, Fail",,,,,,,
button,Check dust indicator,"Pass, Fail",,,,,,,
button,Engine oil level checked and at appropriate levels,"Pass, Fail",,,,,,,
button,Hydraulic oil level checked and at appropriate levels,"Pass, Fail",,,,,,,
button,Battery water levels checked and at appropriate levels,"Pass, Fail",,,,,,,
button,Track tension checked and adjusted if required,"Pass, Fail",,,,,,,
button,All required points greased,"Pass, Fail",,,,,,,
button,"No sign of any fuel, oil or hydraulic leaks","Pass, Fail",,,,,,,
button,All link pins in place,"Pass, Fail",,,,,,,
button,Electrical system checked and all lamps in cab light up,"Pass, Fail",,,,,,,
button,Flashing light working,"Pass, Fail",,,,,,,
button,Warning horn fully operational,"Pass, Fail",,,,,,,
button,Reverse beepers/warning signals working,"Pass, Fail",,,,,,,
button,Exterior checked and in good condition,"Pass, Fail",,,,,,,
button,"Attachments checked and are in acceptable condition, including breaker & buckets - Attach photo below","Pass, Fail",,,,,,,
button,No cracks in windscreen,"Pass, Fail",,,,,,,
button,Indicators/Hazard lights operational,"Pass, Fail",,,,,,,
