"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2969c12f-b90a-5eec-a836-5d63a70f9d3b","","checklist-flat","work-in-progress","Project Details","checklist-flat","FALSE","FALSE","Project Details"
"6d506d64-3a3f-499a-b827-4fc9eba80496","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"
"9289291a-5185-4ed8-85ea-9b8ee94eab72","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers"
"a8dd1cac-fb8f-44ce-aaa0-c726288bef89","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","FM STORE 1, BULK STORE & TRADES PARKING FIRE TRENCH RISERS"
"8f27f4d4-05c5-4183-975a-d1e8a9af8f1e","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","FM STORE 1, BULK STORE & TRADES PARKING FIRE TRENCH RISERS","FM1 Electrical and Communications Conduit Trench Riser Installation checklist."
"5d5e1d39-7936-5e9b-b0b2-53d5932f805f","","checklist-flat","pass"," Electrical and Communications Conduit Trench Riser Installation checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","FM STORE 1, BULK STORE & TRADES PARKING FIRE TRENCH RISERS","FM1 Electrical and Communications Conduit Trench Riser Installation checklist.","Electrical and Communications Conduit Trench Riser Installation checklist"
"f66d30d5-fbbe-499e-aea7-0a85ebdba44b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","FM STORE 1, BULK STORE & TRADES PARKING FIRE TRENCH RISERS","FM1 Fire Trench Pipe Riser Installation Checklist"
"7e1b9683-3ec6-5ff7-bdf5-71a0a3e6ef3c","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","FM STORE 1, BULK STORE & TRADES PARKING FIRE TRENCH RISERS","FM1 Fire Trench Pipe Riser Installation Checklist","Trench Pipe Riser Installation Checklist"
"6648a345-896c-4c7b-abc1-cfa729432b58","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","FM STORE 1, BULK STORE & TRADES PARKING FIRE TRENCH RISERS","FM1 Fire Pressure Test Report QCC-01.01"
"433bb3c5-c7e3-579f-a92b-7272b801b2e1","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","FM STORE 1, BULK STORE & TRADES PARKING FIRE TRENCH RISERS","FM1 Fire Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"57c6d9b5-fb48-4fa1-86f2-42fd203277f9","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","CENTRAL LAUNDRY FACILITY"
"697dcc90-07ec-45f5-b296-99b2faa1228b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","CENTRAL LAUNDRY FACILITY","LAU HHW & CHHW Trench Pipe Riser Installation"
