type,name,values,prefix,postfix,usage count,user addable,template name,,
checklist,In-Ground Drainage Hydraulic Services ITP V.210121,,,,,,,,
section,Sewer/ Tradewaste,,,,,,,,
checkpoint,"Sewer drainage, Tradewaste drainage and vents installed as per workshop drawings.",,,,,,,,
button,"Minimum Grades, Bracketing and IO's installed as per AS3500.","Yes,No",,,,,,,
button,"Pipework risers labelled, pink primer and blue glue used only.","Yes,No",,,,,,,
Checkpoint,Check all electrofusion welds (HDPE) or glued joints (UPVC) for any faults.,,,,,,,,
checkpoint,All pipe risers to be protected with pipe caps & or duck tape.,,,,,,,,
checkpoint,Inspection by Fair Trading for sewer drainage to be done & other inspections if required by others.,,,,,,,,
label,Photograph inspection booking.,,,,,,,,
checkpoint,Backfill trenches with materials as per Australian standards & project requirements.,,,,,,,,
label,Ensure compaction of fill materials is to specifications & Australian Standards.,,,,,,,,
button,Compaction testing of trenches once backfilled to the Australian Standard requirements.,"Yes,No",,,,,,,
checkpoint,All works completed to specification/drawings & Area left clean/tidy & excess material stored away.,,,,,,,,
section,Stormwater,,,,,,,,
checkpoint,Stormwater drainage installed as per workshop drawings.,,,,,,,,
button,"Minimum Grades, Bracketing and IO's installed as per AS3500.","Yes,No",,,,,,,
checkpoint,Installation of pits to the correct levels.,,,,,,,,
button,Ensure correct grates & lids used with appropriate load ratings for locations to traffic movements.,"Yes,No",,,,,,,
button,Pits to be sparged - Made water tight to inlet & outlet pipework.,"Yes,No",,,,,,,
checkpoint,All pipe risers to be protected with pipe caps & or duck tape.,,,,,,,,
checkpoint,HOLD POINT - Inspections if required by relevant authorised persons .,,,,,,,,
label,Attach inspection reports below.,,,,,,,,
checkpoint,Backfill trenches with materials as per Australian standards & project requirements.,,,,,,,,
label,Ensure compaction of fill materials is to specifications & Australian Standards.,,,,,,,,
button,Compaction testing of trenches once backfilled to the Australian Standard requirements.,"Yes,No",,,,,,,
checkpoint,All Stormwater Work completed to specification/drawings & Area left clean/tidy & excess material stored away.,,,,,,,,
section,Handover,,,,,,,,
checkpoint,Update As Built drawing immediately - Confirm IL of pipework. Attach with ITP submission.,,,,,,,,
checkpoint,CCTV completed pipework to ensure no defects before concrete pour to prevent future problems.,,,,,,,,
checkpoint,Pictures of works completed - Attached below.,,,,,,,,
text,Concrete pour date.,,,,,,,,
,,,,,,,,,
checklist-flat,Inground Pressure Services Installation.,,,,,,,,
checkpoint,Set out to be off current Hydraulic and Architectural drawings. Consider Walls and Reflected ceiling plans.,,,,,,,,
label,Check working pressures & ensure material can cater for those pressures.,,,,,,,,
checkpoint ,"Calibration of crimp tools, welding equipment & deburring machine ready for use..",,,,,,,,
checkpoint ,"CW, GAS, NPCW & or RAINWATER services installed correctly as per workshop drawings and scematics.",,,,,,,,
label,Ensure to keep seperation between NPCW & other services as per Australian Standards.,,,,,,,,
button,Witness marks on all press fittings checked.,"Yes,No",,,,,,,
checkpoint ,HOLD POINT - Fair Trading inspections for installations of recycled water service if any.,,,,,,,,
label,Photograph inspection booking.,,,,,,,,
checkpoint ,Fire services installed correctly as per workshop drawings.,,,,,,,,
checkpoint,Water servces tested @ 1500KPA or 1.5 x Working pressure. Whichever is higher for a minimum duration of 60 minutes.,,,,,,,,
checkpoint,Gas services tested @ 300KPA for a minimum of 60 minutes.,,,,,,,,
checkpoint,Backfill trenches with materials as per Australian standards & project requirements.,,,,,,,,
label,Ensure trace taoe is installed,,,,,,,,
label,Ensure compaction of fill materials is to specifications & Australian Standards.,,,,,,,,
button,Compaction testing of trenches once backfilled to the Australian Standard requirements.,"PASS,FAIL,N/A",,,,,,,
label,All services left under pressure during construction.,,,,,,,,
checkpoint,All Pressure Services work completed to specification/drawings & Area left clean/tidy. (attach photos if necessary),,,,,,,,
,,,,,,,,,
checklist-flat,"Setout and Penetration installation (Retail, Commercial and carpark areas)",,,,,,,,
checkpoint,Latest DWG file sent to surveyor. With correct floor levels understood & attained.,,,,,,,,
checkpoint,Wall Penetrations for pressure and drainage services complete? Installed at correct Invert levels?,,,,,,,,
checkpoint,Downpipes with columns installed and capped off with DWV caps ONLY.,,,,,,,,
checkpoint,"Sewer, stormwater and pressure penetration points installed. Check off Hydraulic plans.",,,,,,,,
checkpoint,Cast in services installed at correct grades (as per AS3500) and locations. Check off Hydraulic plans.,,,,,,,,
checkpoint ,HOLD POINT - Fair Trading inspections for installations of major sewer services cast in.,,,,,,,,
label,Photograph inspection booking.,,,,,,,,
checkpoint,Correct fire collars installed with test reports on file.,,,,,,,,
label,Hour rating to meet slab FRL.,,,,,,,,
checkpoint,Puddle flanges installed for floor wastes and balconies at minimum concrete height stated on structural drawings.,,,,,,,,
checkpoint,"Car park drains,RWO's , trench drains and risers installed. Trafficable grates to be class D only.",,,,,,,,
label,Correct grade of drain to be installed.,,,,,,,,
checkpoint,Miscellaneous penetrations installed.,,,,,,,,
checkpoint,All pipe risers to be protected with pipe caps and or duck tape.,,,,,,,,
checkpoint,Top up water on the morning prior concrete pour for major casting.,,,,,,,,
checkpoint,Pictures of works completed.,,,,,,,,
text,Concrete pour date:,,,,,,,,
label,All Penetration Work completed to specification/drawings & Area left clean/tidy.,,,,,,,,
,,,,,,,,,
checklist-flat,Concrete Pour Checklist (Apartment and hotel floors),,,,,,,,
checkpoint,Latest DWG file sent to surveyor. With correct floor levels understood & attained.,,,,,,,,
checkpoint,Wall Penetrations for pressure & drainage services complete & Installed at correct Invert levels.,,,,,,,,
checkpoint,Downpipes with columns installed & capped off.,,,,,,,,
checkpoint,Correct fire collars installed with test reports on file.,,,,,,,,
label,Integrity and insulation hour rating to meet slab FRL.,,,,,,,,
checkpoint,All hydraulic service penetrations points installed.,,,,,,,,
label,Cast in services installed at correct grades (as per AS3500) & locations.,,,,,,,,
checkpoint ,HOLD POINT - Fair Trading inspections for installations of major sewer services cast in.,,,,,,,,
label,Photograph inspection booking.,,,,,,,,
checkpoint,"Balcony, Bathroom, Kitchen & Laundry Layouts Checked.",,,,,,,,
label,Check off Hydraulic plans,,,,,,,,
checkpoint,Puddle flanges installed for floor wastes and balcony drains at minimum concrete height stated on structural drawings.,,,,,,,,
label,Car Park Drains Checked.,,,,,,,,
label,"Correct grates, Planter box drains or RWO installed.",,,,,,,,
checkpoint,All pipe risers to be protected with pipe caps & or duck tape.,,,,,,,,
checkpoint,Top up water on the morning prior concrete pour for major casting.,,,,,,,,
checkpoint,"Cold water, Hot water and gas service conduits installed from lobby to apartment/hotel.",,,,,,,,
button,"Cold water, Hot water and gas service conduits loops to balconies and kitchen islands installed.","Yes,No",,,,,,,
checkpoint,Pictures of works completed.,,,,,,,,
text,Concrete pour date:,,,,,,,,
label,All Penetration Work completed to specification/drawings & Area left clean/tidy. (attach photos if necessary),,,,,,,,
,,,,,,,,,
checklist-flat,Aerial Drainage ,,,,,,,,
checkpoint,Set out to be off current Hydraulic and Architectural drawings. Consider Walls and Reflected ceiling plans.,,,,,,,,
label,Check scope of works/specification & ensure all documents are current.,,,,,,,,
checkpoint,Fire collars cleared of concrete slurry & replaced if damaged.,,,,,,,,
checkpoint,"Sewer, Stormwater, tradewaste and vent services installed correctly as per workshop drawings and schematics.",,,,,,,,
button,"Minimum Grades, Bracketing and IO's installed as per AS3500.","Yes,No",,,,,,,
button,Check for cross connections.,"Yes,No",,,,,,,
label,Pink primer and Blue glue used only on UPVC.,,,,,,,,
checkpoint,Syphonics installed as per manufacturers recommendation,,,,,,,,
button,Check all electrofusion welds (HDPE) or glued joints (UPVC) for any faults.,"Yes,No",,,,,,,
checkpoint,Hydrostatic test filled with water to a height not less than 1m above soffit level of highest pipe for a minimum of 30min.,,,,,,,,
checkpoint,Retro fit fire collars installed.,,,,,,,,
button,Fire penetration stickers installed and photographed. High top collars to be smoke sealed.,"Yes,No",,,,,,,
checkpoint,Pipes labelled as per AS3500.,,,,,,,,
checkpoint,Acoustic lagging as per project requirements.,,,,,,,,
checkpoint,All points capped off to ensure no builders debri enters system.,,,,,,,,
button,Floor waste protected with sponge.,"Yes,No",,,,,,,
checkpoint,Update As Built drawing immediately. Confirm IL of pipework.,,,,,,,,
checkpoint,All Drainage works completed to specification/drawings & Area left clean/tidy. (attach photos if necessary),,,,,,,,
,,,,,,,,,
checklist-flat,Pressure Services Installation ,,,,,,,,
checkpoint,Set out to be off current Hydraulic and Architectural drawings. Consider Walls and Reflected ceiling plans.,,,,,,,,
label,Check scope of works/specification & ensure all documents are current.,,,,,,,,
label,Check working pressures & ensure material can cater for those pressures.,,,,,,,,
checkpoint ,Calibration of crimp tools & deburring machine onsite complete.,,,,,,,,
checkpoint ,"CW, GAS, NPCW & or RAINWATER services installed correctly as per workshop drawings and scematics.",,,,,,,,
label,Ensure to keep seperation between NPCW & other services as per Australian Standards.,,,,,,,,
button,Witness marks on all press fittings checked.,"Yes,No",,,,,,,
checkpoint ,HOLD POINT - Fair Trading inspections for installations of recycled water service if any.,,,,,,,,
label,Photograph inspection booking.,,,,,,,,
checkpoint ,Fire services installed correctly as per workshop drawings.,,,,,,,,
button,Gal pipe grooves checked with a groove tape.,"Yes,No",,,,,,,
checkpoint ,Bracketing installed as per AS3500 & manufacturer's specifications.,,,,,,,,
button,Pipe spacers installed to avoid electrofusion.,"Yes,No",,,,,,,
checkpoint,Water servces tested @ 1500KPA or 1.5 x Working pressure. Whichever is higher for a minimum duration of 60 minutes.,,,,,,,,
checkpoint,Gas services tested @ 300KPA for a minimum of 60 minutes.,,,,,,,,
label,All services left under pressure during construction.,,,,,,,,
checkpoint,"Passive fire requirements installed, Fire Penetration stickers installed & logged on firedoc.",,,,,,,,
button,Smoke seal applied to all penetrations required.,"Yes,No",,,,,,,
checkpoint ,Pipes labelled as per AS3500.,,,,,,,,
checkpoint ,Thermal lagging as per project requirements & AS3500.,,,,,,,,
checkpoint,Fire hose reel installed as pe Australian standards and tested.,,,,,,,,
checkpoint,Fire hose reel tagged.,,,,,,,,
checkpoint,RPZD valve installed as per AS3500.,,,,,,,,
button,RPZD drain installed & tested.,"Yes,No",,,,,,,
label,Please attach photo of serial number and valve.,,,,,,,,
checkpoint,All Pressure Services work completed to specification/drawings & Area left clean/tidy. (attach photos if necessary),,,,,,,,
,,,,,,,,,
checklist-flat,Pressure services on apartments/ Hotel or commercial floors.,,,,,,,,
checkpoint,Set out to be off current Hydraulic and Architectural drawings. Consider Walls and Reflected ceiling plans.,,,,,,,,
label,Check scope of works/specification & ensure all documents are current.,,,,,,,,
label,Check working pressures & ensure material can cater for those pressures.,,,,,,,,
checkpoint ,Calibration of crimp tools & deburring machine onsite complete.,,,,,,,,
checkpoint ,"CW, GAS, NPCW & or RAINWATER services installed correctly as per workshop drawings and scematics.",,,,,,,,
label,Ensure to keep seperation between NPCW & other services as per Australian Standards.,,,,,,,,
button,Witness marks on all press fittings checked.,"Yes,No",,,,,,,
checkpoint ,Bracketing installed as per AS3500 & manufacturer's specifications.,,,,,,,,
button,Pipe spacers installed to avoid electrofusion.,"Yes,No",,,,,,,
checkpoint,Water servces tested @ 1500KPA or 1.5 x Working pressure. Whichever is higher for a minimum duration of 60 minutes.,,,,,,,,
checkpoint,Gas services tested @ 300KPA for a minimum of 60 minutes.,,,,,,,,
label,All services left under pressure during construction.,,,,,,,,
checkpoint,"Isolation lever shut off valves and PRV,s installed.",,,,,,,,
button,Tempering valve or Thermostatic mixing valve installed in the correct orientation.,"Yes,No",,,,,,,
button,"Cold water, Hot water and or meter bars installed and labelled.","Yes,No",,,,,,,
button,"Connection of all reticulated cold, hot, Gas & NPCW PEX pipes to points of connections from manifold setups.","Yes,No",,,,,,,
checkpoint,Floor waste grate installed.,,,,,,,,
checkpoint,"Passive fire requirements installed, Fire Penetration stickers installed & logged on firedoc.",,,,,,,,
button,Smoke seal applied to all penetrations required.,"Yes,No",,,,,,,
checkpoint ,Pipes labelled as per AS3500.,,,,,,,,
checkpoint ,Thermal lagging as per project requirements & AS3500.,,,,,,,,
checkpoint,"Fire hose reel installed as pe Australian standards, tested and tagged. (IF APPLICABLE).",,,,,,,,
checkpoint,Garbage Chute RPZD installed and tested. (IF APPLICABLE).,,,,,,,,
checkpoint,All Pressure Services work completed to specification/drawings & Area left clean/tidy (attach photos if necessary).,,,,,,,,
,,,,,,,,,
checklist,Apartment / Hotel,,,,,,,,
section,Roughin,,,,,,,,
checkpoint,Set out to be off current Hydraulic and Architectural drawings. Consider Walls and Reflected ceiling plans.,,,,,,,,
label,Check scope of works/specification & ensure all documents are current,,,,,,,,
checkpoint,"CW,HW,WW, GAS, NPCW & or RAINWATER services installed correctly as per workshop drawings and scematics",,,,,,,,
checkpoint,Check for any cross connections.,,,,,,,,
checkpoint,Balcony gas bayonet or water taps installed as per AS5601 and AS3500. Check foothold requirements,,,,,,,,
checkpoint,Basin wastes and toilet waste offset and tested with water if required.,,,,,,,,
checkpoint,Internal cistern installed and tested. Ensure cistern is installed as far forward.,,,,,,,,
checkpoint,In Wall mixers installed and tested. Ensure Mixer is installed as far forward.,,,,,,,,
checkpoint,"Grommets, Bracketing installed as per AS3500 and manufacturer's specifications.",,,,,,,,
button,Seperation of services as per AS3500,"Yes,No",,,,,,,
checkpoint,All setouts ok and run eyes over crimps,,,,,,,,
checkpoint,HOLD POINT - Inspections if required by relevant authorised persons .,,,,,,,,
label,Photograph inspection booking.,,,,,,,,
checkpoint,Hydrostatic test filled with water and pumped @ 1000kpa. Ensure shower mixers are off and test the shower head on its own.,,,,,,,,
checkpoint,Gas services tested @ 300KPA for a minimum of 60 minutes,,,,,,,,
checkpoint,"Passive fire requirements installed, Fire Penetration stickers installed & logged on firedoc",,,,,,,,
button,Smoke seal applied to all penetrations required.,"Yes,No",,,,,,,
checkpoint,All Pressure Services work completed to specification/drawings & Area left clean/tidy,,,,,,,,
label,Pictures of works completed if applicable.,,,,,,,,
section,Apartment Commissioning,,,,,,,,
checkpoint,"Bathroom, Kitchen and Laundry setout off current Architectural drawings.",,,,,,,,
checkpoint,"ALL FLOOR WASTES TO BE INSPECTED FOR BLOCKAGES AND CLEARED, Laundry,bathroom, ensuite and balcony.",,,,,,,,
checkpoint,Kitchen mixer and sink installation complete.,,,,,,,,
button,"Kitchen mixer solid, check for cross connection, run tap, clear S&P trap, tighten flexis& trap and check mini cock for leaks.","Yes,No",,,,,,,
