Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,
Overall Progress,,,,,,,,,,,,
,Scope,,,,,,,,,,,
,Rows,,,,,,,,,,,
,,Building North - Level 2,,Level 2,Fitout,Building North,Site QA,,,,,
,,Building North - Level 3,,Level 3,Fitout,Building North,Site QA,,,,,
,,Building North - Level 4,,Level 4,Fitout,Building North,Site QA,,,,,
,,Building North - Level 5,,Level 5,Fitout,Building North,Site QA,,,,,
,,Building North - Level 6,,Level 6,Fitout,Building North,Site QA,,,,,
,,Building North - Level 7,,Level 7,Fitout,Building North,Site QA,,,,,
,,Building East - Level 1 - Zone A,,Level 1 - Zone A,Level 1,Fitout,Building East,Site QA,,,,
,,Building East - Level 2 - Zone A,,Level 2 - Zone A,Level 2,Fitout,Building East,Site QA,,,,
,,Building East - Level 2 - Zone B,,Level 2 - Zone B,Level 2,Fitout,Building East,Site QA,,,,
,,Building East - Level 3 - Zone A,,Level 3 - Zone A,Level 3,Fitout,Building East,Site QA,,,,
,,Building East - Level 3 - Zone B,,Level 3 - Zone B,Level 3,Fitout,Building East,Site QA,,,,
,,Building East - Level 4 - Zone A,,Level 4 - Zone A,Level 4,Fitout,Building East,Site QA,,,,
,,Building East - Level 5 - Zone A,,Level 5 - Zone A,Level 5,Fitout,Building East,Site QA,,,,
,,Building East - Level 6 - Zone A,,Level 6 - Zone A,Level 6,Fitout,Building East,Site QA,,,,
,,Building East - Level 7 - Zone A,,Level 7 - Zone A,Level 7,Fitout,Building East,Site QA,,,,
,,Building East - Level 8 - Zone A,,Level 8 - Zone A,Level 8,Fitout,Building East,Site QA,,,,
,,Building East - Level 9 - Zone A,,Level 9 - Zone A,Level 9,Fitout,Building East,Site QA,,,,
,,Building East - Level 10 - Zone A,,Level 10 - Zone A,Level 10,Fitout,Building East,Site QA,,,,
,,Building East - Level 11 - Zone A,,Level 11 - Zone A,Level 11,Fitout,Building East,Site QA,,,,
,Columns,,,,,,,,,,,
,,Level 1,,Level 1,,,,,,,,
,,Level 2,,Level 2,,,,,,,,
,,Level 3,,Level 3,,,,,,,,
,,Level 4,,Level 4,,,,,,,,
,,Level 5,,Level 5,,,,,,,,
,,Level 6,,Level 6,,,,,,,,
,,Level 7,,Level 7,,,,,,,,
,,Level 8,,Level 8,,,,,,,,
,,Level 9,,Level 9,,,,,,,,
,,Level 10,,Level 10,,,,,,,,
,,Level 11,,Level 11,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
