Type,Name,Values,Prompting Name,Postfix,Resource Id
checklist,"FH-927-QU-ITP007 - AGL Removal of Luminaire, Installation of Shallow Cans and Luminaire Installation - Rev 0",itp,"ITP007 - AGL Removal of Luminaire, Installation of Shallow Cans and Luminaire Installation",,
section,1.0 - Preliminary Works,,,,
checkpoint,1.1 - Check for correct documentation,,,,
label,Frequency - Prior to commencing any activity,,,,
label,Acceptance Criteria - Ensure that all employees and subcontractors are using the latest and complete set of drawings,,,,
label,Reference Documents - IFC Drawings Appendix K - AGL Specification,,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - Drawings,,,,
label,IP,,,,
label,Responsibility - Subcontractor Representative,,,,
date,Date Completed:,,,,
checkpoint,1.2 - Implementation of all measures and controls,,,,
label,Frequency - Prior to commencing any activities,,,,
label,"Acceptance Criteria - All necessary measures and controls are being implemented, that is PSP, EMP, TMP, SWMS & WP.",,,,
label,"Reference Documents - PSP, EMP, TMP, JSEA, SWMS, WP",,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - Site and Office Inspection,,,,
label,HP*,,,,
label,Responsibility - Site Engineer / Site Supervisor,,,,
date,Date Completed:,,,,
checkpoint,1.3 - Material/Equipment Approvals and Certification,,,,
label,Frequency - Prior to Start,,,,
label,Acceptance Criteria - All materials shall be proven to meet contractual requirements prior to acceptance.,,,,
label,"Reference Documents - GHD-DD-SPC- 002 Section 2.4, Section 2.5",,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - Datasheet/ Material Submission,,,,
label,HP*,,,,
label,Responsibility - Site Engineer,,,,
date,Date Completed:,,,,
section,2.0 - Removal of AGL Luminaires and installation of Foundation (All light types),,,,
checkpoint,2.1 - Setting out of Airfield Luminaires,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Surveyor to confirm location of AGL with IFC drawings and confirm alignment of luminaires.,,,,
label,○ Existing lights shall be reinstated following the overlay works in their existing location and at their existing orientation utilising the survey data captured prior to their removal before the overlay works commencing.,,,,
label,"Reference Documents - CP1024-GHD-AD-L00-DR-EE-0003 to CP1024-GHD-AD-L00-DR-EE-0031, GHD-DD-SPC-002 Section 3.19.1",,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - SCP,,,,
label,IP,,,,
label,Responsibility - Site Engineer / Surveyor,,,,
date,Date Completed:,,,,
checkpoint,2.2 - Confirmation of pre- works,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Ensure that the light to be removed corresponds to project drawings and documentation.,,,,
label,Reference Documents - CP1024-GHD-AD-L00-DR-EE-0003 to CP1024-GHD-AD-L00-DR-EE-0031,,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP Signed & AGL Sub-Contractor ITC,,,,
label,IP,,,,
label,Responsibility - Site Engineer / Site Supervisor,,,,
date,Date Completed:,,,,
checkpoint,2.3 - Light removal,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Remove existing light and AGL cables from conduits as per Sub-Contractor ITC for the Methods 1 and 2.,,,,
label,Reference Documents - CP1024-GHD-AD-L00-DR-EE-0003 to CP1024-GHD-AD-L00-DR-EE-0031 Sub-Contractor ITC,,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP Signed & AGL Sub-Contractor ITC,,,,
label,IP,,,,
label,Responsibility - Site Engineer / Site Supervisor,,,,
date,Date Completed:,,,,
checkpoint,2.4 - Isolation of lights,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - Prior to commencement of removal, the subcontractor shall ensure that the light has been isolated from power.",,,,
label,Reference Documents - APAM Electrical Isolation Standards,,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP Signed & AGL Sub-Contractor ITC,,,,
label,IP,,,,
label,Responsibility - Site Engineer / Site Supervisor,,,,
date,Date Completed:,,,,
