"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"81cfefd2-5a9a-4dae-95a4-c0ce4325ac42","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"cf5d8b46-9a19-4fde-a605-d82c77a74403","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ground"
"dee1680d-c325-4799-a2d5-f056c524302f","","checklist-sectioned","pass","2afb069763fb68591b98629737660fe8d9bf30dc3246beb36244255c92bc3d59","checklist","FALSE","FALSE","Site QA","Ground","D1"
"4e189879-ebe5-59b8-8384-80cc8c2e882d","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Ground","D1","Door Jamb Inspection"
"c072a185-4c64-5e85-87e6-fa403e916484","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D1","Door Jamb Inspection","Door frame as per door schedule"
"25ead578-9953-59b1-9317-1fa12d745f96","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D1","Door Jamb Inspection","Inspect door frame install to confirm as per door schedule, leaf installed plumb and true"
"78aabc94-130d-5a0a-ae61-2619071e1955","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Ground","D1","Internal Door - Door Install"
"415625b6-20ca-5e87-a25b-b857b6146b10","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D1","Internal Door - Door Install","Hang Door"
"4736b7fe-3e2e-54e2-b160-a8a6fdca87e8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D1","Internal Door - Door Install","Door prep"
"2106b39b-f46d-5ee3-83ed-ef1fdcbdb632","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D1","Internal Door - Door Install","Door hardware in line with Door Hardware Schedule"
"02dd3dde-e647-5220-a613-e4d18538e31f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D1","Internal Door - Door Install","Signed off - Contractor"
"e30a58b7-26d4-5b99-b9a7-305eebb710cd","","holdpoint","pass","","","TRUE","TRUE","Site QA","Ground","D1","Internal Door - Door Install","Signed off - Builder"
"6f1667f5-691c-5588-a64f-e7a6eb266f01","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Ground","D1","Internal Door Handover"
"f446ef4f-9f63-5e0a-b066-7ace23c36a3b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D1","Internal Door Handover","Work(s) completed to specification/drawings & Area left clean/tidy"
"8aebfc05-e6b0-5cd0-84a2-3ff9784904b1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D1","Internal Door Handover","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"fa02dce4-beca-4ce6-9430-3b2bd48088c4","","checklist-sectioned","pass","2afb069763fb68591b98629737660fe8d9bf30dc3246beb36244255c92bc3d59","checklist","FALSE","FALSE","Site QA","Ground","D2"
"0340de10-d496-5c41-b3d3-b9609c2b21f4","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Ground","D2","Door Jamb Inspection"
"60b1b7e3-7bfa-583c-a1ac-582018eb1ee5","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D2","Door Jamb Inspection","Door frame as per door schedule"
