"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"81cfefd2-5a9a-4dae-95a4-c0ce4325ac42","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"cf5d8b46-9a19-4fde-a605-d82c77a74403","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Ground"
"dee1680d-c325-4799-a2d5-f056c524302f","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Ground","D1"
"fa02dce4-beca-4ce6-9430-3b2bd48088c4","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Ground","D2"
"111398fc-7012-4184-a00b-92a2e526efb3","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Ground","D3"
"92922e2f-ccf2-4c0f-a843-2e26bb8571bd","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Ground","D4"
"d330f4a2-7e65-446e-b9b5-bd44a6eecc87","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Ground","D5"
"01d9c2f1-df3a-4f7e-86af-24d906b262e8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 1"
"fefcc6a2-c0e4-4910-a5f4-d7e5ac474c48","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 1","D6"
"316474af-ffa9-4dd1-ac45-d9c46220d798","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 1","D7"
"70a88d0a-57e3-4538-9abc-9d5a4702f40a","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 1","D8"
"bb5eb132-3bfa-4fee-b095-af8a5f8629fc","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 1","D9"
"bebf2c20-8d68-4004-96c6-37546452a126","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 1","D10"
"951bb47f-cc92-4399-84d2-e5736d568b7a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 2"
"8ca30c0f-edf7-4886-bba5-54547b91a994","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 2","D11"
"4d236073-c8be-46ea-afd4-1d9c2e165ce1","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 2","D12"
"bf461222-36f0-4396-94ef-f76a9e641921","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 2","D13"
"037d6d42-d7e4-49da-9ef6-c18950d1d9e5","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 2","D14"
"c80b18fd-e19f-46a6-bd36-0e7b743eab97","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 2","D15"
"f5c6e670-b38f-4169-9b35-ca637aebcbc5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 3"
"73367ed6-c8a0-4469-878c-b28b45f20c24","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 3","D16"
"927c9eed-97b0-48c6-ba7d-2dabea9bda1e","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 3","D17"
"6e6bad32-1908-47d7-89ad-a4913bf82e2e","","checklist-sectioned","work-in-progress","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 3","D18"
"c2e4b03e-c1cf-45f1-a975-ea2980f806e1","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 3","D19"
"19e47eeb-e5e5-4ec5-8318-92cdfea09e23","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 3","D20"
"b457249e-a959-45ae-bd7f-30eda87a2a58","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Level 4"
"554d3e08-f350-4f19-bd09-72540dccbfe3","","checklist-sectioned","fail","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 4","D21"
"02e5ff4f-a060-4c23-b60d-2b4d1779cfcc","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 4","D22"
"f6dcca41-4e72-4cad-a5b0-a01c5c561ca9","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 4","D23"
"1f06059b-cbea-40b4-a8ea-8ffe564cc7f5","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 4","D24"
"524f285f-5ee7-4f48-b540-1452820bd720","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 4","D25"
"9160b7fa-ac2a-4f08-9506-5d61486a3583","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 5"
"ee952735-f600-41a4-8f3e-f3bec180837c","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 5","D26"
"19da817d-c45b-4d59-a930-4f2b125d723d","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 5","D27"
"a6556ab7-5c96-499e-bc93-32687ede01bc","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 5","D28"
"c444ff48-7002-4f06-b82f-a3f9d97640f3","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 5","D29"
"f60f364f-0189-434b-881a-6cefa9d56401","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 5","D30"
"bf0044c8-c7bc-44f5-a0d0-7703d6b96857","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 6"
"81bfcabb-ddfd-40cd-9eb0-ddf4a801f05d","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 6","D31"
"36fcb437-66fa-48f2-8bbe-e66f97b5812a","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 6","D32"
"5438378f-36e4-40ac-a76a-e3b250923b9f","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 6","D33"
"07eaaf49-298f-4548-9ca7-cc8dd5c645b2","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 6","D34"
"aaba3935-3790-4953-ad6e-b0a282755968","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 6","D35"
"d1481fed-da73-4e9b-bd52-f7f323ba14d6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 7"
"f41198d2-54af-409a-8c00-0ae8a16e0eca","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 7","D36"
"78ff8740-cf07-42cd-b01e-9b8664fe1e04","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 7","D37"
"84b7a453-bcf5-40b8-ac9c-f1fd4ee48a18","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 7","D38"
"fd03b523-afac-4dac-a675-270a0575aaf0","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 7","D39"
"765c8cfa-36db-4ec2-b964-d34fe4c2739b","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 7","D40"
"020b6e92-ae89-46d9-8b2e-ec79ad4087a2","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 8"
"1ba52e05-e6af-44b9-8e19-c63cca5712af","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 8","D41"
"661e7e5a-a618-4473-8b9c-ec1444c4e4f0","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 8","D42"
"36678d15-9976-4744-89a6-f80423a2275f","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 8","D43"
"e397271a-ad4d-4fc3-96c4-1f2c8b233fd9","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 8","D44"
"bef484b0-3e43-4fac-ae5c-049066c656df","","checklist-sectioned","not-started","Door Checklist","checklist","FALSE","FALSE","Site QA","Level 8","D45"
