"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8108469e-f7c2-41a7-ad48-7aea2f128e19","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"d555fede-d8df-46ea-b723-49c18fa57484","","not-started","","folder","TRUE","FALSE","Site QA","Basement 2"
"c0667104-2d0f-4c2d-83b0-8ef7650b10b1","","not-started","External Façade - Walls and Ceilings","checklist","FALSE","FALSE","Site QA","Basement 2","Cooling Pit"
"d9e46b11-9865-4847-85db-ea82f50c87c9","","not-started","External Façade - Walls and Ceilings","checklist","FALSE","FALSE","Site QA","Basement 2","Grease Arrestor"
"bb9db6c9-e0bc-4209-93a9-00ca9ac5a0c5","","not-started","External Façade - Walls and Ceilings","checklist","FALSE","FALSE","Site QA","Basement 2","RL Parking"
"47b987f6-d467-41d9-879a-125b7e58ee6f","","not-started","External Façade - Walls and Ceilings","checklist","FALSE","FALSE","Site QA","Basement 2","RL Waste Room"
"445240fd-f938-4bd8-a986-23744f4350de","","not-started","","folder","TRUE","FALSE","Site QA","Basement 1"
"c4318c9f-43d0-489c-b6a9-ce96e179c691","","not-started","External Façade - Walls and Ceilings","checklist","FALSE","FALSE","Site QA","Basement 1","ACC WC C0306"
"a879c2a8-f928-47b9-bd9d-24a72c532541","","not-started","External Façade - Walls and Ceilings","checklist","FALSE","FALSE","Site QA","Basement 1","Chute Room C0305"
"2640e157-4ad8-4d32-8ae5-2ab466e03510","","not-started","External Façade - Walls and Ceilings","checklist","FALSE","FALSE","Site QA","Basement 1","Cleaner C0391"
"215dd554-363e-4053-9dd9-bd6cc8773d1e","","not-started","External Façade - Walls and Ceilings","checklist","FALSE","FALSE","Site QA","Basement 1","Clean Laundry C0303"
"b594cd40-7218-444a-b992-38b8b7a0c45f","","not-started","External Façade - Walls and Ceilings","checklist","FALSE","FALSE","Site QA","Basement 1","Consumables Store 2 C0394"
"a45a61db-0b4f-4acf-b079-26e9910aa82f","","not-started","External Façade - Walls and Ceilings","checklist","FALSE","FALSE","Site QA","Basement 1","Consumable Store 1 C0393"
"de8e6ee2-4d47-456b-b4cb-995c21cf0b12","","not-started","External Façade - Walls and Ceilings","checklist","FALSE","FALSE","Site QA","Basement 1","Continence Pad Store C0392"
