type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,
checklist,ITP-302-CIV-CPD-Bollard Installation,itp,,,,,ITP-302-CIV-CPD-Bollard Installation Rev 0,,,,,,,,,,,,,,,,
section,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-value,Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-302-CIV-CPD-Bollard Installation,,,,,,,,,,,,,,,,,,,,,,
label,ITP Description: CPD-Bollard Installation,,,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 25/07/2025,,,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Andrew Carlini,,,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Pradeep Talasila,,,,,,,,,,,,,,,,,,,,,,
label,1.1 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings,,,,,,,,,,,,,,,,,,,,,,
label,○ S516,,,,,,,,,,,,,,,,,,,,,,
label,○ S517,,,,,,,,,,,,,,,,,,,,,,
label,○ VicRoads Section 610,,,,,,,,,,,,,,,,,,,,,,
label,○ VicRoads Section 630,,,,,,,,,,,,,,,,,,,,,,
section,2. Materials,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.1 - Concrete,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - 25MPa concrete to be used as per IFC drawings.,,,,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Each Mix,,,,,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE/Site Supervisor,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - Supplier Certificate of Compliance,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,
checkpoint,"2.2 - Bollard, Chains",,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings,,,,,,,,,,,,,,,,,,,,,,
label,○ AS41000,,,,,,,,,,,,,,,,,,,,,,
label,○ AS1163,,,,,,,,,,,,,,,,,,,,,,
label,○ S516,,,,,,,,,,,,,,,,,,,,,,
label,○ S517,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - All Steel must comply with Australian Standards.,,,,,,,,,,,,,,,,,,,,,,
label,○ Bollard sizes must be checked on site.,,,,,,,,,,,,,,,,,,,,,,
label,"Method - Document review, Visual and Measure",,,,,,,,,,,,,,,,,,,,,,
label,Frequency - All elements,,,,,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE/Site Supervisor,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - Supplier Certificate of Compliance,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,
section,3. Pre-construction / Pre-installation Activities,,,,,,,,,,,,,,,,,,,,,,
checkpoint,3.1 - Survey Set-out,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Survey to set out the following but not limited to: existing services, bollard locations",,,,,,,,,,,,,,,,,,,,,,
label,○ Offset checked against the running edge prior toinstallation of bollards.,,,,,,,,,,,,,,,,,,,,,,
label,"Method - Measure, Visual",,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Each element,,,,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Surveyor, SE/PE",,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
section,4. Construction / Installation Activities,,,,,,,,,,,,,,,,,,,,,,
checkpoint,4.1 - Excavation works,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Excavation for bollard foundation must not undermine footing of existing structures.,,,,,,,,,,,,,,,,,,,,,,
label,○ Follow asset owners guidelines for work around their service.,,,,,,,,,,,,,,,,,,,,,,
label,○ Excavation must use Non Distructive Digging in the rail corridor,,,,,,,,,,,,,,,,,,,,,,
label,Method - Visual,,,,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE/Site Supervisor,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
