type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,
checklist,ITP - 09.3 Full ITP Concrete Footpath,itp,,,,,ITP - 09.3 Full ITP Concrete Footpath,,,,,,,,
section,SECTION 2 – SIGNATURES – CLOSE-OUT & APPROVAL,,,,,,,,,,,,,,
checkpoint,ITP Close-Out by Downer,,,,,,,,,,,,,,
text,Name: ,,,,,,,,,,,,,,
text,Date: ,,,,,,,,,,,,,,
checkpoint,Downer Approval,,,,,,,,,,,,,,
text,Name: ,,,,,,,,,,,,,,
text,Date: ,,,,,,,,,,,,,,
checkpoint,Customer Approval,,,,,,,,,,,,,,
text,Name: ,,,,,,,,,,,,,,
text,Date: ,,,,,,,,,,,,,,
section,SECTION 3 - Notifications,,,,,,,,,,,,,,
checkpoint,3.1 - Site inspection,,,,,,,,,,,,,,
label,Inspection Point: Quality Control Activity - Site walk over with supervisor and foreperson,,,,,,,,,,,,,,
label,Acceptance Criteria - Visual inspection,,,,,,,,,,,,,,
label,Verifying Document - ITP,,,,,,,,,,,,,,
label,Frequency - Once,,,,,,,,,,,,,,
label,Inspection/Test Key - V,,,,,,,,,,,,,,
label,Role key - SV FP,,,,,,,,,,,,,,
checkpoint,3.2 - Service location and permits issued,,,,,,,,,,,,,,
label,Inspection Point: Quality Control Activity - All services located and marked. Permits issued,,,,,,,,,,,,,,
label,Acceptance Criteria - Permits issued and received by qualified staff only,,,,,,,,,,,,,,
label,Verifying Document - Relative permits,,,,,,,,,,,,,,
label,Frequency - As permits expire,,,,,,,,,,,,,,
label,Inspection/Test Key - V,,,,,,,,,,,,,,
label,Role key - FP,,,,,,,,,,,,,,
checkpoint,3.3 - Work pack checklist,,,,,,,,,,,,,,
label,Inspection Point: Quality Control Activity - Check the work pack checklist,,,,,,,,,,,,,,
label,Acceptance Criteria - Copy of work pack with all documents,,,,,,,,,,,,,,
label,Verifying Document - Work pack,,,,,,,,,,,,,,
label,Frequency - Once,,,,,,,,,,,,,,
label,Inspection/Test Key - V,,,,,,,,,,,,,,
label,Role key - FP,,,,,,,,,,,,,,
section,SECTION 4 - Construction,,,,,,,,,,,,,,
checkpoint,4.1 - Environmental controls,,,,,,,,,,,,,,
label,Inspection Point: Quality Control Activity - Apply environmental controls to site.,,,,,,,,,,,,,,
label,"Acceptance Criteria - Consider drainage, noise, dust, weather.",,,,,,,,,,,,,,
label,Verifying Document - Work pack,,,,,,,,,,,,,,
label,Frequency - Once,,,,,,,,,,,,,,
label,Inspection/Test Key - V,,,,,,,,,,,,,,
label,Role key - FP,,,,,,,,,,,,,,
checkpoint,4.2 - Saw Cutting,,,,,,,,,,,,,,
label,Inspection Point: Quality Control Activity - Cut the existing footpath to the full depth of concrete,,,,,,,,,,,,,,
label,Acceptance Criteria - Cut in straight line and regular shape,,,,,,,,,,,,,,
label,Verifying Document - Refer to DN- GD-GP145,,,,,,,,,,,,,,
label,Frequency - Once,,,,,,,,,,,,,,
label,Inspection/Test Key - V,,,,,,,,,,,,,,
label,Role key - FP,,,,,,,,,,,,,,
checkpoint,4.3 - Excavation,,,,,,,,,,,,,,
label,Inspection Point: Quality Control Activity - Dig out the existing footpath to the required width and make good basecourse. Add 100-200mm either side for boxing.,,,,,,,,,,,,,,
label,Acceptance Criteria - Visual subgrade inspection,,,,,,,,,,,,,,
label,Verifying Document - Refer to RITS 3.3.5,,,,,,,,,,,,,,
label,Frequency - Once,,,,,,,,,,,,,,
label,Inspection/Test Key - V,,,,,,,,,,,,,,
label,Role key - FP,,,,,,,,,,,,,,
checkpoint,4.4 - Preparing subgrade(If inspection fails),,,,,,,,,,,,,,
label,Inspection Point: Quality Control Activity - Subgrade further compacted or excavate the unstable material and replace,,,,,,,,,,,,,,
label,Acceptance Criteria - Visual inspection,,,,,,,,,,,,,,
label,Verifying Document - Refer to DN- ZH-FM028.2,,,,,,,,,,,,,,
label,Frequency - Once,,,,,,,,,,,,,,
label,Inspection/Test Key - V,,,,,,,,,,,,,,
label,Role key - SV FP,,,,,,,,,,,,,,
checkpoint,4.5 - Timber Edging,,,,,,,,,,,,,,
label,Inspection Point: Quality Control Activity - Pegs spaced and timber edging as required.,,,,,,,,,,,,,,
label,Acceptance Criteria - Visual inspection,,,,,,,,,,,,,,
label,Verifying Document - RITS Drawing 3.6.1,,,,,,,,,,,,,,
label,Frequency - As required,,,,,,,,,,,,,,
label,Inspection/Test Key - V,,,,,,,,,,,,,,
label,Role key - SV QE,,,,,,,,,,,,,,
checkpoint,4.6 - Base preparation,,,,,,,,,,,,,,
label,Inspection Point: Quality Control Activity - Use Gap 20 or Sand when preparing the base for concrete Footpaths,,,,,,,,,,,,,,
label,Acceptance Criteria - Clegg Hammer value shall not be less than 12 after 4 blows,,,,,,,,,,,,,,
label,Verifying Document - RITS D3.3.5,,,,,,,,,,,,,,
label,Frequency - Every 10m,,,,,,,,,,,,,,
label,Inspection/Test Key - H,,,,,,,,,,,,,,
label,Role key - SV QE,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,4.7 - Concrete Testing,,,,,,,,,,,,,,
label,Inspection Point: Quality Control Activity - QA results needs to be supplied by supplier,,,,,,,,,,,,,,
label,Acceptance Criteria - Minimum Strength of concrete needs to be more than 20MPa,,,,,,,,,,,,,,
label,Verifying Document - Refer to RITS 3.4.5.2,,,,,,,,,,,,,,
label,Frequency - Every 6 Months,,,,,,,,,,,,,,
label,Inspection/Test Key - V,,,,,,,,,,,,,,
label,Role key - FP,,,,,,,,,,,,,,
checkpoint,4.8 - Placing Concrete,,,,,,,,,,,,,,
label,"Inspection Point: Quality Control Activity - Check the weather condition, Surface condition before placing concrete , Lightly damped the surface before placing concrete",,,,,,,,,,,,,,
label,Acceptance Criteria - Temperature shall not less than 5 degrees Celsius or concrete shall not place in frozen or wet conditions,,,,,,,,,,,,,,
label,Verifying Document - Refer to RITS 3.4.5.3,,,,,,,,,,,,,,
label,Frequency - Every Time,,,,,,,,,,,,,,
label,Inspection/Test Key - V,,,,,,,,,,,,,,
label,Role key - FP,,,,,,,,,,,,,,
checkpoint,4.9 - Curing Concrete,,,,,,,,,,,,,,
label,Inspection Point: Quality Control Activity - Curing period shall not be less than 36 hours,,,,,,,,,,,,,,
label,Acceptance Criteria - Visual inspection,,,,,,,,,,,,,,
label,Verifying Document - Refer to RITS 3.4.5.9,,,,,,,,,,,,,,
label,Frequency - Throughout the activity,,,,,,,,,,,,,,
label,Inspection/Test Key - V,,,,,,,,,,,,,,
label,Role key - SV FP,,,,,,,,,,,,,,
checkpoint,4.10 - Site reinstatement,,,,,,,,,,,,,,
label,Inspection Point: Quality Control Activity - Berms reinstated with top soil and grass seeded.,,,,,,,,,,,,,,
label,Acceptance Criteria - Minimum of 100mm of topsoil and grass seed applied.,,,,,,,,,,,,,,
label,Verifying Document - Refer to RITS 2.2.4.6,,,,,,,,,,,,,,
label,Frequency - As required,,,,,,,,,,,,,,
label,Inspection/Test Key - V,,,,,,,,,,,,,,
label,Role key - FP,,,,,,,,,,,,,,
section,SECTION 5 – Post Construction Audit,,,,,,,,,,,,,,
checkpoint,5.1 - Post Completion Audit,,,,,,,,,,,,,,
label,Inspection Point: Quality Control Activity - Area measured? Water pooling? Any visual crack observed? Photos taken? As-built updated?,,,,,,,,,,,,,,
label,Acceptance Criteria - Refer to RITS,,,,,,,,,,,,,,
label,Verifying Document - Post completion Report,,,,,,,,,,,,,,
label,Frequency - After the completion of job,,,,,,,,,,,,,,
label,Inspection/Test Key - W,,,,,,,,,,,,,,
label,Role key - SV,,,,,,,,,,,,,,
