"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7dd9af6d-8272-4328-b9f0-ddc2814e675c","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"0d2282ae-b0d6-4f0a-921a-45f2e4df878f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11"
"7db5f57e-321c-48ee-b2f0-75da061a3df6","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1101"
"8ed89402-a56a-4861-8cdd-cac844dcca72","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in"
"ee893557-596c-4034-aa7f-ed32dd9b774a","","pass","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation"
"04e0270a-cdaa-5058-bdfa-8adc3b4e6cb2","","pass","","section","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:"
"18ed7305-1dce-5b44-b8c6-c6ef6e4d5e3c","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"b603c417-d53f-5c8a-9b7c-2cb166d2ec5a","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Installation photos to be taken only within this Checkpoint)"
"19bd50c3-fa42-538b-8974-cc7fd71d5fb7","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Installation complies with current drawings & specifications"
"92acfca8-0b11-5988-81cb-dcebc3600d7f","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"db621902-269f-5129-a1ba-ee2d7aad3b5b","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Check for damage & leaks"
"af8eeeec-4e26-5fb9-94eb-d60941dc5f4f","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Check materials & joining methods"
"3569efaf-5961-5630-9dce-1df5439885f8","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Check alignments & levels"
"e0c53975-f732-5f0b-aeed-742d4301fdac","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Check pipe clips, hangers & fixings (correct size, spacing & separation)"
"479e3f07-5c68-5156-8352-7a61e7e7e937","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Check expansion joints and anchor points"
"9e7bc009-6d3e-59bc-a6d0-32948785d807","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Check in-wall fixture mounting brackets & concealed cisterns (if specified)"
"8deadfc9-2ddb-57cf-b080-8ee68d8b2701","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Check in-wall waste pipes & vents"
"81fc17c1-3814-5aba-a72a-681cebe77578","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Check inspection openings"
"be8ef74a-bbac-5a74-8521-f774989d0e27","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Check pipework & traps are clear of debris"
"604f7347-5e92-5913-adc2-9b12048ca7c2","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Check open ends are sealed"
"f9e5a710-4020-5d18-973f-ab492354902d","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Check acoustic insulation (if specified)"
