Id,Type,Name,Values,Prompting Name,Resource Id
,checklist,Installation Gas Service (Rough-ins),,Installation Gas Service (Rough-ins),0fd3e2c1-4e3c-416d-8a42-41819ff68e04
,section,Details:,,,
,checkpoint,"Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints",,,
,checkpoint,Installation complies with latest revision of AS/NZS 5601.1 (2022) (Note: Installation photos to be taken only within this Checkpoint),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,Check for damage & leaks,,,
,checkpoint,Check pipework can not be holed by plaster screws,,,
,checkpoint,Check crimp fittings,,,
,checkpoint,Check for cross connections,,,
,checkpoint,Check alignment & levels,,,
,checkpoint,Check materials & joining methods,,,
,checkpoint,"Check pipe clips, hangers & fixings (correct size, spacing & separation)",,,
,checkpoint,Check lugged elbows,,,
,checkpoint,Check noggings for future fixture,,,
,checkpoint,Check sharp edge pipe protection,,,
,checkpoint,Check pipe colour coding,,,
,checkpoint,Check floor/wall penetration fire proofing,,,
,,,,,
,,,,,
,checklist,Installation Gas Service (In-ground),,Installation Gas Service (In-ground),4c14ab3b-2d01-4a8c-b46f-28350884c837
,section,Details:,,,
,checkpoint,"Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints",,,
,checkpoint,Installation complies with latest revision of AS/NZS 5601.1 (2022) (Note: Installation photos to be taken only within this Checkpoint),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,Check for damage & leaks,,,
,checkpoint,Check materials & joining methods,,,
,checkpoint,Check alignments & levels,,,
,checkpoint,Check bedding & clearances,,,
,checkpoint,Check valve connections,,,
,checkpoint,Check pipework is clear of debris,,,
,checkpoint,Check open ends are sealed,,,
,checkpoint,Check pipe colour coding,,,
,checkpoint,Check pipe trench marking tape (if specified),,,
,checkpoint,Check trench backfill & compaction,,,
,,,,,
,,,,,
,checklist,Testing Gas Pipework (Above 7kPa),,Testing Gas Pipework (Above 7kPa),59546074-f202-493e-85e9-341380b25565
,section,Details:,,,
,checkpoint,Installation complies with latest revision of AS/NZS 5601.1 (2022),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,Testing kit & equipment have current certification,,,
,checkpoint,Apply test as per latest revision of AS/NZS 5601.1 (2022) (Note: Start & Finish testing photos to be taken only within this Checkpoint),,,
,,,,,
,,,,,
,checklist,Installation Gas Service (Mains/Risers),,Installation Gas Service (Mains/Risers),84f043b1-b4c9-407b-af3a-045c44f37110
,section,Details:,,,
,checkpoint,"Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints",,,
,checkpoint,Installation complies with latest revision of AS/NZS 5601.1 (2022) (Note: Installation photos to be taken only within this Checkpoint),,,
