"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7dd9af6d-8272-4328-b9f0-ddc2814e675c","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"0d2282ae-b0d6-4f0a-921a-45f2e4df878f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11"
"7db5f57e-321c-48ee-b2f0-75da061a3df6","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1101"
"8ed89402-a56a-4861-8cdd-cac844dcca72","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in"
"ee893557-596c-4034-aa7f-ed32dd9b774a","","pass","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation"
"3e217d35-1738-47b4-a28f-48daecdde0e4","","pass","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)"
"1f466a04-9c3e-4352-8506-13a7f92bca6d","","pass","Installation Gas Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)"
"f0cbcb15-9e5f-4fbb-ad22-c0e00ffc9a17","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off"
"97b8f5c5-24c4-496c-8b79-06f05d05e913","","pass","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Toilet & Cistern Installation"
"d35cc0e6-a620-4e17-a79d-ba18f2d86b71","","pass","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation"
"22f9bd39-be7c-49ca-b06f-967ff4a1bbca","","pass","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation"
"f8a717e4-44f6-42db-82f5-354bc869001b","","pass","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Bath & Tapware Installation"
"f2717c63-0bf8-4140-a124-5cb71368177e","","pass","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation"
"a1089f5b-ef99-4b09-8ba8-13a490fa5ea9","","pass","Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Dishwasher Installation"
"8f865492-b46b-443b-9a64-7a4d3c601a9d","","pass","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Laundry Trough & Tapware Installation"
"9d6e01ab-7fad-4f06-8b1f-4cac45a31f48","","pass","Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Washing Machine Stops Installation"
"3e59c32a-af28-48b6-9aa3-62dabfadcdf4","","pass","Fit-off Tundish","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Tundish Installation"
