"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b3c00575-27e4-4cec-93d0-1946f3ac9c32","","checklist-flat","pass","33e11ea08c3fa156ecb2b71326c329db44ccf0570380e5ecf555176e03d1ff69","checklist-flat","FALSE","FALSE","Anura - Project Details"
"95744827-80e3-52a6-a030-d5645a13b5f4","","checkpoint-status","pass","","","TRUE","TRUE","Anura - Project Details","Project details entered below"
"d50b6007-ca75-40b2-a0bd-6e9617b931bd","","folder-normal","fail","","step","TRUE","FALSE","Podium"
"620852fd-3a2b-48b8-a680-058a733800f5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Podium","Manufacture QA"
"4fd240fd-59b5-426e-8645-e8ab19fad1db","","folder-normal","pass","","step","TRUE","FALSE","Podium","Manufacture QA","Level 2"
"78d56342-1876-49c7-a099-34d39c56f250","","folder-normal","pass","","step","TRUE","FALSE","Podium","Manufacture QA","Level 2","Panel"
"5780880b-dafa-47a7-aef0-1f6cad079971","","checklist-sectioned","pass","227c737d3e83fef9e686b63f909d0164c376d77f0e52f2c2659a4fd07d2d56a0","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 2","Panel","02-63"
"e0955c4b-d15c-5c00-82ad-1d1f8d5655ae","","checkpoint-group","pass","","","FALSE","FALSE","Podium","Manufacture QA","Level 2","Panel","02-63","Manufacturing Documents"
"a2cf9b5f-d39f-5f18-9a4c-181fc35ff861","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 2","Panel","02-63","Manufacturing Documents","IFC Manufacturing Drawings"
"470bb5b6-76dd-5269-bc86-d4285468bd79","","checkpoint-group","pass","","","FALSE","FALSE","Podium","Manufacture QA","Level 2","Panel","02-63","Pre-Pour Checks"
"132ad964-de0f-550d-94ba-a919b8299d46","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 2","Panel","02-63","Pre-Pour Checks","Mould check"
"86892929-f69b-5de0-abbe-5c6208d1060d","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 2","Panel","02-63","Pre-Pour Checks","Reinforcing check"
"09422789-19d6-5cf8-9ed8-ec959a8ba52e","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 2","Panel","02-63","Pre-Pour Checks","Cast in items check"
"1f777890-8d6b-5448-beee-7ae41b2f5162","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 2","Panel","02-63","Pre-Pour Checks","Check Minimum Cover"
"0360679a-9e6e-5ef3-af07-e80ebc1da9e5","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 2","Panel","02-63","Pre-Pour Checks","ID Tag installed in non-visible face"
"35c6d44c-a3d5-5a6d-806b-1f03c97418c8","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 2","Panel","02-63","Pre-Pour Checks","Pre-Pour checks completed and approval given to pour Element"
"37ac5640-7396-55d4-8c74-f00c70a62f08","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 2","Panel","02-63","Pre-Pour Checks","Upload photo of signed pre-pour check of shop drawing"
"7c8f9eb9-80ec-5932-810b-c40fc4fef5ad","","checkpoint-group","pass","","","FALSE","FALSE","Podium","Manufacture QA","Level 2","Panel","02-63","Concrete Pour Checks"
"f7c5c054-ada2-5f3b-803c-9670b94706de","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 2","Panel","02-63","Concrete Pour Checks","Concrete Strength correct as per design"
"925b2a4c-9c8d-55a7-895a-4b727347c138","","checkpoint-group","pass","","","FALSE","FALSE","Podium","Manufacture QA","Level 2","Panel","02-63","Post-Pour / Pre Delivery Checks"
"f23e946a-3cfb-5df2-b8d4-8f3297204a57","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 2","Panel","02-63","Post-Pour / Pre Delivery Checks","Visual Check"
"1356d60f-6757-5e56-9311-aa362b49b010","","checkpoint-status","not-applicable","","","TRUE","TRUE","Podium","Manufacture QA","Level 2","Panel","02-63","Post-Pour / Pre Delivery Checks","Any Strongbacks Installed where required"
"03ea0d43-5add-58fc-9aa9-7290ba16e5eb","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 2","Panel","02-63","Post-Pour / Pre Delivery Checks","Element free from defects that will impact structural integrity or durability?"
"8be5506b-bdc3-5450-b3a6-92a69de02c00","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 2","Panel","02-63","Post-Pour / Pre Delivery Checks","All Post Pour Works complete - Element Checked, Approved and Ready for delivery"
"df2d2c76-3260-5816-9c0d-ba68efccbd26","","checkpoint-group","pass","","","FALSE","FALSE","Podium","Manufacture QA","Level 2","Panel","02-63","Concrete Test Results"
"007ff8b3-8836-5728-a9a7-48339f67a877","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 2","Panel","02-63","Concrete Test Results","Concrete Test Result attached"
"699aa386-f07d-49bf-9c7f-fdac981ebece","","folder-normal","work-in-progress","","step","TRUE","FALSE","Podium","Manufacture QA","Level 3"
"4635d365-3c1e-40be-865e-ca375962ec00","","folder-normal","work-in-progress","","step","TRUE","FALSE","Podium","Manufacture QA","Level 3","Balustrade"
"b7d6b6da-98e4-48c0-a4de-030463ecbf4b","","checklist-sectioned","work-in-progress","843bc3303fd72ee4307b459855a42daa8e7f9b1e8920415abe3a0be1bbf8f1fd","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 3","Balustrade","03-07"
"1e8b0e60-52bb-5a9c-b631-e2ed67eeb88d","","checkpoint-group","pass","","","FALSE","FALSE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Manufacturing Documents"
"cb60af00-0fa8-53d0-a6f9-7bde04d3cbe0","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Manufacturing Documents","IFC Manufacturing Drawings"
"a93abbe4-3499-5fb7-8f3b-6b6ad59f97f9","","checkpoint-group","not-started","","","FALSE","FALSE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Pre-Pour Checks"
"7198bbd7-7d12-5e86-867f-954ed0a7a33d","","checkpoint-status","not-started","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Pre-Pour Checks","Mould check"
"746481be-cd1a-58ca-b13c-f735c99030fe","","checkpoint-status","not-started","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Pre-Pour Checks","Reinforcing check"
"0b168ea0-75ef-5d87-8cbc-806298cb7032","","checkpoint-status","not-started","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Pre-Pour Checks","Cast in items check"
"fdac614b-5668-5eb8-8cfd-6d66ddb9d85c","","checkpoint-status","not-started","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Pre-Pour Checks","Check Minimum Cover"
"3ab0e6df-a44b-5933-9a07-5ef96c0afee6","","checkpoint-status","not-started","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Pre-Pour Checks","ID Tag installed in non-visible face"
"79469ead-9305-5dbe-9023-04c08327165f","","checkpoint-status","not-started","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Pre-Pour Checks","Pre-Pour checks completed and approval given to pour Element"
"fd726ed9-396a-528a-875f-76ce8ea45ca2","","checkpoint-status","not-started","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Pre-Pour Checks","Upload photo of signed pre-pour check of shop drawing"
"20f6923f-adc6-51c8-81aa-9d8952f543d0","","checkpoint-group","not-started","","","FALSE","FALSE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Concrete Pour Checks"
"49f5de4f-e39c-506d-a4cd-36148a56e8da","","checkpoint-status","not-started","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Concrete Pour Checks","Concrete Strength correct as per design"
"196b3ff2-b338-45fa-bd7b-3a9e6144a3f6","","checkpoint-group","not-started","","","FALSE","FALSE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Post-Pour / Pre Delivery Checks"
"fa575aaf-fe10-5048-b15f-60834eb3941f","","checkpoint-status","not-started","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Post-Pour / Pre Delivery Checks","Visual Check"
"a40e9115-9976-5d08-a04f-db96fb5dbf07","","checkpoint-status","not-started","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Post-Pour / Pre Delivery Checks","Any Strongbacks Installed where required"
"362cace6-8645-53bd-b8b8-2a0499040041","","checkpoint-status","not-started","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Post-Pour / Pre Delivery Checks","Element free from defects that will impact structural integrity or durability?"
"ed3e522a-ab1b-58f9-a739-4346c75701f8","","checkpoint-status","not-started","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Post-Pour / Pre Delivery Checks","All Post Pour Works complete - Element Checked, Approved and Ready for delivery"
"80f2c019-fa33-5ade-b01a-5786a0934515","","checkpoint-group","not-started","","","FALSE","FALSE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Concrete Test Results"
"eebe2fa6-3048-55d5-8994-10f44473d978","","checkpoint-status","not-started","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Balustrade","03-07","Concrete Test Results","Concrete Test Result attached"
"2d77e205-79fe-43a2-b9bc-8951878e5e98","","folder-normal","pass","","step","TRUE","FALSE","Podium","Manufacture QA","Level 3","Panel"
"4c1c4192-ec3f-4714-ad5f-0511d464af73","","checklist-sectioned","pass","843bc3303fd72ee4307b459855a42daa8e7f9b1e8920415abe3a0be1bbf8f1fd","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 3","Panel","03-41"
"191b88ac-71d0-5279-9974-22d9f134e527","","checkpoint-group","pass","","","FALSE","FALSE","Podium","Manufacture QA","Level 3","Panel","03-41","Manufacturing Documents"
"00f705ce-1eb6-5588-92eb-255c148fc76c","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-41","Manufacturing Documents","IFC Manufacturing Drawings"
"99f6bf43-6f4d-571b-aa50-1ffd8f387846","","checkpoint-group","pass","","","FALSE","FALSE","Podium","Manufacture QA","Level 3","Panel","03-41","Pre-Pour Checks"
"5096b4e7-5aed-58bb-ae47-b4c3689138ff","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-41","Pre-Pour Checks","Mould check"
"bae43a76-1256-5ee4-b8fe-47ebdbf97f6c","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-41","Pre-Pour Checks","Reinforcing check"
"08021615-d553-53b4-990e-21e5cf7ab0bd","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-41","Pre-Pour Checks","Cast in items check"
"3905c8ca-612b-5ed0-b0cb-34bc107d8884","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-41","Pre-Pour Checks","Check Minimum Cover"
"cef24331-30da-57d6-83b3-7278153627cd","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-41","Pre-Pour Checks","ID Tag installed in non-visible face"
"6ad7c4aa-5179-596b-a972-c9f4dc451fad","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-41","Pre-Pour Checks","Pre-Pour checks completed and approval given to pour Element"
"91f51f3e-1472-5f76-b12a-27d2e7d66f6e","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-41","Pre-Pour Checks","Upload photo of signed pre-pour check of shop drawing"
"d514df55-f645-5ad4-9ec2-536c27b85b40","","checkpoint-group","pass","","","FALSE","FALSE","Podium","Manufacture QA","Level 3","Panel","03-41","Concrete Pour Checks"
"7bf7a213-9f09-59a3-a1af-cf49a3cbf692","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-41","Concrete Pour Checks","Concrete Strength correct as per design"
"de49512d-7665-484a-b289-3befe6af8faa","","checkpoint-group","pass","","","FALSE","FALSE","Podium","Manufacture QA","Level 3","Panel","03-41","Post-Pour / Pre Delivery Checks"
"fd09fca5-1bef-5c5f-ab3c-a19d551093dd","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-41","Post-Pour / Pre Delivery Checks","Visual Check"
"bd1eb840-c106-5f82-981a-7aa888a2698a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-41","Post-Pour / Pre Delivery Checks","Any Strongbacks Installed where required"
"5a92062d-beb7-5d44-b89a-dcc68f45ee4e","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-41","Post-Pour / Pre Delivery Checks","Element free from defects that will impact structural integrity or durability?"
"9b51d8ba-e2da-52be-afb4-9737e9296319","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-41","Post-Pour / Pre Delivery Checks","All Post Pour Works complete - Element Checked, Approved and Ready for delivery"
"63ccb9ff-458c-552b-9f85-caa1fb13b77f","","checkpoint-group","pass","","","FALSE","FALSE","Podium","Manufacture QA","Level 3","Panel","03-41","Concrete Test Results"
"7bd05d61-0524-5084-9e47-a0c2fefd545d","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-41","Concrete Test Results","Concrete Test Result attached"
"f579402b-b3de-478b-b4b3-09929d04bb65","","checklist-sectioned","pass","ca8889f7119946c2fdba180ddd332d500bab6f43c68f417b3355cf975049de68","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 3","Panel","03-42"
"6c37e3e8-4e05-5bfd-87a6-be5528e4d4f2","","checkpoint-group","pass","","","FALSE","FALSE","Podium","Manufacture QA","Level 3","Panel","03-42","Manufacturing Documents"
"3e3562f8-b338-55cf-bf3f-32c297d9c6af","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-42","Manufacturing Documents","IFC Manufacturing Drawings"
"f2dc2314-e3db-5f77-a80d-9d6b49c57668","","checkpoint-group","pass","","","FALSE","FALSE","Podium","Manufacture QA","Level 3","Panel","03-42","Pre-Pour Checks"
"f19e920d-039e-5822-8dcd-e41edf07ca72","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-42","Pre-Pour Checks","Mould check"
"ac6a30a6-68b6-529b-871a-36c4091ac005","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-42","Pre-Pour Checks","Reinforcing check"
"5323d6f0-17cf-56f4-9f40-4624f2d0dca5","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-42","Pre-Pour Checks","Cast in items check"
"04e4e755-e596-5c46-ba5c-4f081422a15b","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-42","Pre-Pour Checks","Check Minimum Cover"
"03e34d87-5e2b-5e0b-8b7a-303999a17f89","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-42","Pre-Pour Checks","ID Tag installed in non-visible face"
"70c0ff87-d367-5c24-b4e7-ec9aefcf422f","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-42","Pre-Pour Checks","Pre-Pour checks completed and approval given to pour Element"
"ba61f6ad-d2e4-5ca0-be1a-789258d6e6e5","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-42","Pre-Pour Checks","Upload photo of signed pre-pour check of shop drawing"
"ebbcde12-a963-5ad7-a3aa-3a3f82ce73a9","","checkpoint-group","pass","","","FALSE","FALSE","Podium","Manufacture QA","Level 3","Panel","03-42","Concrete Pour Checks"
"eab70bb2-56c3-51ca-83b1-52ba466a35ca","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-42","Concrete Pour Checks","Concrete Strength correct as per design"
"86760ed4-4e9b-5148-b995-5f5b1e684820","","checkpoint-group","pass","","","FALSE","FALSE","Podium","Manufacture QA","Level 3","Panel","03-42","Post-Pour / Pre Delivery Checks"
"d8eb6e20-46c2-5519-8299-f2ccdf134bef","","checkpoint-status","pass","","","TRUE","TRUE","Podium","Manufacture QA","Level 3","Panel","03-42","Post-Pour / Pre Delivery Checks","Visual Check"
