Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,ITP Liquids (V.071223),,,,,Yes,ITP Liquids V2,684c9f19-f22b-4578-8b80-8a27a0391c5f
checkpoint-group,,,section,Details,,,,,,,
checkpoint-status,,,checkpoint,Details - Pass once entered,,,,,,,
text,f7379baa-1819-5fd5-a9de-a11979479665,,textbox,Area/Grid Reference,,,,,,,
text,563dc4e9-7eb0-5678-894a-7dbc06e2454c,,textbox,Level,,,,,,,
text,97dfa1b7-5c99-5289-a959-78e62a2182ec,,textbox,Description of Works Performed,,,,,,,
text,c8201e77-a24c-5d18-9d1a-3875267ce2d6,,textbox,Product supplier,,,,,,,
text,e21b4032-03e5-5799-868d-43d56a48e969,,textbox,Products used,,,,,,,
checkpoint-group,,,section,Substrate inspection,,,,,,,
checkpoint-status,,,checkpoint,Is the substrate suitable for application,,,,,,,
checkpoint-status,,,checkpoint,All concrete grout or mortar spills have been removed,,,,,,,
checkpoint-status,,,checkpoint,"All protruding tie wire, nails and or bolt removed from surface",,,,,,,
checkpoint-status,,,checkpoint,All bony and defective concrete finishes have been repaired with approved repair materials,,,,,,,
checkpoint-status,,,checkpoint,Moisture content in the concrete lower than 4.5% are required by Manufacturer using Tramex CME moisture meter,,,,,,,
checkpoint-status,,,checkpoint,HOLD POINT MANUFACTURER INSPECTION,,,,,,,
holdpoint,,,signoff,Manufacturers Representative Sign-Off (attach signature),,,,,,,
checkpoint-group,,,section,Membrane Installation,,,,,,,
checkpoint-status,,,checkpoint,Is the area barricaded and signed to prevent workers transiting across our prepared surfaces,,,,,,,
checkpoint-status,,,checkpoint,Have all sources of dust/debris like power saws cutting timber etc been controlled prior to our application,,,,,,,
checkpoint-status,,,checkpoint,Cracks in concrete over 3mm have been ground out and sealed with polyurethane sealant,,,,,,,
checkpoint-status,,,checkpoint,Install 10mm radius Polyurethane coves been installed to all intersections,,,,,,,
checkpoint-status,,,checkpoint,Install a minimum of 100mm turnup above finished floor level as per Manufacturers requirements,,,,,,,
checkpoint-status,,,checkpoint,Install Tremco Vulkem 171 primer @7-10L/m2 and allow to cure 30-60 minutes or until tacky,,,,,,,
checkpoint-status,,,checkpoint,Install Tremco Vulkem 350 base coat to manufacturers requirements @.81-1.08m2/L and allow to cure for 12 hours,,,,,,,
checkpoint-status,,,checkpoint,Install Tremco Vulkem 951 top coat(if required) to manufacturers requirements @ 3.23m2/L and allow to cure for 24 hours,,,,,,,
checkpoint-status,,,checkpoint,Check for each of the below and detail as per Tremco Standard details. Attach photos/comments where applicable,,,,,,,
boolean,d4238faf-b2e6-50e7-9c5d-33607ee8ad8d,,tickbox,Penetrations,,,,,,,
boolean,6539bd1a-8ace-5e02-976b-1b7d7cd8a293,,tickbox,Outlets,,,,,,,
boolean,ad8ffd69-dbb4-5770-9914-fe39a2e591b2,,tickbox,Upstands,,,,,,,
boolean,a421fbf5-5d36-5bac-b81d-9e6b9d3c2fd8,,tickbox,Expansion joints,,,,,,,
checkpoint-group,,,section,Membrane Testing,,,,,,,
checkpoint-status,,,checkpoint,Flood test areas for a minimum of 24hrs,,,,,,,
checkpoint-status,,,checkpoint,Wet Film Test of membrane,,,,,,,
checkpoint-group,,,section,Final Inspection,,,,,,,
checkpoint-status,,,checkpoint,Has membrane been installed in accordance with AS4654.1&4654.2 (waterproof membranes for external above ground use),,,,,,,
checkpoint-status,,,checkpoint,Application as per manufacturer’s instructions,,,,,,,
checkpoint-status,,,checkpoint,Waterproofing works completed - Area left clean & tidy,,,,,,,
label,93115484-109a-5187-b626-7cdf91675069,,note,FINAL - Pass when happy to proceed with work(s) (Any issues please comment below),,,,,,,
checkpoint-status,,,checkpoint,Release to next Trade,,,,,,,
checkpoint-status,,,checkpoint,Bicon Representative Sign-Off (attach signature),,,,,,,
checkpoint-status,,,checkpoint,Builders Representative Sign-Off (attach signature),,,,,,,
checkpoint-status,,,checkpoint,Manufacturers Representative Sign-Off (attach signature),,,,,,,
