"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b796c003-d1b8-40c2-94ff-ccf08f8112df","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project  Seafarers"
"9f622ad1-f328-593d-ad95-643de2dde7df","","checklist-flat","no-status-not-started","93bd1be2dc3f7d66098628adff5b0a88d6a562baf6b97b6716aee51438f745bf","checklist-flat","FALSE","FALSE","Project  Seafarers","Job Details"
"09b87e1a-c66f-5328-bd47-a78c4e9b8b2f","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Project  Seafarers","Job Details","Site Info"
"a2ccd8eb-5be3-54aa-8c4b-ea28abbb3fdf","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Project  Seafarers","Job Details","Latest Drawings"
"0cb18e8e-2302-5885-a811-868b947a4f65","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Project  Seafarers","Job Details","Scope of Works Attached"
"f019026c-8f31-5d20-8eec-a6b4eabae636","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Project  Seafarers","Job Details","Additional Pre Start Docs"
"1d8d1990-d681-51cf-8377-40077c1a91e9","","folder-normal","pass","","step","TRUE","FALSE","Project  Seafarers","QA"
"0976cd57-fc6e-4ca7-92a2-9dafd6b25d4b","","checklist-sectioned","pass","ITP Liquids (V.180821)","checklist","FALSE","FALSE","Project  Seafarers","QA","Level 3 North East Substation Hobs"
"076a0411-b4d1-5189-80e7-edf108e808ef","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","QA","Level 3 North East Substation Hobs","Details"
"ddfc9453-958f-5f5c-b247-ac5f2af646c2","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 3 North East Substation Hobs","Details","Details - Pass once entered"
"e54e5566-b1c2-5e08-9f9f-d78bc0e9ab4a","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","QA","Level 3 North East Substation Hobs","Membrane Inspection"
"8731d27d-463a-5996-be1c-01a4d64f1578","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 3 North East Substation Hobs","Membrane Inspection","Is the substrate suitable for application"
"c0bf0f2d-733c-509b-950a-bf1dfafe23c9","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 3 North East Substation Hobs","Membrane Inspection","Have Polyurethane coves been installed to all outlets & intersections"
"77f4b9f4-bd55-5aed-ba2c-2730236488f4","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 3 North East Substation Hobs","Membrane Inspection","Is there a minimum of 100mm turnup above finished floor level"
"7253d4f8-e720-50f6-81b9-a3d8338249c8","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 3 North East Substation Hobs","Membrane Inspection","Has membrane been installed to manufacturer's specified thickness"
"4db5e8c8-f8c3-5840-bd51-e6ec695c87f6","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 3 North East Substation Hobs","Membrane Inspection","Has membrane been installed to Australian standards"
"bca12efc-8c4e-592f-a7ee-e86f80103c20","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","QA","Level 3 North East Substation Hobs","Final Inspection"
"539af355-f29b-5d42-965e-f755faec4d05","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 3 North East Substation Hobs","Final Inspection","Application as per manufacturer’s instructions"
"1b53e958-d60d-579e-b46f-ac8b16574322","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 3 North East Substation Hobs","Final Inspection","Waterproofing works completed to specification/drawings - Area left clean & tidy"
"a3338f18-5d12-49ef-bfe0-31071bef1f04","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project  Seafarers","QA","lift lids "
"7328dfc9-f178-4d8a-9c93-08e2b5e16830","","checklist-sectioned","pass","ITP Liquids V2","checklist","FALSE","FALSE","Project  Seafarers","QA","Level 4 WM1 Hobs"
"48f7f36e-1e83-5a71-8d0b-a4c2ab0dddde","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","QA","Level 4 WM1 Hobs","Details"
"8af9b99f-50a3-5b4b-a8d7-f37dad21c094","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Details","Details - Pass once entered"
"e6157142-df78-56eb-a0ac-02e434c2d628","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","QA","Level 4 WM1 Hobs","Substrate inspection"
"a1a372b9-212a-5726-bf75-d3c49581a8c3","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Substrate inspection","Is the substrate suitable for application"
"0329650d-8d7f-5064-b5ab-188bb571440a","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Substrate inspection","All concrete grout or mortar spills have been removed"
"0f8dbdfd-d81c-5fff-b141-98fc70bf7b48","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Substrate inspection","All protruding tie wire, nails and or bolt removed from surface"
"4ddd44de-0a3d-58c0-bda4-114cc74005a5","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Substrate inspection","All bony and defective concrete finishes have been repaired with approved repair materials"
"d4a568eb-fb77-5c0d-82bb-7ad4795e4d8c","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Substrate inspection","Moisture content in the concrete lower than 4.5% are required by Manufacturer using Tramex CME moisture meter"
"f36f7a32-378b-50a1-8a36-436006892062","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Substrate inspection","HOLD POINT MANUFACTURER INSPECTION"
"29963c17-f8e6-5df5-bb40-bd495bccd687","","holdpoint","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Substrate inspection","Manufacturers Representative Sign-Off (attach signature)"
"9de0ac77-1157-55aa-9787-73f30a89ca75","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","QA","Level 4 WM1 Hobs","Membrane Installation"
"87942e33-4373-5af4-acd1-61a87d974a80","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Membrane Installation","Is the area barricaded and signed to prevent workers transiting across our prepared surfaces"
"f321adba-c4a0-50e5-a2cf-1a60b57a4172","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Membrane Installation","Have all sources of dust/debris like power saws cutting timber etc been controlled prior to our application"
