"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2405e81c-0227-472b-ac90-ff3067edce4e","","","","folder","TRUE","FALSE","QA - Carpentry"
"1634b667-75ba-4304-a2d7-12bc32946dda","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry"
"1990f67e-e33d-48ef-bf2b-fc67d7567aca","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1"
"dde2c196-951c-43b4-8531-b03355edf43d","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Basement"
"5022e87c-0bae-4569-9dd1-6dfa70244632","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Basement","Common Door"
"bf0de2b7-46e3-4811-85f0-71adcebb5c5a","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Basement","Common Door","Storage DP-BS01.1"
"2159f5d3-19d2-409b-925b-e182661df38c","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Basement","Common Door","Binroom DP-BS02.1"
"c13001fb-6300-42a4-ab88-b91442d0d13c","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Basement","Common Door","EXH DP-BS00.1"
"9e130c6e-5f13-4ed2-9661-0b049069f1bf","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Basement","Common Door","Cleaner DP-BS03.1"
"cd5d7125-ecf7-4c27-b52a-62bf2ee17057","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Basement","Common Door","Stair DP-BS04.1"
"31a573be-ee33-48e1-8ea0-540786a252a0","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Basement","Common Skirting"
"4e2a62d2-2dfc-4459-9bcc-ff9727dc0839","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground"
"6ae61e01-018f-4212-9d92-59a7c7c94e9d","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Door"
"5b05c157-aec8-4207-b6e8-d1c6bc0898ed","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Door","FOOD & BEVERAGE D1-G101.2"
"02eb4ff3-3da6-4113-a36d-556f4ca29b26","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Door","RETAIL D1-G102.2"
"1e7e3387-5a19-4a26-bb8c-3a05f139fd8f","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Door","HYD D1-G00.4"
"698c4707-a6d1-4faa-bc43-89972e3f2085","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Door","COM D1-G00.3"
"36f2cdbe-f83f-4918-9abd-4914f17dcfba","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Door","D1-G00.2"
"1d863c4d-8a64-43e8-89e3-804bb1c6417e","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Door","Stair 01 D1-G00.1"
"bc4469a3-3b62-49d6-9ee2-dc8d4a5e084c","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Door","Binroom D1-G00.5"
"906eb607-7235-4cb5-ac39-35c91430deb2","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Skirting"
"d0949d93-fb93-459f-a3c1-f82f4c92febb","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G01"
"db633d41-5b50-4ee1-a391-fb8317ed0b43","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G01","Door"
"bcf85648-5f4a-43ec-b6d1-4d9014744155","","","Entry Door","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G01","Door","Entry door"
"b942b222-9649-4a69-8b5e-a55429c19d2b","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G01","Door","Bedroom 1"
"06ffc294-c932-4d78-9e44-2fa83faf4f37","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G01","Door","Bathroom 1"
"5542208b-f8d1-48a6-b96c-879a7954c8ca","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G01","Skirting"
"161911ab-8b70-4575-82af-94894af1ba88","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G01","Skirting","Living Room"
"b0eda010-3d80-4fec-99dd-afa15fa0f2e7","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G01","Skirting","Bedroom 1"
"d2b94476-0fa8-4099-a995-74d8cd0e19f2","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G01","Sanitary"
"5027ec64-7bc3-41c8-bec7-5ad7b23efd69","","","Sanitary Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G01","Sanitary","Bathroom 1"
"d97ebac8-b0f7-4eb1-81a9-0229195ab5f4","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G02"
"fb845806-fd5e-442a-94d3-5bfc7743d39b","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G02","Door"
"7e1142fb-068a-42b1-b846-6e0a1a5ac6aa","","","Entry Door","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G02","Door","Entry door"
"fb45af66-81a5-4cad-833a-0f7e5e9392d7","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G02","Door","Bedroom 1"
"d8cbb1cb-96e3-4ee3-ad34-8f45e78a302c","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G02","Door","Bathroom 1"
"91afa66e-133c-488c-9d31-36120c13ca13","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G02","Skirting"
"616a69a2-6d0a-4f22-af93-8a453a82394a","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G02","Skirting","Living Room"
"1c5102cb-7f4c-4bd0-ac77-297b179e5c62","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G02","Skirting","Bedroom 1"
"bab2b16e-89f8-4ae9-b705-a8d3d9263e43","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G02","Sanitary"
"14e4f6eb-87e2-4897-87fd-1271c7661d28","","","Sanitary Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G02","Sanitary","Bathroom 1"
"f7102087-9269-4eed-8b57-1dd21f3be1fd","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G03"
"9dc68f55-580a-43e7-b78a-763674b52237","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G03","Door"
"3a3cca42-3107-45e4-a5c0-cf7752b501f5","","","Entry Door","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G03","Door","Entry door"
"c108a464-bf39-4a86-b66d-eec811454ab9","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G03","Door","Bedroom 1"
