"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"14f313a2-5dd8-4dfb-925f-0804a9dcde68","","checklist-sectioned","work-in-progress","e05bb294b90756210e81611c028ed9f23f18aa057832964e9b09435d72144b06","checklist","FALSE","FALSE","LID 03"
"ae4a2b0d-34eb-5976-bb67-4cef3268c194","","checkpoint-group","pass","","","FALSE","FALSE","LID 03","Drawing"
"20f89a4f-5d49-5708-b068-3f6f62e7eefe","","checkpoint-status","pass","","","TRUE","TRUE","LID 03","Drawing","Revision No - Attach photo of drawing below &/Or input details"
"c5c0c3f6-41da-5244-8e47-8a2f6a872a3f","","checkpoint-group","not-started","","","FALSE","FALSE","LID 03","Panel Properties"
"8431e373-c7d8-533e-9c8b-4e45dad9f1ec","","checkpoint-status","not-started","","","TRUE","TRUE","LID 03","Panel Properties","Properties - Pass once entered"
"eeb892aa-2164-5054-af13-39a8ef6143e4","","checkpoint-group","pass","","","FALSE","FALSE","LID 03","Formwork"
"d0678178-2a93-52ea-9320-0715bbfebf8a","","checkpoint-status","pass","","","TRUE","TRUE","LID 03","Formwork","Correct Dimensions & Square"
"41b74136-86cb-5f44-8ef3-33bb1b0ad452","","checkpoint-status","pass","","","TRUE","TRUE","LID 03","Formwork","Grout tube set out"
"03caec98-489f-52ec-b459-7e201e18a442","","checkpoint-status","pass","","","TRUE","TRUE","LID 03","Formwork","Magnets Locked Down"
"3263529d-9053-51a9-a629-03dc6f3d189c","","checkpoint-status","pass","","","TRUE","TRUE","LID 03","Formwork","Fillet Installed"
"fc3b7440-802c-5928-a46b-6e218cfb34bb","","checkpoint-status","pass","","","TRUE","TRUE","LID 03","Formwork","ID TAG Installed (photo required)"
"1d8aa11a-8cc1-5405-b59b-5c61e9d55854","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 03","Formwork","Starter bars & couplers (photo required)"
"d10d31c0-d672-5659-8b43-9010488b496f","","checkpoint-group","pass","","","FALSE","FALSE","LID 03","Reinforcement"
"ddddba5b-fb56-57cf-8a3b-700ea8235338","","checkpoint-status","pass","","","TRUE","TRUE","LID 03","Reinforcement","Correct Mesh/Cage (photo required)"
"562462d2-11ec-5113-bb50-461b5d1c0a69","","checkpoint-status","pass","","","TRUE","TRUE","LID 03","Reinforcement","Correct Lig Spacing/Mesh Centers"
"50bd4318-56cb-50e8-9276-565545c71dc3","","checkpoint-status","pass","","","TRUE","TRUE","LID 03","Reinforcement","Correct Cover"
"18503164-327f-5c3d-a7e9-fda966425b18","","checkpoint-status","pass","","","TRUE","TRUE","LID 03","Reinforcement","Lifter location & Type Correct (photo required)"
"82a812c8-6a6e-5ce2-98ef-6faa906be6ba","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 03","Reinforcement","Starter bars & couplers (photo required)"
"82692907-88b8-52ab-a6c7-1af6e72db3eb","","checkpoint-status","pass","","","TRUE","TRUE","LID 03","Reinforcement","Strongbacks installed - If required"
"bdcae740-30c4-5480-8f30-7c86dfbd4418","","checkpoint-status","pass","","","TRUE","TRUE","LID 03","Reinforcement","Engineer Shop Drawings attached - (photo required)"
"5ea05154-53e4-5fab-9669-22a8bf39d7b9","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 03","Reinforcement","Ferrues Installed - (photo required)"
"f00f635b-22bc-5dd5-bf5e-68699a04a758","","checkpoint-group","not-started","","","FALSE","FALSE","LID 03","Concrete"
"fc717396-5a85-5c3b-9da1-5b96a5209c38","","checkpoint-status","not-started","","","TRUE","TRUE","LID 03","Concrete","mPA Correct -> Concrete Docket - (photo required)"
"2f06900a-f43c-56e4-a16e-166d78943fbd","","checkpoint-status","not-started","","","TRUE","TRUE","LID 03","Concrete","Concrete Test"
"f3d1bc81-0b33-57b7-ae41-6970cc5a2aca","","checkpoint-status","not-started","","","TRUE","TRUE","LID 03","Concrete","Concrete Test Report - (photo required)"
"32f8e4c7-4eed-5987-8c4d-4a9d581c91bf","","checkpoint-group","not-started","","","FALSE","FALSE","LID 03","Post Pour"
"6b797eaa-231d-5bcb-b1c0-c651ec1df412","","checkpoint-status","not-started","","","TRUE","TRUE","LID 03","Post Pour","Ferrules exposed"
"b4ccd68b-3700-5c3f-8f66-8facb1ed6ed3","","checkpoint-status","not-started","","","TRUE","TRUE","LID 03","Post Pour","Grout Tubes Open"
"6819c6e1-80e7-51aa-9ca5-98e73e05c0d7","","checkpoint-status","not-started","","","TRUE","TRUE","LID 03","Post Pour","Lifters installed central to panel"
"c277f212-7b1d-5444-894a-e54796b69c33","","checkpoint-status","not-started","","","TRUE","TRUE","LID 03","Post Pour","Lifters Cleaned"
"0eb839d4-28a4-5cb2-91af-cba4d36d2395","","checkpoint-status","not-started","","","TRUE","TRUE","LID 03","Post Pour","Patching required - Pass=No / Fail=Yes"
"7110c0c4-79f9-57b9-bc41-5daa066a07e2","","checkpoint-status","not-started","","","TRUE","TRUE","LID 03","Post Pour","ID TAG filled out and correct"
"bfcbc0f9-7225-5723-9d0b-7172454d1b43","","checkpoint-status","not-started","","","TRUE","TRUE","LID 03","Post Pour","Strongbacks installed - (photo required)"
"ba3ab9e5-3efa-59a3-8c4b-a002f3598f65","","checkpoint-status","not-started","","","TRUE","TRUE","LID 03","Post Pour","Chamfers Installed"
"a83e1534-94a1-550a-b0b6-c8c694b68168","","checkpoint-status","not-started","","","TRUE","TRUE","LID 03","Post Pour","Panels QA sticker completed"
"590b7246-8298-565f-9ecd-f3d473827493","","checkpoint-status","not-started","","","TRUE","TRUE","LID 03","Post Pour","Panel ready for delivery, damage free"
"d41afc61-735b-49b0-82a4-1e3deee3c5c8","","checklist-sectioned","work-in-progress","e05bb294b90756210e81611c028ed9f23f18aa057832964e9b09435d72144b06","checklist","FALSE","FALSE","LID 04"
"dba32c27-71cc-5818-9d9c-368855d9cb65","","checkpoint-group","pass","","","FALSE","FALSE","LID 04","Drawing"
"2c20f79a-747a-55d9-ae89-5fab30cce082","","checkpoint-status","pass","","","TRUE","TRUE","LID 04","Drawing","Revision No - Attach photo of drawing below &/Or input details"
"5deb60ac-1ea2-580e-bd12-e448de7185c8","","checkpoint-group","not-started","","","FALSE","FALSE","LID 04","Panel Properties"
