Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,Fire Wall Path Checklist,,,,,Yes,Fire Wall Path Checklist,
checkpoint-group,,,section,Details,,,,,,,
checkpoint-status,,,checkpoint,Frame walls,,,,,,,
checkpoint-status,,,checkpoint,Heavy door Design,,,,,,,
checkpoint-status,,,checkpoint,Fire Door Frame,,,,,,,
checkpoint-status,,,checkpoint,Penetrations box out,,,,,,,
checkpoint-status,,,checkpoint,Sheet and Caulk,,,,,,,
,,,,,,,,,,,
checklist-sectioned,,,checklist,Smoke Wall Path Checklist,,,,,Yes,Smoke Wall Path Checklist,
checkpoint-group,,,section,Details,,,,,,,
checkpoint-status,,,checkpoint,Frame walls,,,,,,,
checkpoint-status,,,checkpoint,Penetrations box out,,,,,,,
checkpoint-status,,,checkpoint,Full Height Sheet and Caulk,,,,,,,
,,,,,,,,,,,
checklist-sectioned,,,checklist,Generic Heavy Wall Item as per Design Wall Location Plan,,,,,Yes,Generic Heavy Wall Item as per Design Wall Location Plan,
checkpoint-group,,,section,Details,,,,,,,
checkpoint-status,,,checkpoint,Framed as per Studco Design,,,,,,,
,,,,,,,,,,,
checklist-sectioned,,,checklist,Pressure Room Treatment Checklist,,,,,Yes,Pressure Room Treatment Checklist,c859a765-cf49-4be3-bdba-e7efe415aa01
checkpoint-group,,,section,Details,,,,,,,
checkpoint-status,,,checkpoint,Soffit caulk seal,,,,,,,
checkpoint-status,,,checkpoint,Track caulk seal,,,,,,,
checkpoint-status,,,checkpoint,Pressure Box install / caulked,,,,,,,
checkpoint-status,,,checkpoint,Plaster full caulk inc Pressure Box,,,,,,,
checkpoint-status,,,checkpoint,75mm angle caulked in to Soffit and Wall,,,,,,,
checkpoint-status,,,checkpoint,Door frame Seal caulk,,,,,,,
,,,,,,,,,,,
checklist-sectioned,,,checklist,Lead Lined Plaster Checklist,,,,,Yes,Lead Lined Plaster Checklist,ec84d204-8364-42d1-ade3-7218d3d61eac
checkpoint-group,,,section,Details,,,,,,,
checkpoint-status,,,checkpoint,Lead Lined Plaster Installed,,,,,,,
checkpoint-status,,,checkpoint,In room heavy wall design lead apron / General X-ray,,,,,,,
checkpoint-status,,,checkpoint,Heavy door/window design,,,,,,,
checkpoint-status,,,checkpoint,Ply substrate,,,,,,,
checkpoint-status,,,checkpoint,Lead to door frame,,,,,,,
checkpoint-status,,,checkpoint,Lead kg/height to walls ,,,,,,,
checkpoint-status,,,checkpoint,In wall service rear shielding,,,,,,,
