"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"69564041-8681-4f05-90e7-8fc3d04f1fa1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"ef40a9e1-47da-4d12-8e61-b2212c6e926f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement"
"ff9d39ad-9acc-43c4-abe9-7437276d9be6","","checklist-sectioned","not-started","Zone Checklist","checklist","FALSE","FALSE","Site QA","Basement","Zone 1"
"aaac0d63-84af-5a3b-8eeb-67befd42d998","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Basement","Zone 1","Details"
"7bbc0e18-baa8-5b27-9ce0-9fe6995efc04","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 1","Details","Setout"
"a0cd68a9-54bb-59e4-b8f1-c4202aae1a43","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 1","Details","Soffit Insulation"
"0ed4706a-99ad-5c90-bed9-e315177c568a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 1","Details","Speedpanel"
"b88ffca3-2194-5680-9213-c3813cc2ef5a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 1","Details","Frame Walls"
"371ee74a-ef2b-548b-8b4c-8ea58c7f7c4c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 1","Details","Install Noggins"
"27f3c230-b305-5a76-9511-febd3a85d473","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 1","Details","Plaster wall sheeting"
"d39d210c-9885-5e91-a4df-f0dd2c86f38a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 1","Details","Frame ceilings"
"bab4de47-09db-5b3b-b0d3-c9c1fce362c8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 1","Details","Sheet ceiling"
"1d8c4b29-137f-500c-b2fd-81646403fc95","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 1","Details","Stop & Sand"
"ee949c6c-93e6-5650-8077-8574d4f78232","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 1","Details","Ceiling tile install"
"7e4c9094-6d6e-4e4b-993d-5491f640f59a","","checklist-sectioned","not-started","Zone Checklist","checklist","FALSE","FALSE","Site QA","Basement","Zone 2"
"6b08d513-63b1-55d2-93d7-48caef5b89a9","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Basement","Zone 2","Details"
"a9b83f73-a1df-5cea-b3a5-c8be4d6bbc7d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 2","Details","Setout"
"8d671ab2-0702-58c3-be8f-79b54a7e1420","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 2","Details","Soffit Insulation"
"8dafe0fd-7fb2-52e4-b0ab-9bc10ca707a0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 2","Details","Speedpanel"
"07714dcc-a2f0-597b-97ee-beb16863ee26","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 2","Details","Frame Walls"
"44bed5bd-b740-5d3e-9264-2d98cc26f564","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 2","Details","Install Noggins"
"94b90dd7-dae8-5c02-9a98-b03f8ad39e06","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 2","Details","Plaster wall sheeting"
"7eacbdeb-e605-582a-8a40-233724021c48","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 2","Details","Frame ceilings"
"e66f3993-32a4-5d95-9b18-6daa53c7084a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 2","Details","Sheet ceiling"
"bc00e816-ce02-5ece-97c5-92d1ca105df2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 2","Details","Stop & Sand"
"73a1bc4b-60d5-5958-8403-29d749d4d17c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 2","Details","Ceiling tile install"
"a152c03d-3066-42ec-a974-ed11f9470396","","checklist-sectioned","not-started","Zone Checklist","checklist","FALSE","FALSE","Site QA","Basement","Zone 3"
"2e446ee0-fadf-5275-96e1-4273585d6db6","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Basement","Zone 3","Details"
"5b023f2f-5634-53b9-882c-8c0f2d690527","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 3","Details","Setout"
"cab85151-8226-53e4-93bf-5621d209f70b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 3","Details","Soffit Insulation"
"c70f5cb5-e92f-58b3-80c2-9fe85702939e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 3","Details","Speedpanel"
