resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,step,,,Site QA,,,,,,,,
,,,,step,,,,Rough-In,,,,,,,
,,,,step,,,,,Ground Floor ,,,,,,
Duct Installation Checklist [F],Sign Off,,,folder-with-checklists,,,,,,GEF-G ,,,,,
Duct Installation Checklist [F],Sign Off,,,folder-with-checklists,,,,,,CPEF-G.1,,,,,
Duct Installation Checklist [F],Sign Off,,,folder-with-checklists,,,,,,PRSF-G,,,,,
Duct Installation Checklist [F],Sign Off,,,folder-with-checklists,,,,,,PREF-G,,,,,
Duct Installation Checklist [F],Sign Off,,,folder-with-checklists,,,,,,TEF-G.1,,,,,
Duct Installation Checklist [F],Sign Off,,,folder-with-checklists,,,,,,TEF-G.2,,,,,
Duct Installation Checklist [F],Sign Off,,,folder-with-checklists,,,,,,OAF-G,,,,,
,,,,step,,,,,Level-1 ,,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A1.01,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A1.02,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A1.03,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A1.04,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A1.05,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A1.06,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A1.07,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A1.08,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A1.09,,,,,
Duct Installation Checklist [F],Sign Off,,,folder-with-checklists,,,,,,Lower Communal Space,,,,,
Duct Installation Checklist [F],Sign Off,,,folder-with-checklists,,,,,,Upper Communal Space,,,,,
,,,,step,,,,,Level-2,,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A2.01,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A2.02,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A2.03,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A2.04,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A2.05,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A2.06,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A2.07,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A2.08,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A2.09,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A2.10,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A2.11,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A2.12,,,,,
,,,,step,,,,,Level-3,,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A3.01,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A3.02,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A3.03,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A3.04,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A3.05,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A3.06,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A3.07,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A3.08,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A3.09,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A3.10,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A3.11,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A3.12,,,,,
,,,,step,,,,,Level-4,,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A4.01,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A4.02,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A4.03,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A4.04,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A4.05,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A4.06,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A4.07,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A4.08,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A4.09,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A4.10,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A4.11,,,,,
,,,,step,,,,,Level-5,,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A5.01,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A5.02,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A5.03,,,,,
Ventilation Checklist 1 Rough In [C],Flatpack Installation Checklist [O],Access Panel 1 Rough In [D],Sign Off,folder-with-checklists,,,,,,A5.04,,,,,
