type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist,ITP-CIV-General Safety and Guard Fence,itp,,,,,ITP-CIV-General Safety and Guard Fence Rev 0,,,,
section,Referenced Documentation,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,
note,Document Title: ITP-CIV-General Safety and Guard Fence,,,,,,,,,,
note,ITP Description: General Safety and Guard Fence,,,,,,,,,,
note,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,
note,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,
note,Revision Number: 0,,,,,,,,,,
note,Revision Date: 12/10/2022,,,,,,,,,,
note,ITP created by: Romualdo Magpantay,,,,,,,,,,
note,ITP approved for use by: Romualdo Magpantay,,,,,,,,,,
note,1.1 - Non Dependent,,,,,,,,,,
note,Reference Documents:,,,,,,,,,,
note,• Vic Roads 707 Austroad,,,,,,,,,,
note,1.2 - Non Dependent,,,,,,,,,,
note,Reference Documents: ,,,,,,,,,,
note,• Vic roads traffic engineering manual Vo.2,,,,,,,,,,
note,• MRP-057-C-AUR-DRG-11-ADR-CFN-0155 ,,,,,,,,,,
note,1.3 - Non Dependent,,,,,,,,,,
note,Reference Documents: ,,,,,,,,,,
note,• AS1725.1/NIST 2662,,,,,,,,,,
note,1.4 - Non Dependent,,,,,,,,,,
note,Reference Documents: ,,,,,,,,,,
note,• MRP-057-C-AUR-DRG-60-ADR-CPW-0152 SAST-3281,,,,,,,,,,
section,Materials,,,,,,,,,,
checkpoint,"2.1 Submit materials and components conformance certificates by subcontractor for fence, gates and stock grids(Steel Columns, Cladding, Handrails, Chain Wire Mesh etc",,,,,,,,,,
note,REFERENCE: ,,,,,,,,,,
note,"Vic roads 707.03 c,d, g,h & K",,,,,,,,,,
note,AS/NZS 4680 ,,,,,,,,,,
note,AS 1725,,,,,,,,,,
note,Austroad,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,ACCEPTANCE CRITERIA: ,,,,,,,,,,
note,• Verify supplied materials and components comply with the Specification,,,,,,,,,,
note,• Submit signed Certificates of Compliance ,,,,,,,,,,
note,• Chain wire shall comply with AS 1725 requirements,,,,,,,,,,
note,• Steel posts (minimum yield strength of 195 MPa)to be hot dipped galvanised in accordance with AS/NZS 4680 ,,,,,,,,,,
note,• Timber post and chain  Link,,,,,,,,,,
note,• Welded mesh ,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,METHOD: Document review,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,FREQUENCY: Per type,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,CATEGORY: HP,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,VERIFYING DOCUMENTS: Certificate of  Compliance,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint,2.2 Concrete,,,,,,,,,,
note,REFERENCE: ,,,,,,,,,,
note,IFC Drawings,,,,,,,,,,
note,AS3972,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,ACCEPTANCE CRITERIA: 25 MPa concrete to be used as per IFC drawings. All cement to be GP or GB or SR complying with AS3972.  ,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,METHOD: Document Review,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,FREQUENCY: Each Mix,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,CATEGORY: HP,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
note,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,
