"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d6b4be16-3cc1-464f-8a0b-2d58d49f0d55","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"d646787a-da75-5ec3-a365-ef6f32f1005c","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"58d55353-e0af-4656-95e8-995547f30da7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture"
"ab93e1d5-55cd-4db9-b37d-1a5f33c158ef","","checklist-sectioned","pass","b4d1633d23659b113421612c76dd31fcbb3d55235db2b92c835b5f74c883a446","checklist","FALSE","FALSE","Precast Manufacture","Weld plate details"
"b05b53f4-47ea-5b3d-9cbb-34eff74cf91b","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","Weld plate detail"
"d7a74365-dc60-5cb7-9c5d-bc99de4974e7","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","Weld plate detail","Edge Detail"
"a3697f4d-887c-58f2-830f-23898e980322","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","Weld plate detail","Bar Projections"
"38ba44de-5d49-58bb-8c31-8fef9356b220","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","Weld plate detail","Cast in items"
"4d85f23e-5fe9-4c9a-a238-a430f40a8e90","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels 1 - 50"
"9730e462-84bc-455e-b76b-16210fdc03ec","","checklist-sectioned","not-started","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 50","Panel -1"
"9c68dc5f-a750-5aea-a2ad-aa2411d78073","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check"
"9f3e4f70-4fc5-5adb-934f-e64227e8371d","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check","Dimensions"
"b89824ff-10d5-53e8-a55e-675690d222d4","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check","Mould Clean"
"edccbe25-f5d4-52b8-9bc0-c9fcc0b66ad2","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check","Mould Oiled"
"a9923ee5-ba53-53f9-af68-e126cf42c3b4","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check","Mould - Workmanship"
"1287deb9-fe2c-5f94-a051-c43f499048ab","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check","Reinforcing"
"a317a79c-6137-5cce-ae14-6b5bcf6fb22a","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check","Cast In Items"
"e7f8c443-b48b-516b-9280-fde84e32f005","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check","Marker Position and No."
"4885124b-22c7-5098-9110-aadca592fc79","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check","Make mould to Green Status"
"0ad51075-6a49-5275-8feb-4400b39c56ad","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Concrete Works"
"db210f2f-21b3-5ff4-a581-80a9ff692917","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Concrete Works","Concrete Works Details"
