"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Wet Area Walls"
,"Scope",,
,"Rows"
,,"Internal Wet Areas",,"wet area walls","site qa","internal wet areas"
,"Columns"
,,"Waterproofing Contractors ITP’s received and substrate ready to receive tiles.",,"confirm if waterproofing contractors itp’s have been received and confirms substrate is ready to receive tiles."
,,"Visual Inspection shows that membrane has no signs of obvious surface damage.",,"visual inspection shows that membrane has no signs of obvious surface damage."
,,"Confirm all wall tiles are trowelled and not spot fixed",,"confirm all wall tiles are trowelled and not spot fixed"
,,"Check wall tiles are plumb and straight at tiling completion.",,"check wall tiles are plumb and straight at tiling completion."

"Wet Area Floor"
,"Scope",,
,"Rows"
,,"Internal Wet Areas",,"wet area floor","site qa","internal wet areas"
,"Columns"
,,"Waterproofing Contractors ITP’s received and substrate ready to receive tiles.",,"confirm if waterproofing contractors itp’s have been received and confirms substrate is ready to receive tiles."
,,"Visual Inspection shows that membrane has no signs of obvious surface damage.",,"visual inspection shows that membrane has no signs of obvious surface damage."
,,"Confirm all falls to drain in wet area are minimum 1:100",,"confirm all falls to drain in wet area are minimum 1:100"
,,"Confirm all falls to drain in shower are minimum 1:80",,"confirm all falls to drain in shower are minimum 1:80"
,,"Check finish floor level is at meter mark",,"check finish floor level is at meter mark"
,,"Confirm floor wastes are free of debris at tiling completion.",,"confirm floor wastes are free of debris at tiling completion."

