type,name,values,prefix,postfix,usage count,user addable,template name,,
checklist-flat,1,,,,,,1,,
checkpoint,1.00 Demolition & Removal of Existing Balcony Surface - 35M2,,,,,,,,
checkpoint,1.01 Provide movement joints within the tile surface as required p/m2 - 35M2,,,,,,,,
checkpoint,1.02 Apply First Membrane - 35M2,,,,,,,,
checkpoint,1.03 Screed - 35M2,,,,,,,,
checkpoint,1.04 Apply Second Membrane - 35M2,,,,,,,,
checkpoint,1.05 Tiles Supplied - 35M2,,,,,,,,
checkpoint,1.06 Tile & Grout balcony surface - 35M2,,,,,,,,
checkpoint,1.07 Rendering of Internal Balaustrade as required (Including materials) - 0M2,,,,,,,,
checkpoint,1.08 Skirting Tile and Caulking as required - 42LM,,,,,,,,
checkpoint,1.09 Remove any rubbish and clean area - 1A,,,,,,,,
,,,,,,,,,
checklist-flat,1.1,,,,,,1.1,,
checkpoint,1.10 Remove moisture damaged skirting - 4LM,,,,,,,,
checkpoint,1.11 Remove moisture damaged plaster board sheet - 4LM,,,,,,,,
checkpoint,1.12 Supply and install new plasterboard - 4LM,,,,,,,,
checkpoint,1.13 Supply and install new skirting boards - 4LM,,,,,,,,
checkpoint,1.14 Paint new plasterwork and skirting with a 3-coat paint system - 8LM,,,,,,,,
checkpoint,1.15 Remove all rubbish created by repair work. - 1P,,,,,,,,
,,,,,,,,,
checklist-flat,2,,,,,,2,,
checkpoint,2.00 Demolition & Removal of Existing Balcony Surface - 37M2,,,,,,,,
checkpoint,2.01 Provide movement joints within the tile surface as required p/m2 - 37M2,,,,,,,,
checkpoint,2.02 Apply First Membrane - 37M2,,,,,,,,
checkpoint,2.03 Screed - 37M2,,,,,,,,
checkpoint,2.04 Apply Second Membrane - 37M2,,,,,,,,
checkpoint,2.05 Tiles Supplied - 37M2,,,,,,,,
checkpoint,2.06 Tile & Grout balcony surface - 37M2,,,,,,,,
checkpoint,2.07 Rendering of Internal Balaustrade as required (Including materials) - 0M2,,,,,,,,
checkpoint,2.08 Skirting Tile and Caulking as required - 45LM,,,,,,,,
checkpoint,2.09 Remove any rubbish and clean area - 37M3,,,,,,,,
,,,,,,,,,
checklist-flat,2.1,,,,,,2.1,,
checkpoint,2.10 Remove moisture damaged skirting - 4LM,,,,,,,,
checkpoint,2.11 Remove moisture damaged plaster board sheet - 4LM,,,,,,,,
checkpoint,2.12 Supply and install new plasterboard - 4LM,,,,,,,,
checkpoint,2.13 Supply and install new skirting boards - 4LM,,,,,,,,
checkpoint,2.14 Paint new plasterwork and skirting with a 3-coat paint system - 8LM,,,,,,,,
checkpoint,2.15 Remove all rubbish created by repair work. - 1P,,,,,,,,
,,,,,,,,,
checklist-flat,3,,,,,,3,,
checkpoint,3.00 Demolition & Removal of Existing Balcony Surface - 37M2,,,,,,,,
checkpoint,3.01 Provide movement joints within the tile surface as required p/m2 - 37M2,,,,,,,,
checkpoint,3.02 Apply First Membrane - 37M2,,,,,,,,
checkpoint,3.03 Screed - 37M2,,,,,,,,
checkpoint,3.04 Apply Second Membrane - 37M2,,,,,,,,
checkpoint,3.05 Tiles Supplied - 37M2,,,,,,,,
checkpoint,3.06 Tile & Grout balcony surface - 37M2,,,,,,,,
checkpoint,3.07 Rendering of Internal Balaustrade as required (Including materials) - 0M2,,,,,,,,
checkpoint,3.08 Skirting Tile and Caulking as required - 45LM,,,,,,,,
checkpoint,3.09 Remove any rubbish and clean area - 37M3,,,,,,,,
,,,,,,,,,
checklist-flat,4,,,,,,4,,
checkpoint,4.00 Demolition & Removal of Existing Balcony Surface - 16M2,,,,,,,,
checkpoint,4.01 Provide movement joints within the tile surface as required p/m2 - 16M2,,,,,,,,
checkpoint,4.02 Apply First Membrane - 16M2,,,,,,,,
checkpoint,4.03 Screed - 16M2,,,,,,,,
checkpoint,4.04 Apply Second Membrane - 16M2,,,,,,,,
checkpoint,4.05 Tiles Supplied - 16M2,,,,,,,,
checkpoint,4.06 Tile & Grout balcony surface - 16M2,,,,,,,,
checkpoint,4.07 Rendering of Internal Balaustrade as required (Including materials) - 0M2,,,,,,,,
checkpoint,4.08 Skirting Tile and Caulking as required - 20LM,,,,,,,,
checkpoint,4.09 Remove any rubbish and clean area - 16M3,,,,,,,,
,,,,,,,,,
checklist-flat,5,,,,,,5,,
checkpoint,5.00 Demolition & Removal of Existing Balcony Surface - 37M2,,,,,,,,
checkpoint,5.01 Provide movement joints within the tile surface as required p/m2 - 37M2,,,,,,,,
checkpoint,5.02 Apply First Membrane - 37M2,,,,,,,,
checkpoint,5.03 Screed - 37M2,,,,,,,,
checkpoint,5.04 Apply Second Membrane - 37M2,,,,,,,,
checkpoint,5.05 Tiles Supplied - 37M2,,,,,,,,
checkpoint,5.06 Tile & Grout balcony surface - 37M2,,,,,,,,
checkpoint,5.07 Rendering of Internal Balaustrade as required (Including materials) - 0M2,,,,,,,,
checkpoint,5.08 Skirting Tile and Caulking as required - 45LM,,,,,,,,
checkpoint,5.09 Remove any rubbish and clean area - 37M3,,,,,,,,
,,,,,,,,,
checklist-flat,5.1,,,,,,5.1,,
checkpoint,5.10 Remove moisture damaged skirting - 4LM,,,,,,,,
checkpoint,5.11 Remove moisture damaged plaster board sheet - 4LM,,,,,,,,
checkpoint,5.12 Supply and install new plasterboard - 4LM,,,,,,,,
checkpoint,5.13 Supply and install new skirting boards - 4LM,,,,,,,,
