type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,
checklist-flat,Stone Strong Wall Installation Checklist,,,,,Yes,Stone Strong Wall Installation Checklist,c6d03f27-e77e-4918-8777-b48ae7f56392,,,,,,,
checkpoint-no-status,Details,,,,,,,,,,,,,,
text,Project Name:,,,,,,,,,,,,,,
text,Wall Location:,,,,,,,,,,,,,,
text,Block Layer:,,,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,,,
text,Inspector:,,,,,,,,,,,,,,
text,RL of current Block/Backfill Layer:,,,,,,,,,,,,,,
checkpoint-status,Level foundation installed as per design. (Base layer only),,,,,,,,,,,,,,
checkpoint-status,2 x Drainage pipe wraped in filter sock to be installed along the external perimeter of the Load Tramsfer Platform. (Base layer only),,,,,,,,,,,,,,
checkpoint-status,Blocks Installed within specification tollerances & block pattern as per design drawings,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,Table 4: MSE Tolerances,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,Element || Vertical Position || Horizontal Position || Vertical Alignment || Horizontal Alignment,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,Soil Surface || ± 100mm || N/A || N/A || N/A,,,,,,,,,,,,,,
label,Facings and wall structures || ± 50mm || ± 50mm || ± 20mm in 3m || ± 20mm in 3m,,,,,,,,,,,,,,
label,Footings or supports || ± 50mm || ± 50mm || ± 20mm in 3m || ± 20mm in 3m,,,,,,,,,,,,,,
checkpoint-status,The correct number & length of parawebs are to be installed as shown on the construction drawings.,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,24SF1.1 BLOCK PARAWEB SCHEDULE,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,WALL HEIGHT (H) || MINIMUM EMBEDMENT DEPTH (E) || GRID LENGTH (L)* || CONNECTIONS PER BLOCK,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,8.0-10.0 || 0.5 || 9.0 || 4,,,,,,,,,,,,,,
label,6.0 - 8.0 || 0.5 || 7.0 || 4,,,,,,,,,,,,,,
label,4.0 - 6.0 || 0.5 || 5.0 || 4,,,,,,,,,,,,,,
label,2.0 - 4.0 || 0.5 || 4.0 || 4,,,,,,,,,,,,,,
label,0 - 2.0 || 0.5 || 3.0 || 4,,,,,,,,,,,,,,
checkpoint-status,Paraweb is to be placed flat or with a 1% fall toward the rear of the wall.,,,,,,,,,,,,,,
label,"○ Paraweb must be free of wrinkles and lightly tensioned prior to and during placement of backfill. Shallow trench to be dug toward the end of the paraweb, pin to be used to pull paraweb taught prior to backfilling.",,,,,,,,,,,,,,
checkpoint-status,150mm of fill cover is required before construction equipment can travel over the area,,,,,,,,,,,,,,
checkpoint-status,Backfill installed in max 250mm lifts,,,,,,,,,,,,,,
checkpoint-status,Proof roll completed on each layer,,,,,,,,,,,,,,
checkpoint-status,NDM testing completed,,,,,,,,,,,,,,
label,○ Acceptance Criteria: Minimum 95% MDD,,,,,,,,,,,,,,
label,○ Frequency: 1 per 500m3 with at least 1 test per 0.5m lift per 20m run of wall,,,,,,,,,,,,,,
checkpoint-status,Clegg testing completed (GAP65 only),,,,,,,,,,,,,,
label,○ Acceptance Criteria: CIV relationship to be developed by testing alongside NDM tests,,,,,,,,,,,,,,
label,○ Frequency: 4 tests per NDM,,,,,,,,,,,,,,
checkpoint-status,Scala testing completed (Sand only),,,,,,,,,,,,,,
label,"○ Acceptance Criteria: Minimum average value over 5 tests of 5 blows per 100mm, minimum single value of 4 blows per 100mm",,,,,,,,,,,,,,
label,"○ Frequency: 1 per 500m3, 1 test per 0.5m lift per 20m run of wall",,,,,,,,,,,,,,
checkpoint-no-status,ADDITIONAL NOTES:,,,,,,,,,,,,,,
text,,,,,,,,,,,,,,,
