type,name,values,prefix,postfix,usage count,user addable,template name,,,
checklist,Enviro 700X + 250NS 1.0,,,,,,Enviro 700X + 250NS 1.0,de4bd4da-f648-4309-a289-65b9de4104dd,,
section,DETAILS,,,,,,,,,
checkpoint ,Attach any relevant documents or photos,,,,,,,,,
text,ITP No. ,,,,,,,,,
text,Revision No. & Date ,,,,,,,,,
text,Prepared By,,,,,,,,,
text,Reviewed By,,,,,,,,,
text,Approved By,,,,,,,,,
text,CIDD Alerts ,,,,,,,,,
SECTION ,BATCH DETAIL NUMBER OF PRODUCTS - EACH DELIVERY,,,,,,,,,
Checkpoint ,Enviro Flex FC/ Sika Flex Pro ,,,,,,,,,
Label ,Records - Time stamped photograph,,,,,,,,,
select ,Inspection,"Surveillance point, Witness point",,,,,,,,
Checkpoint ,Enviro B-LV,,,,,,,,,
Label ,Records - Time stamped photograph,,,,,,,,,
select ,Inspection ,"Surveillance point, Witness point",,,,,,,,
Checkpoint ,Enviro 700X,,,,,,,,,
Label ,Records - Time stamped photograph,,,,,,,,,
select ,Inspection ,"Surveillance point, Witness point",,,,,,,,
Checkpoint ,Enviro 250NS,,,,,,,,,
Label ,Records - Time stamped photograph,,,,,,,,,
select ,Inspection ,"Surveillance point, Witness point",,,,,,,,
Checkpoint ,Site engineer/foreman batch inspection review ,,,,,,,,,
SIGNOFF ,site engineer/foreman sign off,,,,,,,,,
SECTION ,PRE COMMENCEMENT - EACH LOCATION ,,,,,,,,,
Checkpoint ,Samples Submitted ,,,,,,,,,
Label ,Submit samples for approval as per Specific Material Requirements.,,,,,,,,,
Label ,Records - Subcontractor Contracts Admin Confirmation,,,,,,,,,
Label ,Sample Approval Ref.,,,,,,,,,
SIGNOFF ,Hold Point (Mandatory) - Subcontractor Contracts Admin inspection sign off,,,,,,,,,
Checkpoint ,First Of Type Inspection,,,,,,,,,
Label ,First of type of inspection conducted by builder prior to commencment of works taking place.,,,,,,,,,
Label ,Records - Site Engineer/ Foreman Confirmation,,,,,,,,,
SIGNOFF ,Hold Point (Mandatory) - Site engineer/ foreman first of type inspection sign off,,,,,,,,,
Checkpoint ,Material Management & Storage - Envirosystems TDS ,,,,,,,,,
Label ,"Store materials in a dry, clean place away from direct sunlight as per TDS",,,,,,,,,
Label ,Records - Time stamped photograph,,,,,,,,,
select ,Inspection ,"Surveillance point, Witness point",,,,,,,,
SIGNOFF ,Subcontractor inspection sign off,,,,,,,,,
Checkpoint ,Acceptance of Substrate - AS 4654 .2.2012 Section 2.5,,,,,,,,,
Label ,Obtain clearance for work initiation.,,,,,,,,,
Label ,"Ensure a smooth substrate without protrusions, voids, or formwork distortions. The substrate should be free of honeycombing/bug holes.",,,,,,,,,
Label ,Patching products must be fully cured as per PDS before applying the membrane.,,,,,,,,,
Label ,Records - Time stamped photograph,,,,,,,,,
