type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,
checklist,ITP-144-CIV-SSB-RSS Wall Construction,itp,,,,,ITP-144-CIV-SSB-RSS Wall Construction Rev 0,,,,,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-144-CIV-SSB-RSS Wall Construction,,,,,,,,,,,,,,,,,,
label,ITP Description: SSB-RSS Wall Construction,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 144-CIV,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,
label,Revision Date: 18/3/2024,,,,,,,,,,,,,,,,,,
label,ITP created by: Victor Mira,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 682 November 2018,,,,,,,,,,,,,,,,,,
label,1.2 Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 204 December 2015,,,,,,,,,,,,,,,,,,
label,1.3 Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference: IFC drawings,,,,,,,,,,,,,,,,,,
section,Preliminaries-Materials,,,,,,,,,,,,,,,,,,
checkpoint,2.1 Concrete-Leveling Pad,,,,,,,,,,,,,,,,,,
label,REFERENCE: IFC drawings,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: CONCRETE COMPRESSIVE STRENGTH GRADE MUST NOT BE LESS THAN N25 FOR LEVELLING COURSE AND BACKING BLOCKS;,,,,,,,,,,,,,,,,,,
textbox,Reference: Teambinder MA number:,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each element,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/Nominated Authority,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Material approval,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
checkpoint,2.2 Select fill,,,,,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Select fill shall comply with the requirements of the RSS designer:,,,,,,,,,,,,,,,,,,
label,○ UNIT WEIGHT: 22 ± 2 kN/m³,,,,,,,,,,,,,,,,,,
label,○ INTERNAL FRICTION ANGLE ≥ 34.5°,,,,,,,,,,,,,,,,,,
label,Gradation:,,,,,,,,,,,,,,,,,,
label,○ 150mm : 100% PASSING,,,,,,,,,,,,,,,,,,
label,○ 37.5mm : 60 TO 100% PASSING,,,,,,,,,,,,,,,,,,
label,○ 9.5mm : 25 TO 100% PASSING,,,,,,,,,,,,,,,,,,
label,○ 2.36mm : 15 TO 100% PASSING,,,,,,,,,,,,,,,,,,
label,○ 0.6mm : 10 TO 100% PASSING,,,,,,,,,,,,,,,,,,
label,○ 0.075mm : 0 TO 15% PASSING,,,,,,,,,,,,,,,,,,
label,Electrochemical Properties:,,,,,,,,,,,,,,,,,,
label,○ RESISTIVITY >1000 Ω-cm,,,,,,,,,,,,,,,,,,
label,○ CHLORIDES <200 mg/kg,,,,,,,,,,,,,,,,,,
label,○ SULPHATES <200 mg/kg,,,,,,,,,,,,,,,,,,
label,○ ORGANIC CONTENT 0%,,,,,,,,,,,,,,,,,,
label,Structural Properties:,,,,,,,,,,,,,,,,,,
label,○ COEFFICIENT OF UNIFORMITY ≥ 5,,,,,,,,,,,,,,,,,,
label,○ LIQUID LIMIT ≤ 30%,,,,,,,,,,,,,,,,,,
label,○ PLASTICITY INDEX ≤ 12,,,,,,,,,,,,,,,,,,
label,– The select backfill must meet the minimum requirements of Vicroads Type A filling,,,,,,,,,,,,,,,,,,
textbox,Reference: Material approval in Teambinder,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each material specification,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Material approval,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,
checkpoint,2.4 Perforated Pipe-material ,,,,,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Perforated plastic pipe perforations shall be a maximum width of 1.5mm and minimum length of 150mm per m2,,,,,,,,,,,,,,,,,,
textbox,Reference: Teambinder MA number:,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,"METHOD: Document review, Measure",,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each wall,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,,,,,
