type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,
checklist,CHK-012-CIV-SSB-RSS Walls-Precast Panel installation,itp,,,,,CHK-012-CIV-SSB-RSS Walls-Precast Panel installation Rev 0,,,,,,,,,,,,
section,Details,,,,,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,,,,,
label,Document Title: CHK-012-CIV-SSB-RSS Walls-Precast Panel installation,,,,,,,,,,,,,,,,,,
label,ITP Description: SSB RSS Walls - Panel installation,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,
label,Revision Date: 18/3/2024,,,,,,,,,,,,,,,,,,
label,ITP created by: Victor Mira,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,,,,,
checkpoint,1. Panels-survey set out-Tolerance,,,,,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings VR 682.20,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Plan position shown on the drawings at the base of the wall shall not exceed ±15mm (refer to drawings for WP locations),,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Measure,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Base course panels,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Surveyor/PE,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This Checklist,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,
checkpoint,2. Mark-up panel for construction team,,,,,,,,,,,,,,,,,,
