"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"23721259-6a25-50c6-b120-3ef6d0ba4306","","folder-normal","work-in-progress","","step","TRUE","FALSE","TE00829 Silo D 2023"
"1760dbfa-2c17-5e0b-b8ef-2ff60ff56ea9","","folder-normal","pass","","step","TRUE","FALSE","TE00829 Silo D 2023","OHS"
"ab8d76e4-62fc-5551-a18a-ba72c8354d71","","checklist-flat","pass","SWMS Checklist","checklist-flat","FALSE","FALSE","TE00829 Silo D 2023","OHS","SWMS Checklist - Working at Heights"
"4149454d-6af5-54f1-bb5c-97b8963c8422","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Working at Heights","Has a swms doc been uploaded"
"41bf1e26-de54-54db-8e36-df9b8c7fb63c","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Working at Heights","Do you agree to follow all procedures outlined within the attached swms"
"b7ce339a-c866-5793-a637-80b4c8f67a21","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Working at Heights","Are there any site specific additions or omissions to add to this swms"
"8f6b2449-4681-511c-9cdc-7e1319c46321","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Working at Heights","Have you signed into the attached swms"
"9b3824a8-ddba-5737-9255-afeeb153fd83","","checklist-flat","pass","SWMS Checklist","checklist-flat","FALSE","FALSE","TE00829 Silo D 2023","OHS","SWMS Checklist - Plumbing Works General"
"ec7bd970-aed7-5713-a855-1175c16b0984","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Plumbing Works General","Has a swms doc been uploaded"
"79de7f42-12fa-5235-9c0b-05c0edc2be1d","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Plumbing Works General","Do you agree to follow all procedures outlined within the attached swms"
"43ca7b28-87b8-50db-905a-02644ddcfa7e","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Plumbing Works General","Are there any site specific additions or omissions to add to this swms"
"7ddece89-f3c6-5c06-b867-836bf727624e","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Plumbing Works General","Have you signed into the attached swms"
"350a660f-0a96-5a24-8133-0ab0342dc3ec","","checklist-flat","pass","SWMS Checklist","checklist-flat","FALSE","FALSE","TE00829 Silo D 2023","OHS","SWMS Checklist - Manual Handling"
"8b18a8d6-6fca-5e8b-8508-91067bca53c0","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Manual Handling","Has a swms doc been uploaded"
"c98b6245-3d75-5c01-a4ea-d31900849d3d","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Manual Handling","Do you agree to follow all procedures outlined within the attached swms"
"a5063f07-018f-5472-8afc-4bcf052c4d45","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Manual Handling","Are there any site specific additions or omissions to add to this swms"
"8e3c9e50-3575-5a25-a6a6-e0fdab135d41","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Manual Handling","Have you signed into the attached swms"
"b8bf4590-2984-5365-946f-285b370e0471","","folder-normal","pass","","step","TRUE","FALSE","TE00829 Silo D 2023","TAKE 5"
"8d164543-781e-50c4-8a8a-441cbdc8c461","","folder-normal","pass","","step","TRUE","FALSE","TE00829 Silo D 2023","TAKE 5","Matt Feehan"
"6dd4e577-d04a-55e7-bbe1-edc796b073e7","","checklist-flat","pass","f67718ffc28742497595be01323080b19dc6b0ad862c0f01b5624a8a238559f9","checklist-flat","FALSE","FALSE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22"
"bc1ca00e-7988-5418-91d3-add422727070","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Task details entered below"
"d780096f-2bd0-55f1-9c00-453a9f0e8ca6","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","If any of the below are 'Fail' (no) - make yourself acquainted with site requirements before starting work"
"3ccf03b1-b77e-5401-a66f-7d09a464e181","","checkpoint-status","not-applicable","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Have you completed a site induction?"
"75b60afb-03dc-5a7a-b687-209b5b9c9a27","","checkpoint-status","not-applicable","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Do you know the site’s health and safety rules?"
"98821e24-09a6-527b-8dbb-ed174366c003","","checkpoint-status","not-applicable","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Are you familiar with security arrangements and the system for reporting incidents, near misses and hazards?"
"8c0a59d2-a0cf-5b0d-83aa-dc1d052ca9c0","","checkpoint-status","not-applicable","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Are you familiar with the emergency facilities and evacuation procedure/route for the site?"
"1a7e4c46-481d-535f-b1ab-dc0e78ff1f59","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Do you have access to appropriate emergency and first aid equipment?"
"f9756141-b41a-5389-b3d0-02d3342f48e4","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Have you asked the person in charge about all relevant hazards?"
"a8778b6d-9e16-5c6f-8a0c-ad903c0d6aa2","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","If any of the below are 'Fail' (no) - follow up with person in charge to ensure your safety"
"d0bae0d6-88e6-5f26-a73c-cfc44813ebd2","","checkpoint-status","not-applicable","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Has a safe work method statement or job safety analysis been completed?"
"6931f003-3cfa-59ee-a4f9-581528fa528d","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Do you have the correct procedures, equipment and PPE to do the work safely?"
"82b4ca01-4013-5099-8f50-4a7068ea69f9","","checkpoint-status","not-applicable","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Has equipment that requires a lock/tag-out and/or power that requires isolation/containment been completed?"
"1d433e48-0250-5cd9-927a-ef5ea3275bb0","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Is there appropriate separation of vehicles and people during the proposed work?"
"e1cbdfcd-c7c5-5a66-aee4-193ec209a1d1","","checkpoint-status","not-applicable","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Is all required electrical/mechanical equipment in a safe condition?"
"d31ae13a-7d53-5e8b-8521-39be2db1e281","","checkpoint-status","not-applicable","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Are all hazardous and/or dangerous goods/substances used and stored according to their material safety data sheets?"
"31dc3dd2-e0b5-553b-9966-5938a956ad5a","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Have you consulted with all fellow workers about the task to be completed and the safe way to do it?"
