"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"224b70eb-1944-4b92-af98-bcdbb9dfa520","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"737964f0-cfb1-41a4-8702-4054d85fb71d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rough In"
"733ff6ab-5f26-44b6-b616-af94fb1c3c3c","","checklist-sectioned","not-started","Basement Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","Basement 2"
"296da1af-0951-4248-b4b1-118a4867aa66","","checklist-sectioned","not-started","Basement Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","Basement 1"
"ca3534e0-dc1c-4bf0-9afc-31ac5e5328f8","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","Lower Ground"
"91554f26-cd76-46fb-99ff-7c310dd31471","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","Upper Ground"
"d6f107f7-055f-4e92-86b8-53b7047a70f9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rough In","School"
"cc6ab264-13ea-41ce-bf9d-18f61b4a972f","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Lower Ground"
"a705ea41-48d9-4168-8931-3be29c8ce2df","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","School","Level 1"
"3332ce87-2d96-45d6-8594-54a47908faf9","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 1","ACC S0109"
"04fc58f4-81f7-45f5-9991-36c9f8bfc8fd","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 1","ACC S0115"
"0dfe7135-4c30-4fb7-a644-0844c357be1b","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 1","Administration S102"
"c37f3a12-95c0-4b7c-8e4f-720cfa464608","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 1","Interview Room S0104"
"5e32865a-db8e-40f0-bf68-4fa332bf640f","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 1","Principal's Office S0105"
"2ea0481a-46e3-4170-8d35-fe74cafcaa88","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 1","Reception S0103"
"8651328e-bbae-43d3-9a83-5bda40c15e1b","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 1","Services S0180"
"f563a55c-0532-49a0-8f08-0d4306b0f5ef","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 1","Sick Bay S0110"
"0ebed5e7-12cd-41c6-adf8-8b6d5f188a2c","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 1","Staff & Student Entry S0111"
"0d3e2751-8089-4e8a-a48c-fb6d8ba53134","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 1","Store S0190"
"e73e82dd-10e4-4534-813b-cf8701ed4519","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 1","Uni S0106"
"fc0947a5-22f5-4f93-8c35-0d22100c6419","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 1","Uni S0107"
"40d09d1a-1dbf-4142-8964-9bc12997efad","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 1","Uni S0112"
"5bdc5a7f-240c-4712-a94e-734125370259","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 1","Uni S0113"
"5849d180-aafb-4c68-8313-f62e0507e9e1","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 1","Waiting S0101"
"f7b862f9-c763-4645-9ee4-6d1dba0e8c1d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rough In","School","Level 2"
"6ee6b100-a734-4637-a0fb-14c034c8c05c","","checklist-sectioned","pass","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","ACC S0203"
"0f474934-0099-4c06-b639-6847a0bbdaf2","","checklist-sectioned","pass","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","Circulation S0241"
"7785010d-2acc-4eef-a094-27f76e4f8eaf","","checklist-sectioned","pass","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","Cleaner S0290"
"f53952e1-c4ad-47c7-ab44-05ef3104eb53","","checklist-sectioned","pass","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","Exploration Lab S0217"
"bce9b570-199d-4a64-a619-b8e6349395ea","","checklist-sectioned","pass","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","Fem S0202"
"e691a96e-3c2e-4b00-b00f-27c57c547176","","checklist-sectioned","pass","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","Games & Construction S0206"
"bf8e5883-662c-4506-be9d-d069bf4daea2","","checklist-sectioned","work-in-progress","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","Home Base Grade 2 S0207"
"41f6e732-c124-4f51-8ba4-a8092ed2f50e","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","Home Base Kinder S0212"
"8d513704-3792-49a9-a36f-ceb7e31d8cc9","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","Kinder Outdoor Learning S0214"
"b5610e4f-2313-4308-b625-c037cf6256f1","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","Male S0201"
"22fc1b67-c708-4f5e-a8a1-dfe727376f15","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","Media Hub S0205"
"2b7fa6ae-7073-4a88-82a4-368957a7f81b","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","Media Hub S0216"
"fc558855-1a15-4e68-8072-4f09ad0a540b","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","Nook S0204"
"5df7c866-f74f-490a-a57f-730148e0b6c1","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","Outdoor Learning S0209"
"7ea7d738-2524-43c0-8401-423a709457a7","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","Services S0280"
"bef701d2-cd28-4915-8af4-1e6a8b94a3aa","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","ST S0291"
"173a0e32-8ca4-425b-a3df-771602c59779","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","Studio Lab & Learning Commons S0208"
"fa8d542c-0840-4886-b277-4aea3ed4ee42","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","Uni S0215"
"97a64051-da65-4a4e-b58a-a1aaa55f22e3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","School","Level 2","SO213"
"ed9ef29e-98d1-4862-87b2-4eb51ce9ba15","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","SO213","Rough In"
"35248354-a624-4b18-9749-d4cf1f194940","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","School","Level 2","SO208"
"41f481ae-3ca6-4b76-9d2b-1e17adc5d668","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 2","SO208","Rough In"
"93489642-b328-4a49-a102-8f41cb223086","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rough In","School","Level 2","Ceilings Outdoor"
"a3616dbe-d730-4db6-bbfa-2f95836a7b5b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rough In","School","Level 3"
"0239479e-4146-4a9e-9946-987622d5958c","","checklist-sectioned","work-in-progress","69a5fa5920963277b654d5cac604234b47183d46f400ede1fba01d33b3634940","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","ACC S0303"
"774140da-f842-4342-9078-bc248bf9c697","","checklist-sectioned","work-in-progress","ee267d485f3bf1d64932eee529104e06c9826dfd5c9be1d6c280433688669e08","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Cleaner S0390"
"31869678-24b4-4345-bf19-19cef8797482","","checklist-sectioned","work-in-progress","ee267d485f3bf1d64932eee529104e06c9826dfd5c9be1d6c280433688669e08","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Fem S0302"
"c52d584f-dae0-43dd-b483-dd89475bf446","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","FS S0383"
"4b87a9af-1e3b-4453-ac50-aa0bdfbd1d8e","","checklist-sectioned","work-in-progress","ee267d485f3bf1d64932eee529104e06c9826dfd5c9be1d6c280433688669e08","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Games & Construction S0306"
"fe3b9ae9-1b12-467e-9c57-6672ece7b1c8","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Games & Construction S0317"
"8348b30f-a253-480b-8956-ea2be5d0b34e","","checklist-sectioned","work-in-progress","ee267d485f3bf1d64932eee529104e06c9826dfd5c9be1d6c280433688669e08","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Home Base Grade 3 S0307"
"e189d18a-ba8c-478c-8c4d-f27c23fa59c7","","checklist-sectioned","work-in-progress","ee267d485f3bf1d64932eee529104e06c9826dfd5c9be1d6c280433688669e08","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Home Base Grade 4 S0310"
"60a8dce6-a7e8-4206-97bc-de667267f373","","checklist-sectioned","work-in-progress","ee267d485f3bf1d64932eee529104e06c9826dfd5c9be1d6c280433688669e08","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Home Base Grade 5 S0312"
"1e3fe547-7104-4cea-9b8e-284f35f32c67","","checklist-sectioned","work-in-progress","ee267d485f3bf1d64932eee529104e06c9826dfd5c9be1d6c280433688669e08","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Home Base Grade 6 S0316"
"57869ecf-ad0c-46a2-93d8-fae25da303bf","","checklist-sectioned","work-in-progress","ee267d485f3bf1d64932eee529104e06c9826dfd5c9be1d6c280433688669e08","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Incubator S0320"
"f4979214-0bac-49e7-bcf9-79ca20da2e56","","checklist-sectioned","work-in-progress","b811186456d9f829cd80eb3e1e5ab41b06715e3001db84085bf10d00621edbae","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Incubator S0322"
"99539e93-4aba-4da6-be55-45d4e5557727","","checklist-sectioned","work-in-progress","ee267d485f3bf1d64932eee529104e06c9826dfd5c9be1d6c280433688669e08","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Male S0301"
"1599c88a-365b-4487-a528-e8f2c099f267","","checklist-sectioned","work-in-progress","ee267d485f3bf1d64932eee529104e06c9826dfd5c9be1d6c280433688669e08","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Media Hub S0305"
