"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d7b9d3c2-ab87-4365-bc0c-fadb97ba2331","","folder-normal","work-in-progress","","step","TRUE","FALSE","Offsite QA (Factory)"
"ba30accb-239e-4a63-a28c-f7c24907ff2d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Offsite QA (Factory)","N17"
"54ba204c-584a-47a2-b9a1-5089c33b7781","","folder-normal","pass","","step","TRUE","FALSE","Offsite QA (Factory)","N17","Apartments"
"6e02539a-59b0-4392-9206-620c10913a44","","folder-normal","pass","","step","TRUE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor"
"39f12c3d-4261-46c0-aeb0-871575e3a217","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-01-A-TB-R(N17-GF-01-R-M1B) "
"de2b41e4-27fc-450d-9098-1295aeb3a677","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-02-M-TE1-L(N17-GF-02-L-M1E1, M2E1, M3E1)"
"1d152e04-f250-4b3e-b177-91669f034f2b","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-03-M-TE1-L(N17-GF-03-L-M1E1, M2E1, M3E1)"
"03bd2756-1f71-41e2-b170-b3ebfb12e68c","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-04-M-TE2-L(N17-GF-04-L-M1E2, M2E2, M3E2)"
"049014c4-8628-42bc-9592-93d6b34cb02b","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-05-M-TE1-R(N17-GF-05-R-M1E1, M2E1, M3E1)"
"3b523b54-e12b-4744-b272-7cb8280e0cf1","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-06-M-TE1-R(N17-GF-06-R-M1E1, M2E1, M3E1)"
"6f785993-0903-4a12-ad33-fcd755179acc","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-07-M-TF-R(N17-GF-07-R-M1F, M2F, M3F)"
"3ed8a6bd-ba31-4fb6-b1cc-21341b3a0261","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-08-M-TE1-L(N17-GF-08-L-M1E1, M2E1, M3E1)"
"47bcbf0d-8b97-4c02-bff7-c9e79b4572c5","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-09-M-TE1-L(N17-GF-09-L-M1E1, M2E1, M3E1)"
"8d6621c4-51da-4b87-b404-d8a952dc9991","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-10-M-TE1-L(N17-GF-10-L-M1E1, M2E1, M3E1)"
"9dee5843-2e88-4a98-961d-3b920ab86a51","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-11-M-TK-R(N17-GF-11-R-M1K, M2K)"
"3cfa2ac3-6b4d-46b4-bf96-b05619f1ede9","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-12-A-TB-L(N17-GF-12-L-M1B)"
"372c94c0-3212-4feb-a02d-8ddb63c38a0f","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-01-A-TB-R & GRD-12-A-TB-L (N17-GF-01&12-R-M2B)"
"f066fc43-4c97-4084-9e49-1ae955f0fc9d","","folder-normal","pass","","step","TRUE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor"
"89a7e06f-2100-479f-a37a-2e78ea16bfa5","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-01-A-TB-R(N17-L1-01-R-M1B)"
"cc7028b2-1124-413b-a49b-c10976048e7b","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-02-M-TC-L(N17-L1-02-L-M1C, M2C, M3C)"
"848b1c74-5db0-43d7-86ab-ba5c114fef53","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-03-M-TC-L(N17-L1-03-L-M1C, M2C, M3C)"
"539da607-0e82-43f8-859d-02a770212794","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-04-M-TE2-L(N17-L1-04-L-M1E2, M2E2, M3E2)"
"345408a1-40fe-4915-8b13-1eb231d89547","Child Module Structural Checklist(d2d356f7-2475-58be-b1ee-7807902b1115): Signoffs not allowed on checkpoint-group: Signoffs(07bd3a17-bb83-4153-ae10-2fabdd893fd6)","checklist-sectioned","pass","d70b0e5be91f5af401b03c50c0f56b5dfa9d0f0b41562bfa9081906a69069c65","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-05-M-TE1-R(N17-L1-05-R-M1E1, M2E1, M3E1)"
"10a9dc46-bbc5-40f9-adc7-d0c84883354d","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-06-M-TE1-R(N17-L1-06-R-M1E1, M2E1, M3E1)"
"cd42dbf0-09db-4659-9258-09b6460a1774","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-07-M-TF-R(N17-L1-07-R-M1F, M2F, M3F)"
"7628a5bd-e2e8-4aae-b446-c9a254e45736","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-08-M-TG-R(N17-L1-08-R-M1G, M2G, M3G)"
"88405a75-d749-494c-b35d-d8afb539700f","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-09-M-TE1-L(N17-L1-09-L-M1E1, M2E1, M3E1)"
"581a94ab-46cd-459f-aa28-1fac6e37cf03","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-10-M-TG-L(N17-L1-10-L-M1G, M2G, M3G)"
"b190248f-2206-46d3-8146-5d09c420638d","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-11-A-TC-L(N17-L1-11-L-M1C, M2C, M3C)"
"9360101b-d4c0-4690-a153-ad1448629129","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-12-A-TC-L(N17-L1-12-L-M1C, M2C, M3C)"
"0e78d217-b7c4-46c1-a549-699fc6575687","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-13-A-TC-L(N17-L1-13-L-M1C, M2C, M3C)"
"82c849a9-bd21-4d00-83f7-8426252c6a59","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-14-A-TK-R(N17-L1-14-R-M1K, M2K)"
"7dec670b-c706-4fac-a025-959bba6701c4","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-15-A-TB-L(N17-L1-15-L-M1B)"
