type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,
checklist-sectioned,SYM-ITP-006 - Stormwater (Rev A),itp,,,,Yes,SYM-ITP-006 - Stormwater (Rev A),56d18076-dd36-4842-a224-6bcb6791a95c,,,,,
checkpoint-group,1.0 Pre-start activities,,,,,,,,,,,,
checkpoint-status,"• Are the drawings, complete & current?",,,,,,,,,,,,
checkpoint-status,"• Lot shall be defined from pit to pit (or endwall, where applicable).",,,,,,,,,,,,
button,• Do survey boundaries clearly define the Underground Drainage Construction works?,"PASS,FAIL,N/A",,,,,,,,,,,
checkpoint-status,• Is the Box Culvert free of defects and to drawing dimensions?,,,,,,,,,,,,
checkpoint-status,• Is the Pipes free of defects and to drawing dimensions?,,,,,,,,,,,,
checkpoint-status,"• Have proposed precast Covers, Grates, Lids and Pits been approved for use?",,,,,,,,,,,,
checkpoint-status,• Is material free from perishable matter and lumps?,,,,,,,,,,,,
button,• Does the material comply with Table 701.091 & Table 701.092 below? Has the material been approved for use?,"PASS,FAIL,N/A",,,,,,,,,,,
checkpoint-status,• Pipe/Box Culver/PIT Size & Class,,,,,,,,,,,,
text,• SIZE,,,,,,,,,,,,
text,• CLASS,,,,,,,,,,,,
select,DIA,"150, 225, 300, 375, 450, 525, 1050",,,,,,,,,,,
text,• PIT REF,,,,,,,,,,,,
text,• PIT REF,,,,,,,,,,,,
text,• PIT REF,,,,,,,,,,,,
checkpoint-status,• Stage/Zone,,,,,,,,,,,,
label,1A / 1B/ 1C/ 1D / 1E / 1F / 1G / 2A / 2B / 2C / 2D / 2E / 2F / 2G / 3A / 3B / 3C / 4A / 4B / 4C / 5A / 5B / 5D / 6A / 6B,,,,,,,,,,,,
text,• Stage,,,,,,,,,,,,
holdpoint,Request Sign Off,,,,,,,,,,,,
checkpoint-group,2.0 Excavation,,,,,,,,,,,,
checkpoint-status,• Is the trench clearance width between 300mm to 600mm?,,,,,,,,,,,,
button,• Is the excavation at a sufficient depth for pipe/box culvert bedding?,"PASS,FAIL,N/A",,,,,,,,,,,
button,SURVEILLANCE - Signature by CYP D&C JV,"Yes,No",,,,,,,,,,,
button,SURVEILLANCE - Signature by IR,"Yes,No",,,,,,,,,,,
button,HOLD POINT - Signature by Symal Infrastructure,"Yes,No",,,,,,,,,,,
checkpoint-status,• Is the pit excavation not less than 400mm from external pit wall to side of excavation?,,,,,,,,,,,,
button,• Is the excavation at a sufficient depth for pit bedding?,"PASS,FAIL,N/A",,,,,,,,,,,
button,SURVEILLANCE - Signature by CYP D&C JV,"Yes,No",,,,,,,,,,,
button,SURVEILLANCE - Signature by IR,"Yes,No",,,,,,,,,,,
button,HOLD POINT - Signature by Symal Infrastructure,"Yes,No",,,,,,,,,,,
holdpoint,Request Sign Off,,,,,,,,,,,,
checkpoint-group,3.0 Bedding,,,,,,,,,,,,
checkpoint-status,"• Is the Pipe Diameter less than 1500mm? If so, has 100mm of bedding been placed?",,,,,,,,,,,,
button,"• Is the Pipe Diameter greater than 1500mm? If so, has 200mm of bedding been placed?","PASS,FAIL,N/A",,,,,,,,,,,
label,(D = Pipe Diameter/Culvert Width).,,,,,,,,,,,,
button,SURVEILLANCE - Signature by CYP D&C JV,"Yes,No",,,,,,,,,,,
button,SURVEILLANCE - Signature by IR,"Yes,No",,,,,,,,,,,
button,HOLD POINT - Signature by Symal Infrastructure,"Yes,No",,,,,,,,,,,
checkpoint-status,• Has bedding been placed and compacted to a thickness not less than 80mm on clay foundation?,,,,,,,,,,,,
button,• Has bedding been placed and compacted to a thickness not less than 150mm on a rock foundation?,"PASS,FAIL,N/A",,,,,,,,,,,
button,SURVEILLANCE - Signature by CYP D&C JV,"Yes,No",,,,,,,,,,,
button,SURVEILLANCE - Signature by IR,"Yes,No",,,,,,,,,,,
button,HOLD POINT - Signature by Symal Infrastructure,"Yes,No",,,,,,,,,,,
checkpoint-status,• Has bedding been compacted to refusal?,,,,,,,,,,,,
button,SURVEILLANCE - Signature by CYP D&C JV,"Yes,No",,,,,,,,,,,
button,SURVEILLANCE - Signature by IR,"Yes,No",,,,,,,,,,,
button,HOLD POINT - Signature by Symal Infrastructure,"Yes,No",,,,,,,,,,,
holdpoint,Request Sign Off,,,,,,,,,,,,
checkpoint-group,4.0,,,,,,,,,,,,
checkpoint-status,• Are pipes being laid from downstream end?,,,,,,,,,,,,
button,• Are socket ends of pipes being placed facing upstream and fully entered?,"PASS,FAIL,N/A",,,,,,,,,,,
button,• Is the pipe in full contact with the bedding for the full length of each section?,"PASS,FAIL,N/A",,,,,,,,,,,
label,○ The compacted bedding shall be shaped to accommodate the joint collar and ensure that the pipe is supported along its full length.,,,,,,,,,,,,
button,SURVEILLANCE - Signature by CYP D&C JV,"Yes,No",,,,,,,,,,,
button,SURVEILLANCE - Signature by IR,"Yes,No",,,,,,,,,,,
button,HOLD POINT - Signature by Symal Infrastructure,"Yes,No",,,,,,,,,,,
checkpoint-status,• Have pre-cast pits been installed at the correct location and to the dimensions shown on the drawings?,,,,,,,,,,,,
button,• Have subsurface drainage connections been cored at appropriate dimensions?,"PASS,FAIL,N/A",,,,,,,,,,,
button,SURVEILLANCE - Signature by CYP D&C JV,"Yes,No",,,,,,,,,,,
button,SURVEILLANCE - Signature by IR,"Yes,No",,,,,,,,,,,
button,HOLD POINT - Signature by Symal Infrastructure,"Yes,No",,,,,,,,,,,
checkpoint-status,• Have pits greater than 1.0 meter been fitted with step irons?,,,,,,,,,,,,
